coord vel1 vel2 vel3
2.05974 -0.585727 0.322479 -0.122544
1.74208 -0.259969 -0.0631704 0.157783
1.97417 -0.265442 0.326558 0.15384
3.34605 0.389385 0.267759 -0.00161636
2.15527 -0.00315208 -0.214034 -0.164453
1.62409 0.254017 -0.310812 -0.20457
1.93662 -0.0726824 0.56689 -0.188631
2.84512 0.00205459 0.639393 -0.0120906
2.01013 -0.725468 0.0701969 0.109505
2.24971 -0.0738968 0.240536 -0.0756214
3.32316 0.0470698 0.00943766 -0.158688
2.24701 0.235737 -0.304631 0.243034
2.53209 -0.0769272 0.0921702 -0.187229
3.15783 0.120359 -0.366905 0.350592
3.0347 0.183609 -0.414732 0.220665
3.24907 0.741463 0.0565989 0.352223
1.40418 -0.161476 0.0289841 0.456007
3.71268 -0.141252 -0.217611 0.150609
2.4264 0.0511306 -0.0705082 -0.423153
3.41138 -0.191831 0.813373 -0.0101588
1.70132 -0.0331431 -0.197104 0.464851
3.45363 -0.070247 -0.396566 -0.0734789
3.27899 0.208722 -0.208155 0.249836
2.02704 -0.345201 0.636859 0.442246
1.15131 0.215524 -0.179699 -0.234949
3.09316 -0.406977 0.0656155 0.663077
3.3067 0.183657 0.136697 -0.815737
3.24236 -0.0758035 0.346442 0.305286
2.57314 -0.287198 0.36738 0.14732
1.88637 -0.493155 -0.14255 0.215969
2.92463 -0.333018 -0.0968239 0.202807
3.11797 0.230451 0.324965 0.523915
3.0946 -0.176781 -0.177787 0.518765
2.11975 0.572375 0.310881 -0.111259
3.89963 0.175316 -0.311596 -0.201966
2.20795 0.483734 0.238105 0.394842
2.22246 0.261662 0.666151 0.612967
3.75068 -0.47881 0.00558931 -0.520581
3.54833 0.299803 -0.567792 0.278049
2.75017 -0.420484 0.230837 0.0109099
1.38089 0.193406 0.229435 0.390561
2.95659 0.18103 0.179661 0.368138
2.96865 0.0225325 0.198078 -0.0910534
3.89215 0.0666441 0.449369 0.174754
1.82613 -0.0750679 0.44948 -0.129028
3.46446 1.04373 -0.306711 0.442655
3.61289 -0.253442 0.532746 0.0822247
2.79267 0.224711 -0.320635 0.430839
1.22909 0.343347 0.097028 -0.419437
3.11127 0.586097 0.396629 -0.0019672
3.35854 -0.0443662 0.374465 0.0405067
3.79767 -0.210951 0.355199 -0.0329606
3.94027 -0.345501 0.323891 0.105924
3.92496 0.237197 0.0267358 -0.279431
2.19035 0.267414 0.057448 0.130388
3.68805 -0.320455 0.328698 -0.635616
2.51737 0.627246 0.72398 0.1762
1.14743 0.333465 -0.503481 0.158475
1.76388 0.0192334 0.270053 -0.260894
3.74777 -0.0475806 -0.15777 0.24756
3.10156 -0.905805 0.0891979 -0.0439707
1.58145 -0.223282 0.196254 0.465491
3.99694 -0.0350408 0.359095 0.192989
3.31159 0.0890649 0.0996682 -0.614149
2.61038 -0.178743 -0.116734 -0.394996
1.43532 0.203665 -0.154251 -0.194885
3.44188 0.22036 -0.074623 -0.201135
3.21206 -0.0297541 0.265851 0.0551365
3.5265 -0.136275 0.625444 -0.260528
3.13099 0.134007 -0.25389 -0.0769752
1.24711 -0.0914687 0.31951 0.238362
3.66225 -0.469127 -0.0290518 -0.280531
3.26022 -0.223452 0.0789599 -0.4575
1.53672 0.124783 0.190531 0.188752
2.95621 -0.106194 0.118178 0.0531247
3.94932 -0.0527526 0.670892 -0.168636
3.64872 0.0171329 0.478121 0.245981
1.69219 0.0844541 0.384447 -0.270401
1.95529 -0.0272883 0.115115 0.506502
2.70305 0.189945 0.0129841 -0.311976
2.17053 0.294956 -0.029325 -0.241359
1.41094 -0.0817748 0.559467 0.181545
2.13782 0.0394593 0.123125 0.104144
3.1982 -0.176121 0.164656 -0.376709
2.4078 -0.351647 0.147678 0.0978814
2.62499 0.943501 0.0864448 0.283409
2.88973 -0.440928 -0.0826535 -0.27678
2.79334 0.0788039 0.451124 -0.242779
3.97002 -0.148943 0.0302268 0.156034
2.7649 -0.145347 -0.106039 0.700135
1.57551 0.276309 -0.44109 -0.227511
2.10602 0.139088 0.423637 -0.0560411
2.55481 -0.0305566 0.423207 -0.131445
2.91936 -0.456737 -0.186849 -0.129191
2.69771 -0.176946 0.286384 0.0320066
2.58934 -0.201717 0.932619 -0.113208
1.26988 -0.500782 -0.574713 -0.253204
2.20917 -0.259674 0.0220283 0.302814
1.91761 -0.38695 0.446431 0.223093
2.98217 -0.0558697 -0.0679142 -0.158211
2.8882 -0.265581 0.201318 0.0584264
2.34707 0.209386 0.520415 -0.0683295
3.35125 0.870647 0.700875 0.246827
3.37641 -0.304669 0.000339688 0.595837
2.46279 0.12848 0.411987 0.294138
1.03273 0.0510924 0.0799332 -0.250589
3.94993 -0.0442872 -0.0401445 -0.192644
3.86907 -0.486573 0.20478 -0.366726
1.4713 -0.462697 -0.00818269 0.415702
3.04908 -0.384802 0.19093 1.04848
3.01305 -0.265376 -0.200031 0.0030628
3.14781 -0.125311 0.617253 0.026245
3.05531 -0.0561853 0.240639 -0.512243
2.59466 0.0173866 0.303539 0.132774
2.98421 -0.382597 -0.148184 0.477369
2.94214 0.118353 -0.0821184 0.128542
2.07979 -0.179913 -0.20877 -0.540582
2.80289 -0.376786 0.186462 0.346151
1.55409 0.442547 0.255438 -0.0649695
3.99297 0.479345 0.48812 0.0548656
3.29309 -0.0501271 -0.119392 0.0895567
1.80021 0.0471573 0.183395 -0.343573
3.89899 0.54341 0.26339 -0.240378
2.37213 -0.016611 -0.437878 -0.271143
2.94245 -0.13968 0.152648 -0.252994
2.80754 -0.420496 0.501515 0.289318
3.30013 0.541339 0.413019 0.00117107
2.26089 0.182472 -0.31656 -0.136364
1.66628 -0.47484 0.254718 -0.374728
2.21789 -0.287493 0.684956 0.252808
3.05232 0.3042 -0.158411 -0.173954
2.92853 0.0512138 0.376219 0.633657
3.13546 0.182761 0.130586 0.174152
3.26973 -0.0137218 0.330848 0.407643
3.15733 -0.176052 0.0925985 0.0674593
2.31285 -0.139267 -0.190155 0.0248386
2.61127 -0.175026 0.542087 -0.481437
2.42772 0.235856 -0.145099 -0.16008
3.87582 0.210498 0.343017 0.234644
1.90956 0.211538 0.474063 0.0977462
1.79357 0.250024 0.216548 0.17009
3.09805 0.0793057 0.163986 0.0332065
3.19588 -0.0038528 0.240445 -0.220203
2.34041 0.463338 0.805705 -0.330676
2.89804 -0.716423 -0.274285 -0.0545568
2.7523 0.200972 0.338607 -0.115198
3.79036 -0.343087 0.107154 0.134657
1.61306 0.412238 -0.0584594 0.464562
3.55325 0.0465081 0.263458 0.305873
2.83409 0.203749 -0.510345 0.0972648
1.97376 0.610686 0.515338 -0.615036
2.23953 0.433856 -0.0726335 0.0065193
3.86035 -0.244835 0.291106 -0.543166
3.39442 -0.494395 -0.18431 -0.208325
1.40164 0.0184595 -0.0225542 -0.0879886
2.31336 -0.594707 0.170837 -0.500744
1.55619 -0.314925 0.273129 -0.0422379
3.53337 -0.362247 -0.0747843 -0.483028
3.45238 0.0260608 0.691076 -0.383459
3.35432 -0.0832082 0.302121 -0.0844198
3.68925 -0.293056 0.0336717 -0.0114648
1.81303 0.161512 -0.161176 0.100653
2.15681 0.499781 0.23164 0.0262641
2.37917 0.709055 -0.0361718 -0.0297616
2.5789 0.0361317 -0.162906 0.514546
3.39995 0.335771 -0.13497 0.178859
3.35407 -0.589988 0.287817 0.1459
2.92308 -0.237935 0.397029 -0.0958252
3.80749 0.111254 0.0190782 -0.465858
2.09086 0.655826 -0.186782 0.100968
2.18933 -0.0328381 0.221478 -0.0483797
2.27421 0.27823 -0.235759 0.363645
3.29524 0.00660416 0.0578698 0.104193
3.79443 -0.0356741 0.89082 0.182638
3.04221 0.122715 0.233083 -0.563205
1.51415 -0.427739 0.165209 -0.331319
3.05451 -0.0455806 0.341276 0.177615
3.66155 0.151245 0.0620919 0.117713
1.73189 0.291127 0.290529 0.0180115
3.182 0.153864 -0.108965 0.552456
3.6984 -0.149105 -0.231502 0.0597894
3.71485 0.209303 6.42756e-05 0.345616
2.90076 -0.337211 0.183156 -0.203335
1.26847 -0.287266 0.404297 -0.29589
2.95803 -0.157155 0.62456 -0.225465
1.97159 0.0136688 0.739349 -0.183576
2.90937 0.0731812 0.00140242 0.378616
1.8613 -0.266651 -0.289421 0.453197
2.99976 -0.343678 0.402076 -0.177105
1.86266 0.124134 -0.55398 0.246528
2.76356 0.0639417 -0.0851846 -0.207369
3.26398 -0.253625 0.378425 0.0597685
3.46691 0.0808549 -0.0992655 -0.0497484
3.2231 0.384551 0.332061 0.322586
1.11747 -0.56062 -0.299802 -0.189395
3.60369 0.448135 0.103542 -0.113205
2.25126 0.390413 -0.363271 0.107833
3.66312 0.782592 0.168968 0.0549341
2.42186 0.0203543 -0.277566 0.126949
2.24684 -0.0908481 0.0746528 -0.0147191
3.48521 0.0965859 0.0670315 -0.0887822
3.0658 -0.103717 0.279127 -0.0936302
3.85663 -0.38975 0.765866 0.19909
3.60853 -0.185464 0.464689 -0.0355824
3.62608 -0.201385 -0.177325 0.123182
3.40299 0.276263 -0.18239 0.68802
3.94578 -0.0136199 -0.219604 -0.0176162
2.28137 0.221146 0.464443 -0.387881
3.8298 -0.436 -0.181608 -0.299138
1.92794 -0.0844545 0.297415 -0.0293999
1.89826 -0.305362 0.125334 -0.244187
3.86184 -0.41295 -0.304172 -0.289093
2.91467 -0.319897 0.58664 0.131066
3.03177 0.0601344 0.0647199 -0.108126
3.31033 -0.21608 0.386766 0.527409
3.5321 -0.0827457 0.172515 0.590386
3.91571 -0.839028 0.356202 0.0324662
1.85974 -0.0217908 -0.142051 0.119948
3.25496 0.00344044 -0.0988024 0.256902
3.72612 0.283151 -0.295511 -0.187004
1.99638 -0.49417 0.200977 0.605663
1.90177 0.0862795 -0.579154 -0.234899
3.81505 -0.432416 0.135732 -0.232342
1.69571 0.530677 -0.0315368 -0.676742
3.35888 0.0646975 0.333534 -0.280495
1.7625 -0.180075 -0.238722 -0.530467
1.8753 0.109677 -0.0979773 0.102738
2.68689 -0.614034 0.0784129 -0.40835
2.76138 0.253496 0.133475 0.168525
1.91389 -0.401978 0.155519 0.237312
3.52452 0.367257 0.668642 -0.297987
2.09479 -0.371004 0.357198 -0.141618
3.08393 0.0422192 0.0556771 -0.0814682
3.93951 -0.208794 0.548952 -0.0456364
3.41133 -0.288503 -0.170673 -0.328898
1.18906 -0.280041 0.323531 0.00514415
1.73874 -0.390673 0.201529 -0.0865677
3.25404 -0.382264 0.0572224 -0.000801318
3.20105 0.560571 0.29312 -0.206405
3.471 0.220003 0.179895 -0.0266038
2.7647 0.265002 0.491879 -0.0204048
1.94428 -0.291853 -0.393086 0.00172123
1.84082 0.0803054 -0.596042 -0.116217
1.59958 -0.0389046 0.288592 -0.0814109
3.56607 0.152535 -0.0376214 -0.181843
3.47493 0.000182957 0.343797 -0.315727
1.58788 -0.378254 0.330144 0.337489
1.36176 -0.205125 0.172894 0.211056
2.93274 -0.701748 0.568566 -0.147614
1.17551 0.415013 0.116567 0.728403
3.32673 -0.223743 0.0523178 -0.590714
3.74225 -0.816533 0.315441 0.238749
3.69387 0.129989 0.376753 0.518081
2.75308 0.0599063 0.299894 -0.180252
3.597 -0.254975 0.0300662 -0.0493508
3.2487 -0.419032 1.1897 0.12207
3.97502 -0.0308322 0.299938 -0.139189
1.66353 0.0485616 -0.111759 0.224022
2.15158 0.164796 0.579742 0.398139
1.25874 -0.187159 0.725262 -0.529457
2.64383 0.100378 0.0754461 -0.520547
1.96732 0.14044 1.04169 -0.197504
1.64404 0.351728 0.401008 -0.585658
1.38761 -0.00267258 0.455126 0.345683
3.62621 -0.055765 -0.355369 -0.201974
2.09875 -0.265838 0.115524 0.253242
3.62939 -0.032502 -0.0208284 -0.398478
2.48455 -0.226898 -0.672325 0.456029
2.16124 0.102429 -0.381515 0.394239
3.03603 0.0507496 -0.180727 0.209547
2.30918 -0.0125916 -0.232619 -0.0933936
3.89177 0.542137 0.253997 -0.0453803
3.93344 -0.21665 0.25978 -0.0601973
1.36393 -0.206115 -0.00893877 0.335456
2.84143 -0.310556 -0.273297 -0.107561
1.72492 -0.572251 -0.0288196 0.376535
2.97331 0.244931 0.177888 0.463487
1.276 -0.0161551 0.282996 -0.199858
1.98595 -0.226218 0.0734614 -0.05752
2.19103 -0.471079 0.235802 -0.213509
3.98166 -0.0880269 -0.147091 0.251041
3.11667 0.214455 0.494441 -0.195082
3.98916 -0.393142 0.182699 0.608109
2.50269 -0.121599 0.109884 0.350416
3.42374 -0.0570919 0.102647 0.162994
2.92666 0.338709 0.00159738 0.457334
1.82685 -0.229691 -0.407403 0.429793
3.52836 0.187881 0.0626146 0.258776
2.54094 -0.102909 -0.352715 -0.459697
2.6287 -0.231339 0.340185 -0.222288
3.97437 0.323352 -0.138401 0.199033
3.766 -0.121351 0.367944 0.0835646
2.47816 0.107308 0.0128245 -0.0654131
3.94046 0.76746 0.146555 0.425689
2.26047 -0.13592 -0.153176 -0.380315
3.58582 -0.448671 0.18258 -0.246412
3.3576 0.354863 0.0982832 0.345408
2.55869 -0.150172 0.555398 -0.175603
2.06163 -0.188962 0.685382 0.281046
2.03124 -0.303429 0.105545 0.260922
3.68029 -0.0552067 0.161533 0.517874
1.90812 -0.581085 0.612986 0.508807
2.83831 0.252093 0.210349 -0.416091
1.70471 0.183604 -0.216795 0.462967
1.28487 -0.0385582 -0.0205915 0.169658
1.45375 0.288311 -0.426485 -0.3432
3.04783 -0.407633 0.145241 -0.256057
1.4216 0.239711 0.327162 -0.481808
2.36076 0.309247 0.207152 0.230197
2.45238 0.078677 0.380325 0.0773001
2.88295 -0.142358 -0.180919 0.111389
3.50501 0.126846 0.302986 -0.531157
3.59974 0.174779 -0.0808927 0.0330767
2.85519 0.451758 0.770676 0.435317
2.68501 -0.349771 -0.0296054 -0.393846
3.23872 0.0957812 0.168779 -0.871264
1.07764 -0.104374 0.375037 0.354593
3.32345 0.000435186 -0.225977 0.0621166
3.14672 0.661442 0.215155 -0.523363
3.87528 -0.3109 -0.0174023 -0.359946
3.91331 -0.0438924 -0.163765 0.573252
1.89186 -0.190474 0.691832 -0.046147
1.76154 0.145415 0.611605 -0.607995
1.61692 -0.100811 0.324805 0.617866
2.22916 0.0866413 0.00375734 -0.545669
2.46647 0.47212 0.762419 0.399044
2.7285 0.321379 0.353975 0.0401737
3.56123 -0.262971 0.165157 0.338957
2.1745 -0.177605 0.221306 0.267069
3.99757 -0.0906864 0.482812 0.478736
3.64479 0.173157 0.0937548 -0.613966
1.76843 -0.187202 -0.459158 0.357261
3.26671 -0.243395 0.138945 0.341539
1.27677 -0.0476356 0.0330945 0.319313
3.45173 -0.0948267 0.179272 -0.205152
3.73867 -0.230174 0.214746 0.110488
1.36214 0.376614 0.0201807 -0.0277313
1.24795 0.0380124 0.0217074 0.284575
3.16189 0.393923 0.302661 0.184811
3.22081 0.298177 -0.102217 -0.0429213
3.81887 -0.311435 0.254273 -0.494309
1.90375 -0.412829 -0.203639 0.444962
3.37315 -0.136633 0.460529 0.144648
2.87059 0.00141196 0.34479 -0.334246
3.65152 0.206207 0.76848 -0.798807
3.86398 -0.247483 -0.192038 0.207995
3.18553 -0.132284 0.299647 0.324898
3.64261 -0.400959 0.866512 0.19495
3.34158 -0.340498 0.355395 0.120231
1.81179 0.175315 -0.11496 0.131097
3.43496 -0.576086 -0.171654 -0.708885
2.13252 -0.0912995 -0.514232 -0.0180265
3.07866 0.0354146 0.217823 -0.138203
3.33223 -0.0115545 -0.12394 -0.0291259
1.35746 -0.417643 -0.561509 0.454227
2.88028 0.260107 -0.164998 0.17458
2.79896 -0.364544 0.546697 0.402916
2.70528 0.02936 0.19378 -0.108103
3.92243 -0.293522 -0.276863 -0.371901
2.65055 0.535145 -0.123588 -0.112686
3.31786 -0.0442622 0.230294 0.24415
1.21976 -0.00796595 0.0162037 -0.388148
3.85619 -0.459696 0.26748 -0.0710359
1.4085 -0.505347 0.299604 0.597231
1.05728 0.339456 -0.51409 -0.0338239
2.88827 -0.609078 0.237783 0.0142619
2.91654 -0.165951 0.0709772 0.0592357
1.08546 0.268637 -0.191624 0.233964
3.34339 -0.507587 0.195259 0.041892
2.73788 -0.329356 -0.0161475 0.42526
2.01882 0.207628 0.410715 0.0256378
1.80017 0.0370835 -0.22978 -0.021888
2.96488 0.314395 0.147197 -0.388306
3.78494 0.750853 -0.353304 -0.119853
2.64791 0.0223801 -0.29428 -0.4762
2.22229 -0.34753 0.0163911 -0.0105144
2.37251 -0.0985475 -0.362056 0.245562
3.76868 -0.0427063 -0.165653 -0.452459
3.49019 0.236074 0.656371 0.4803
3.75527 0.211395 0.609531 -0.187879
3.90674 -0.412395 0.0503229 -0.365168
1.95803 -0.043236 0.48235 -0.162407
1.31109 0.0822915 0.460422 -0.020294
2.74797 -0.0841346 0.202979 -0.23341
3.47796 0.226793 -0.242705 0.099697
3.8963 -0.516052 0.323121 -0.0812121
2.63886 0.0416385 0.367693 -0.477575
1.40401 0.336735 0.119935 0.345844
3.13851 -0.103138 0.0520247 0.318702
3.2022 0.136851 -0.0416818 -0.0497444
3.17828 0.594806 0.561583 0.105065
2.86104 0.223372 0.269556 0.112578
3.88177 -0.123583 0.26673 0.0463313
1.39274 0.608062 0.0946866 -0.178955
3.22651 0.392694 -0.163614 0.186246
2.23693 -0.0553575 0.108492 -0.0110311
2.04846 -0.499704 0.0804071 0.160669
3.9 0.187159 0.351241 0.193044
3.13472 0.208441 0.461131 -0.0341486
3.71983 0.740871 0.346927 0.26478
2.72339 0.209589 0.559364 0.151615
3.16165 -0.188713 -0.234584 0.0852317
3.43738 0.443442 0.444534 0.114906
2.81966 -0.0295668 0.340659 0.021368
3.30584 0.274736 0.537353 -0.0890169
1.49823 0.195284 -0.174997 -0.301718
3.79742 0.315344 -0.200541 -0.402216
2.32184 0.287685 -0.00953749 0.336347
2.36832 -0.0321497 -0.164835 0.267945
3.45058 -0.189405 0.42596 -0.250237
3.33267 -0.0842304 -0.121737 0.0645269
1.72634 0.0123865 -0.84241 -0.113038
3.39597 -0.509006 0.650882 0.0236296
2.24102 0.303472 0.288114 0.134639
1.46008 -0.131891 0.0786114 0.0399918
2.14304 0.132606 0.238651 0.133801
3.80275 0.259706 -0.064308 0.213509
2.80322 -0.373497 -0.268411 -0.232697
2.27698 0.573144 0.112535 -0.121957
3.12211 -0.0801615 -0.0169641 0.108439
2.0109 -0.575959 -0.343151 0.291223
3.2002 -0.358287 -0.207187 0.251756
3.40927 0.516561 0.294165 -0.118133
3.79403 0.387226 0.0484171 0.553316
3.27385 -0.0324596 -0.0812008 -0.32676
1.8209 -0.267086 -0.00447272 0.207346
2.75918 0.0573103 0.213687 -0.420561
2.61556 -0.119006 -0.364841 0.417272
3.21868 0.449689 0.178933 0.30857
3.02523 -0.157216 -0.270278 -0.309577
2.99605 -0.22497 0.343252 0.0286117
2.04426 -0.465331 0.298488 0.108231
3.2879 -0.0202638 0.213553 -0.137799
3.18594 -0.408321 -0.333283 -0.228797
2.29345 -0.304448 -0.086005 -0.0649019
2.73071 0.496547 -0.232949 0.511574
3.89968 -0.0949999 -0.0452922 0.0545118
2.74606 -0.303655 0.209965 0.259155
3.91967 0.0522339 0.304517 0.259867
2.05563 0.328085 0.367027 0.0334222
3.97758 0.252275 0.584963 -0.148115
2.68927 0.830674 -0.103047 0.123621
1.27206 -0.575273 0.0648459 0.581497
2.47862 0.268079 -0.164298 0.402358
3.0289 0.229152 0.309479 0.378932
1.42466 0.295853 -0.413555 -0.00817073
1.80246 0.024556 -0.216242 -0.142778
1.44004 0.0211831 0.129879 0.107735
2.43259 -0.330627 0.152961 0.259904
2.07669 0.307123 0.766009 -0.124738
2.07051 0.304966 0.000861874 0.0976286
2.21847 -0.457689 -0.534014 -0.0336835
2.60973 -0.207078 0.0803248 -0.0995549
2.34747 -0.0608278 0.179969 -0.251039
2.27426 -0.211923 -0.140632 -0.212145
3.47295 0.406424 -0.198877 0.236702
1.9887 0.577483 0.0546176 -0.0552982
3.7511 -0.495492 -0.0563647 -0.0507711
2.83925 -0.746548 0.374718 -0.00148606
1.71314 -0.295795 0.511471 0.159967
2.57807 -0.0591505 0.763447 0.30836
3.44181 0.0801385 0.876185 0.162818
3.61117 0.253609 0.412097 -0.0733277
2.73848 0.088152 -0.547689 0.172002
2.49485 0.075213 0.179736 0.243882
3.32443 -0.099251 0.169771 -0.470304
3.22325 0.528093 -0.314149 0.403716
1.65426 -0.32018 -0.28788 0.221477
3.72533 0.376039 0.585496 -0.0638587
2.35982 -0.0406954 0.255072 0.389902
1.7867 0.0306051 0.502004 -0.347321
3.71661 -0.235176 -0.260538 0.0664132
1.27578 -0.0986706 0.134023 0.0190865
2.83292 -0.248876 -0.425596 0.27099
2.69427 -0.7015 0.471642 0.372105
1.91613 0.167849 0.278088 -0.386144
2.74848 0.308083 0.653597 -0.133079
2.58863 -0.246165 -0.195181 0.42788
2.50811 -0.110842 0.163658 -0.121662
2.40391 0.116002 0.496152 0.0654454
2.53134 -0.0858633 -0.118413 -0.0375947
1.73836 -0.207404 0.106912 -0.332452
3.63391 0.380875 0.84171 -0.120688
3.83812 0.261137 -0.18227 0.169725
1.24682 -0.231052 -0.209498 0.0490536
3.62261 0.384645 0.0839508 -0.364579
3.64043 0.131856 0.225496 -0.00866402
3.46034 -0.115075 0.227081 0.0614499
6.69237 -0.28644 0.287176 -0.333017
5.844 0.0799063 -0.12155 -0.046699
6.14441 0.215516 0.123255 -0.149812
5.04451 0.505721 0.441696 0.0319932
5.7638 -0.0337697 0.109662 -0.0866678
4.34483 0.0601696 0.254776 0.34765
5.96284 -0.323198 0.507263 0.423617
4.28761 -0.208074 0.713285 0.284435
6.69203 -0.133988 0.370812 0.575105
6.80706 0.296133 0.311759 -0.277405
5.43438 0.131502 0.15033 0.642772
4.77466 -0.161177 0.0383831 0.299012
5.77869 0.675891 -0.179929 -0.0727628
6.34643 0.148765 0.133955 0.309669
4.25822 -0.390061 -0.106275 0.682209
6.36991 0.269297 -0.236942 -0.0162246
5.8769 0.0909356 0.449052 0.0885833
5.4347 -0.112867 -0.136809 -0.061303
6.0025 -0.338167 0.18531 -0.199962
6.17104 -0.0783515 0.357633 0.146229
4.12365 0.425724 0.310107 -0.145168
5.72053 0.120255 0.333028 0.577588
5.48279 0.0206332 0.0342209 -0.0850023
6.96016 -0.0526961 -0.395574 -0.410217
5.15344 -0.0759527 1.00997 0.438184
5.79636 0.583843 0.0410841 0.117216
5.04827 0.127445 -0.190488 -0.0265221
6.82206 0.373412 0.0869333 -0.137183
4.98207 -0.381763 0.302046 -0.401264
4.43545 0.619734 -0.192064 -0.423253
5.78277 -0.0287899 0.157228 0.10923
6.63103 -0.103959 0.0062051 0.228388
4.66187 -0.27258 0.185063 0.141879
5.03605 0.14292 0.343612 -0.43833
5.75866 -0.209343 0.377821 -0.21163
5.28337 -0.594427 0.156695 0.196308
5.02731 -0.126386 0.276198 0.266286
5.68629 -0.271058 -0.277341 0.471745
6.75953 -0.210936 0.87541 -0.457191
6.0438 0.350059 -0.11259 0.413804
4.20994 -0.135653 -0.165836 -0.185614
5.29463 -0.197645 0.340539 0.0634063
5.44123 -0.0287101 0.142024 0.225455
6.60693 -0.284644 -0.195885 0.127572
6.08984 -0.0502585 0.413349 0.0103516
6.21809 0.1906 0.484175 0.514635
6.22279 0.324626 -0.0174688 0.0646514
5.61232 -0.21516 0.180878 -0.561221
6.82502 0.103589 -0.0775025 0.0999701
4.51114 0.201195 0.463119 0.389385
5.91516 -0.0213205 0.654844 0.108018
6.1849 0.546954 -0.0942266 -0.0484995
5.79674 -0.0741154 0.218657 -0.376322
4.05085 -0.261277 -0.143289 -0.146846
4.12596 -0.16671 0.490315 -0.00213876
5.8389 -0.347333 0.171925 0.127329
5.89111 -0.209445 -0.050651 0.328364
5.73987 0.123288 0.422025 -0.201241
5.33293 0.0902751 0.395517 -0.107658
4.755 -0.186615 0.59051 -0.243214
5.85702 0.277857 0.139 0.455707
6.92561 -0.213445 0.706432 0.144875
