Date,Month,AvgTemp_F,MaxTemp_F,MinTemp_F,Precipitation_in,WindSpeed_mph,Humidity_pct
2025-03-06,3,38.3,53.2,24.3,0.0,11.4,30.4
2025-03-07,3,41.4,51.9,36.2,0.0,13.1,52.1
2025-03-08,3,34.6,47.3,28.7,0.0,8.0,37.5
2025-03-09,3,40.4,54.8,33.3,0.0,14.9,47.9
2025-03-10,3,37.5,51.0,32.3,0.0,9.7,62.5
2025-03-11,3,32.9,40.4,26.1,0.05,10.5,38.4
2025-03-12,3,38.3,47.8,27.5,0.07,8.4,25.5
2025-03-13,3,44.6,50.9,35.4,0.02,3.4,43.3
2025-03-14,3,37.2,51.7,23.2,0.0,13.3,54.4
2025-03-15,3,45.6,56.6,32.4,0.0,13.0,61.1
2025-03-16,3,25.1,32.4,16.7,0.0,10.0,35.6
2025-03-17,3,42.7,54.4,35.1,0.0,11.0,49.3
2025-03-18,3,39.5,50.6,30.7,0.05,12.4,41.6
2025-03-19,3,38.0,46.5,27.1,0.0,6.3,44.4
2025-03-20,3,40.3,46.5,32.7,0.02,9.4,66.4
2025-03-21,3,30.4,42.1,19.1,0.0,13.4,33.1
2025-03-22,3,39.7,49.9,30.6,0.01,7.3,47.2
2025-03-23,3,43.0,55.7,32.5,0.0,12.0,48.8
2025-03-24,3,49.0,59.2,39.7,0.07,7.1,53.8
2025-03-25,3,39.5,53.0,31.6,0.0,12.6,45.8
2025-03-26,3,38.5,49.0,24.0,0.06,11.1,47.5
2025-03-27,3,40.5,51.1,27.9,0.0,6.4,41.9
2025-03-28,3,48.0,61.8,41.6,0.03,14.8,47.2
2025-03-29,3,45.6,54.6,31.9,0.0,9.2,42.3
2025-03-30,3,41.7,48.1,31.9,0.0,9.0,50.0
2025-03-31,3,47.4,52.7,33.5,0.0,12.0,42.0
2025-04-01,4,45.8,58.4,32.8,0.0,14.9,48.0
2025-04-02,4,50.6,61.8,41.4,0.0,8.5,44.8
2025-04-03,4,42.7,54.8,37.5,0.04,11.7,54.0
2025-04-04,4,45.1,52.2,37.4,0.01,12.9,44.7
2025-04-05,4,45.2,51.6,34.8,0.0,13.7,30.9
2025-04-06,4,40.4,45.5,29.0,0.0,12.2,55.2
2025-04-07,4,49.6,58.1,42.1,0.0,10.6,37.9
2025-04-08,4,49.9,60.8,43.5,0.02,9.2,40.0
2025-04-09,4,49.1,58.1,35.8,0.0,12.0,40.5
2025-04-10,4,48.4,57.8,33.6,0.01,8.5,56.3
2025-04-11,4,43.0,57.0,32.7,0.0,3.0,28.2
2025-04-12,4,48.5,56.9,41.7,0.1,13.1,70.5
2025-04-13,4,49.3,59.5,41.6,0.01,14.5,53.9
2025-04-14,4,47.5,60.3,42.3,0.0,4.7,47.3
2025-04-15,4,51.2,60.2,37.1,0.01,8.8,45.1
2025-04-16,4,54.5,65.7,48.3,0.0,13.7,47.9
2025-04-17,4,62.4,76.0,51.6,0.1,18.1,49.9
2025-04-18,4,54.3,68.8,46.6,0.0,12.0,51.0
2025-04-19,4,55.2,61.7,44.7,0.11,9.7,50.3
2025-04-20,4,54.0,68.3,42.5,0.14,11.4,46.7
2025-04-21,4,45.3,55.2,32.0,0.04,16.1,44.5
2025-04-22,4,55.2,62.8,48.2,0.14,10.0,45.0
2025-04-23,4,56.1,65.7,51.0,0.0,9.6,44.7
2025-04-24,4,68.6,83.4,62.3,0.0,10.5,55.5
2025-04-25,4,55.8,65.8,41.8,0.0,9.1,51.3
2025-04-26,4,58.8,67.1,45.0,0.0,12.4,23.1
2025-04-27,4,57.6,68.9,46.6,0.06,16.9,52.0
2025-04-28,4,52.4,59.8,41.4,0.0,13.0,48.4
2025-04-29,4,64.4,70.2,52.7,0.07,11.2,46.8
2025-04-30,4,62.9,69.2,56.2,0.12,11.1,44.0
2025-05-01,5,63.6,69.9,49.4,0.02,7.3,56.2
2025-05-02,5,55.5,62.0,46.3,0.0,14.6,55.0
2025-05-03,5,67.6,73.9,58.7,0.03,11.8,41.3
2025-05-04,5,54.0,65.4,43.8,0.02,11.5,50.9
2025-05-05,5,64.4,71.2,58.9,0.0,21.6,40.1
2025-05-06,5,72.9,81.3,66.2,0.03,12.9,36.9
2025-05-07,5,57.4,71.4,45.0,0.31,9.7,43.1
2025-05-08,5,60.0,69.7,54.1,0.0,10.7,55.2
2025-05-09,5,63.7,75.4,52.7,0.0,15.4,56.1
2025-05-10,5,61.2,67.9,53.7,0.0,12.3,52.7
2025-05-11,5,56.4,63.3,47.5,0.0,7.6,54.6
2025-05-12,5,64.9,70.3,57.0,0.0,14.7,53.1
2025-05-13,5,59.7,66.4,51.1,0.0,9.9,44.0
2025-05-14,5,67.8,75.6,55.6,0.0,17.5,52.8
2025-05-15,5,61.2,68.0,53.3,0.0,15.1,55.9
2025-05-16,5,74.0,79.9,63.3,0.46,10.5,55.7
2025-05-17,5,62.7,68.9,53.0,0.0,15.7,59.4
2025-05-18,5,65.5,75.1,53.8,0.1,12.0,55.7
2025-05-19,5,71.5,78.6,57.2,0.0,14.4,53.1
2025-05-20,5,61.7,70.4,49.4,0.0,13.2,59.0
2025-05-21,5,69.4,79.4,62.3,0.0,9.2,50.5
2025-05-22,5,75.2,87.1,69.9,0.0,9.8,43.8
2025-05-23,5,61.0,66.4,53.4,0.0,14.8,49.8
2025-05-24,5,70.3,83.3,59.4,0.07,10.7,45.3
2025-05-25,5,71.1,82.4,65.6,0.0,10.5,46.1
2025-05-26,5,74.1,79.9,64.1,0.12,8.8,50.6
2025-05-27,5,64.3,78.1,53.4,0.13,12.9,45.6
2025-05-28,5,64.3,78.5,55.9,0.0,17.8,49.7
2025-05-29,5,73.8,79.5,61.1,0.0,8.3,37.2
2025-05-30,5,73.1,80.8,67.0,0.05,11.6,54.3
2025-05-31,5,73.2,86.2,67.4,0.0,15.7,52.8
2025-06-01,6,74.0,86.5,61.7,0.0,11.2,46.5
2025-06-02,6,69.2,76.0,59.2,0.18,12.8,58.6
2025-06-03,6,74.1,81.2,62.2,0.0,8.2,61.0
2025-06-04,6,74.7,83.4,65.3,0.06,12.6,40.9
2025-06-05,6,70.0,79.8,62.5,0.12,10.7,47.9
2025-06-06,6,83.2,94.4,70.0,0.0,14.2,48.1
2025-06-07,6,76.5,85.2,63.5,0.0,14.8,46.9
2025-06-08,6,68.5,78.1,56.5,0.0,19.0,61.3
2025-06-09,6,78.0,90.5,70.3,0.0,12.9,53.4
2025-06-10,6,70.1,75.5,59.2,0.0,12.1,53.1
2025-06-11,6,79.2,86.7,70.6,0.09,11.6,39.4
2025-06-12,6,81.3,93.5,75.4,0.0,10.0,60.8
2025-06-13,6,71.7,85.6,57.5,0.0,12.0,46.0
2025-06-14,6,80.9,91.0,74.5,0.1,10.0,56.6
2025-06-15,6,78.4,88.7,63.9,0.1,11.4,58.6
2025-06-16,6,80.6,86.7,71.2,0.13,14.8,67.6
2025-06-17,6,86.2,95.7,79.4,0.0,7.8,46.5
2025-06-18,6,75.7,86.1,65.3,0.12,14.1,33.0
2025-06-19,6,73.4,80.8,59.7,0.0,14.6,58.9
2025-06-20,6,72.9,80.6,60.6,0.0,10.3,72.1
2025-06-21,6,73.5,82.3,60.5,0.0,4.2,67.9
2025-06-22,6,77.4,82.6,65.8,0.3,8.7,59.9
2025-06-23,6,79.7,87.9,67.8,0.0,14.4,54.5
2025-06-24,6,79.5,86.6,66.0,0.0,10.3,65.2
2025-06-25,6,82.5,90.7,75.0,0.0,7.4,51.2
2025-06-26,6,78.5,84.7,68.6,0.0,8.8,63.0
2025-06-27,6,85.9,99.8,78.7,0.18,12.8,63.5
2025-06-28,6,77.5,88.4,62.6,0.07,11.8,68.2
2025-06-29,6,92.5,104.3,78.1,0.08,9.4,82.1
2025-06-30,6,82.2,95.1,76.8,0.0,9.0,63.4
2025-07-01,7,74.9,84.9,62.8,0.0,8.8,56.4
2025-07-02,7,73.9,79.8,59.7,0.0,7.2,60.6
2025-07-03,7,81.8,92.2,75.0,0.0,14.7,46.9
2025-07-04,7,78.4,89.2,67.7,0.0,8.9,55.7
2025-07-05,7,83.1,95.6,69.0,0.04,13.4,58.3
2025-07-06,7,82.0,91.3,76.7,0.0,14.3,57.6
2025-07-07,7,79.4,85.6,67.4,0.0,12.6,63.3
2025-07-08,7,75.5,83.4,67.6,0.0,8.3,55.7
2025-07-09,7,72.3,80.9,58.0,0.0,10.7,71.5
2025-07-10,7,77.7,89.1,62.9,0.0,9.4,62.8
2025-07-11,7,84.2,94.9,69.8,0.07,6.7,63.0
2025-07-12,7,81.0,89.6,71.3,0.04,10.3,60.7
2025-07-13,7,73.8,88.6,60.1,0.03,5.7,64.8
2025-07-14,7,80.9,91.9,67.4,0.0,12.7,70.4
2025-07-15,7,81.9,89.3,73.7,0.0,7.7,57.1
2025-07-16,7,75.6,81.6,62.3,0.0,9.7,59.1
2025-07-17,7,80.8,87.3,75.4,0.0,9.8,62.1
2025-07-18,7,80.3,87.7,69.3,0.06,8.1,54.1
2025-07-19,7,74.2,80.8,66.9,0.0,10.6,58.5
2025-07-20,7,81.7,88.6,75.5,0.0,7.4,61.5
2025-07-21,7,82.7,90.5,76.9,0.0,11.3,72.5
2025-07-22,7,85.2,92.0,73.3,0.0,4.6,67.9
2025-07-23,7,85.0,99.0,76.6,0.03,9.0,67.6
2025-07-24,7,72.8,78.6,60.5,0.0,14.3,73.1
2025-07-25,7,74.9,85.2,69.3,0.0,5.4,65.4
2025-07-26,7,82.1,91.2,73.9,0.0,6.3,69.8
2025-07-27,7,82.0,96.8,71.6,0.0,9.9,66.1
2025-07-28,7,81.9,88.0,69.0,0.17,8.8,69.3
2025-07-29,7,98.5,107.5,90.3,0.15,9.2,62.7
2025-07-30,7,82.0,96.7,70.7,0.09,9.6,48.1
2025-07-31,7,84.7,98.3,70.8,0.18,9.9,66.8
2025-08-01,8,83.6,96.8,72.5,0.0,11.3,79.5
2025-08-02,8,82.0,89.5,74.6,0.03,9.1,75.7
2025-08-03,8,77.0,83.7,71.7,0.0,7.1,76.2
2025-08-04,8,82.2,93.9,68.5,0.0,9.8,78.6
2025-08-05,8,74.4,88.7,69.2,0.08,13.4,69.6
2025-08-06,8,76.9,87.4,63.1,0.0,7.2,70.7
2025-08-07,8,75.5,86.2,65.2,0.02,4.6,64.4
2025-08-08,8,78.1,85.9,63.7,0.0,10.8,67.0
2025-08-09,8,89.1,101.8,76.1,0.06,7.1,74.7
2025-08-10,8,68.0,74.8,53.0,0.23,0.8,79.6
2025-08-11,8,80.5,88.8,72.0,0.05,9.8,69.0
2025-08-12,8,68.8,78.1,56.1,0.07,5.6,66.7
2025-08-13,8,74.3,84.4,65.3,0.02,6.9,70.5
2025-08-14,8,81.9,89.3,72.1,0.0,8.1,75.5
2025-08-15,8,76.5,82.6,65.2,0.0,7.6,59.3
2025-08-16,8,70.5,81.6,56.8,0.0,9.1,52.7
2025-08-17,8,72.1,80.0,57.2,0.01,5.6,66.8
2025-08-18,8,78.8,89.6,66.1,0.0,8.4,61.6
2025-08-19,8,71.5,78.0,62.3,0.09,6.0,67.5
2025-08-20,8,75.9,85.8,66.7,0.0,8.9,70.5
2025-08-21,8,74.8,85.1,62.4,0.0,8.5,68.2
2025-08-22,8,71.0,76.6,63.6,0.07,3.7,83.6
2025-08-23,8,84.7,93.1,78.6,0.0,9.7,74.8
2025-08-24,8,76.9,83.2,68.3,0.0,4.8,74.7
2025-08-25,8,63.3,68.9,55.4,0.0,8.8,77.4
2025-08-26,8,74.0,88.9,66.0,0.01,7.4,63.5
2025-08-27,8,69.4,77.7,62.1,0.04,11.8,81.1
2025-08-28,8,76.7,89.8,71.3,0.0,5.5,72.3
2025-08-29,8,68.1,75.7,63.0,0.0,5.1,78.4
2025-08-30,8,71.2,83.0,56.3,0.0,6.0,64.6
2025-08-31,8,73.9,86.5,64.7,0.29,5.1,60.8
2025-09-01,9,75.4,86.3,66.5,0.02,8.3,79.9
2025-09-02,9,64.7,74.4,52.9,0.0,1.0,76.5
2025-09-03,9,68.7,77.8,61.5,0.0,2.7,66.4
2025-09-04,9,67.6,76.1,53.1,0.0,2.6,66.8
2025-09-05,9,66.3,80.6,53.5,0.02,8.6,82.8
2025-09-06,9,78.1,91.4,72.2,0.1,10.8,64.4
2025-09-07,9,70.9,85.5,61.7,0.0,5.3,87.1
2025-09-08,9,62.2,68.4,48.4,0.0,5.0,66.9
2025-09-09,9,72.7,85.0,58.2,0.0,5.7,79.3
2025-09-10,9,78.3,92.7,68.6,0.06,8.9,71.6
2025-09-11,9,72.4,79.2,61.3,0.0,2.6,79.2
2025-09-12,9,59.3,64.9,52.6,0.17,6.0,70.1
2025-09-13,9,64.0,76.4,49.1,0.07,8.2,73.2
2025-09-14,9,72.4,83.1,65.1,0.0,6.7,74.9
2025-09-15,9,62.1,75.5,47.6,0.0,5.7,66.6
2025-09-16,9,67.4,73.8,55.9,0.0,8.1,80.6
2025-09-17,9,68.6,81.6,57.6,0.09,0.0,70.6
2025-09-18,9,59.7,66.7,49.6,0.02,7.1,72.9
2025-09-19,9,63.6,70.2,56.3,0.09,3.0,66.9
2025-09-20,9,47.3,53.9,40.5,0.0,0.0,54.4
2025-09-21,9,57.9,71.0,50.7,0.0,6.4,73.4
2025-09-22,9,61.3,73.0,54.4,0.01,9.0,94.2
2025-09-23,9,55.9,66.1,43.1,0.09,4.4,81.2
2025-09-24,9,69.8,78.4,61.3,0.0,7.6,74.8
2025-09-25,9,54.1,67.8,48.5,0.01,9.6,72.9
2025-09-26,9,58.6,67.5,43.9,0.3,8.6,75.2
2025-09-27,9,61.0,74.1,47.1,0.04,9.6,79.4
2025-09-28,9,67.1,76.4,52.8,0.16,6.8,65.6
2025-09-29,9,52.2,61.0,37.3,0.12,4.8,83.9
2025-09-30,9,64.7,74.4,58.0,0.07,0.0,80.7
2025-10-01,10,58.5,66.5,49.5,0.0,3.8,80.7
2025-10-02,10,53.1,65.5,40.5,0.0,2.0,78.5
2025-10-03,10,59.8,69.8,47.9,0.04,11.0,75.1
2025-10-04,10,58.0,65.4,51.5,0.0,3.9,80.3
2025-10-05,10,53.6,67.6,40.4,0.0,4.8,79.6
2025-10-06,10,56.4,65.3,49.2,0.0,6.0,72.0
2025-10-07,10,53.7,64.1,46.4,0.0,4.5,70.2
2025-10-08,10,55.7,69.8,45.3,0.12,9.4,75.6
2025-10-09,10,58.0,69.2,47.0,0.04,2.4,87.1
2025-10-10,10,62.1,68.3,51.3,0.0,4.8,64.8
2025-10-11,10,47.5,61.9,41.6,0.0,2.0,62.9
2025-10-12,10,63.9,75.1,50.1,0.0,0.2,75.9
2025-10-13,10,43.0,51.3,35.3,0.0,2.3,74.9
2025-10-14,10,51.5,57.9,45.2,0.03,4.1,75.8
2025-10-15,10,54.7,67.6,40.8,0.0,2.9,76.3
2025-10-16,10,52.7,63.9,38.1,0.03,2.1,72.5
2025-10-17,10,47.7,58.0,34.1,0.09,0.0,86.1
2025-10-18,10,49.3,63.2,36.2,0.03,3.8,61.3
2025-10-19,10,47.4,60.3,35.8,0.04,0.0,67.4
2025-10-20,10,46.4,52.9,35.9,0.0,6.3,73.1
2025-10-21,10,53.1,61.2,47.3,0.03,4.3,60.7
2025-10-22,10,50.2,57.7,41.1,0.0,0.0,72.4
2025-10-23,10,44.5,56.9,35.7,0.0,3.1,87.0
2025-10-24,10,51.9,57.3,44.3,0.07,1.8,73.7
2025-10-25,10,48.5,59.2,36.3,0.08,5.0,75.3
2025-10-26,10,50.6,63.2,40.6,0.07,8.0,63.2
2025-10-27,10,49.2,62.9,43.4,0.0,0.0,68.3
2025-10-28,10,41.4,49.8,34.2,0.0,4.3,70.1
2025-10-29,10,42.3,55.5,30.4,0.15,3.5,70.4
2025-10-30,10,48.4,54.5,42.6,0.05,6.0,83.1
2025-10-31,10,47.2,60.7,33.7,0.0,4.6,77.1
2025-11-01,11,43.6,49.9,33.6,0.0,1.7,63.6
2025-11-02,11,43.8,52.8,34.0,0.0,3.0,74.4
2025-11-03,11,49.2,62.1,38.2,0.03,1.6,76.2
2025-11-04,11,39.4,45.9,26.1,0.03,7.2,81.2
2025-11-05,11,44.6,51.9,36.1,0.0,4.1,84.6
2025-11-06,11,40.4,52.6,28.6,0.0,9.7,63.7
2025-11-07,11,39.9,52.1,29.2,0.06,3.8,65.1
2025-11-08,11,46.0,57.4,38.4,0.1,1.9,61.4
2025-11-09,11,44.2,56.2,30.4,0.0,0.0,69.4
2025-11-10,11,43.7,54.2,30.8,0.09,0.0,74.8
2025-11-11,11,45.8,53.3,34.2,0.0,0.0,78.8
2025-11-12,11,38.9,47.4,25.4,0.0,4.9,70.2
2025-11-13,11,41.8,48.6,28.1,0.0,5.6,68.0
2025-11-14,11,36.4,50.5,24.3,0.0,0.0,71.6
2025-11-15,11,39.2,50.0,25.8,0.07,6.8,63.5
2025-11-16,11,36.5,45.5,24.5,0.17,2.7,86.7
2025-11-17,11,37.2,46.8,25.4,0.01,4.6,57.0
2025-11-18,11,39.3,53.8,28.1,0.0,9.0,71.1
2025-11-19,11,31.8,38.4,19.3,0.0,6.9,85.6
2025-11-20,11,46.0,56.9,39.4,0.0,3.4,69.3
2025-11-21,11,30.1,40.2,16.3,0.0,1.6,67.5
2025-11-22,11,28.7,39.8,15.0,0.0,0.0,66.0
2025-11-23,11,40.2,45.4,34.9,0.04,2.2,67.2
2025-11-24,11,38.0,51.7,24.7,0.0,3.7,79.4
2025-11-25,11,36.8,51.1,30.5,0.0,1.4,50.5
2025-11-26,11,36.4,47.1,28.1,0.01,4.0,80.2
2025-11-27,11,32.9,44.8,20.4,0.0,4.7,56.3
2025-11-28,11,28.1,42.3,21.5,0.04,3.8,65.4
2025-11-29,11,32.6,44.7,19.4,0.01,2.5,63.9
2025-11-30,11,28.5,35.0,15.2,0.06,5.0,71.8
2025-12-01,12,36.4,47.2,26.4,0.0,5.9,54.1
2025-12-02,12,30.5,41.6,25.4,0.0,1.3,70.3
2025-12-03,12,26.8,36.0,18.9,0.02,8.9,82.6
2025-12-04,12,29.0,41.4,17.8,0.0,4.4,55.2
2025-12-05,12,32.4,46.7,17.6,0.0,4.8,67.4
2025-12-06,12,27.2,41.4,15.9,0.07,6.9,60.4
2025-12-07,12,25.6,35.1,18.0,0.0,5.5,68.8
2025-12-08,12,30.6,36.8,19.3,0.04,7.7,65.3
2025-12-09,12,30.4,45.2,20.0,0.0,5.7,59.8
2025-12-10,12,26.3,39.7,13.5,0.0,3.1,68.6
2025-12-11,12,26.2,32.5,20.2,0.0,6.1,78.9
2025-12-12,12,29.5,43.7,16.9,0.0,1.6,62.7
2025-12-13,12,20.8,34.5,10.4,0.0,5.4,69.7
2025-12-14,12,20.8,31.0,6.2,0.0,5.0,53.4
2025-12-15,12,24.0,34.9,15.6,0.11,4.5,55.8
2025-12-16,12,26.3,35.3,15.0,0.04,4.8,67.0
2025-12-17,12,28.7,34.2,14.4,0.0,0.0,74.8
2025-12-18,12,34.3,42.6,28.3,0.0,3.7,65.5
2025-12-19,12,31.0,44.0,16.6,0.22,5.6,59.9
2025-12-20,12,25.7,30.7,13.8,0.05,5.9,62.2
2025-12-21,12,26.2,34.5,20.5,0.12,2.4,51.9
2025-12-22,12,21.1,30.1,13.1,0.0,9.3,66.5
2025-12-23,12,25.8,36.2,13.8,0.0,3.0,68.5
2025-12-24,12,24.3,38.5,18.7,0.0,8.5,57.5
2025-12-25,12,27.2,35.7,16.4,0.0,7.0,57.1
2025-12-26,12,21.3,29.8,12.9,0.02,3.8,62.8
2025-12-27,12,27.9,40.3,16.7,0.0,11.1,56.9
2025-12-28,12,32.8,42.3,27.4,0.16,2.3,59.6
2025-12-29,12,24.5,31.7,10.8,0.0,8.7,76.7
2025-12-30,12,26.9,36.4,12.2,0.0,9.0,57.6
2025-12-31,12,28.2,34.6,13.5,0.0,4.0,56.5
