Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
23.0,73.11,222.5,155.0,232.5,610.0
35.0,169.83,407.5,242.5,315.0,965.0
20.0,58.8,183.0,107.5,241.0,531.5
22.0,74.0,220.0,157.5,260.0,637.5
19.0,51.05,105.0,55.0,125.0,285.0
16.0,62.2,95.0,47.5,110.0,252.5
29.0,62.65,152.5,82.5,185.0,420.0
34.0,62.85,155.0,85.0,180.0,420.0
48.0,58.66,167.5,100.0,185.0,452.5
27.0,73.85,220.0,165.0,281.5,666.5
25.0,82.25,245.0,165.0,270.0,680.0
31.0,82.95,230.0,135.0,280.0,645.0
24.0,73.3,255.0,170.0,275.0,700.0
44.0,81.25,60.0,135.0,170.0,365.0
53.0,81.3,220.0,122.5,210.0,552.5
51.0,99.4,150.0,82.5,175.0,407.5
54.0,56.85,110.0,52.5,145.0,307.5
40.0,61.7,132.5,70.0,147.5,350.0
68.0,59.9,60.0,47.5,110.0,217.5
45.0,66.85,122.5,65.0,162.5,350.0
58.0,71.15,102.5,60.0,135.0,297.5
51.0,82.15,141.0,72.5,150.0,363.5
17.0,71.5,107.5,50.0,112.5,270.0
18.0,67.35,125.0,73.5,160.0,358.5
23.0,71.9,145.0,89.0,172.5,406.5
18.0,92.95,185.0,166.0,220.0,571.0
23.0,98.9,250.0,165.0,300.0,715.0
25.0,91.3,250.0,145.0,260.0,655.0
37.0,182.3,460.0,250.0,332.5,1042.5
25.0,118.55,310.0,190.0,315.0,815.0
43.0,144.3,190.0,135.0,215.0,540.0
17.0,142.5,190.0,142.5,210.0,542.5
53.0,98.65,256.0,145.0,280.0,681.0
55.0,99.5,210.0,120.0,270.0,600.0
42.0,118.6,275.0,172.5,300.0,747.5
36.0,69.65,130.0,72.5,160.0,362.5
26.0,141.3,160.0,80.0,170.0,410.0
24.0,71.6,180.0,100.0,190.0,470.0
36.0,110.85,197.5,117.5,215.0,530.0
24.0,65.1,160.0,125.0,190.0,475.0
25.0,63.25,110.0,110.0,160.0,380.0
24.0,73.65,230.0,157.5,240.0,627.5
24.0,73.6,212.5,132.5,252.5,597.5
26.0,82.25,222.5,142.5,265.0,630.0
27.0,82.35,227.5,150.0,240.0,617.5
36.0,75.8,140.0,95.0,150.0,385.0
32.0,92.15,260.0,200.0,300.0,760.0
24.0,92.8,250.0,137.5,260.0,647.5
24.0,118.6,300.0,170.0,300.0,770.0
25.0,108.3,242.5,155.0,290.0,687.5
36.0,181.3,455.0,262.5,305.0,1022.5
31.0,134.75,357.5,230.0,337.5,925.0
17.0,70.65,140.0,77.5,185.0,402.5
23.0,73.35,215.0,120.0,247.5,582.5
22.0,70.5,205.0,140.0,232.5,577.5
21.0,73.9,100.0,150.0,100.0,350.0
23.0,80.85,260.5,173.0,255.0,688.5
21.0,81.85,245.0,175.0,250.0,670.0
23.0,79.8,185.0,120.0,230.0,535.0
21.0,92.4,242.5,155.0,240.0,637.5
22.0,90.05,202.5,142.5,250.0,595.0
20.0,101.6,250.0,160.0,265.0,675.0
22.0,103.65,250.0,150.0,250.0,650.0
23.0,118.65,250.0,185.0,265.0,700.0
21.0,118.8,202.5,162.5,265.0,630.0
23.0,143.5,275.0,165.0,280.0,720.0
46.0,92.75,205.0,127.5,237.5,570.0
41.0,118.5,285.0,175.0,300.0,760.0
52.0,74.0,207.0,110.0,210.0,527.0
52.0,92.95,255.5,145.0,265.5,666.0
54.0,97.6,200.0,112.5,265.0,577.5
58.0,93.4,115.0,100.0,170.0,385.0
55.0,133.05,227.5,120.0,250.0,597.5
60.0,90.85,150.0,110.0,210.0,470.0
41.0,51.7,153.5,85.0,180.0,418.5
32.0,51.5,110.0,65.0,132.5,307.5
35.0,51.35,100.0,62.5,120.0,282.5
28.0,54.6,115.0,62.5,150.0,327.5
42.0,62.35,147.5,75.0,192.5,415.0
35.0,60.6,150.0,77.5,172.5,400.0
33.0,62.75,137.5,82.5,170.0,390.0
24.0,62.35,147.5,72.5,165.0,385.0
35.0,69.35,140.0,70.0,170.0,380.0
25.0,70.95,125.0,60.0,150.0,335.0
37.0,121.1,167.5,95.0,167.5,430.0
17.0,51.75,125.5,100.0,130.0,355.5
19.0,56.8,120.0,78.0,130.0,328.0
21.0,61.75,130.0,77.5,152.5,360.0
23.0,71.35,158.0,88.0,173.0,419.0
22.0,70.95,142.5,80.0,150.0,372.5
21.0,71.45,105.0,60.0,125.0,290.0
23.0,78.45,152.5,72.5,175.0,400.0
44.0,62.65,110.0,60.0,140.0,310.0
41.0,82.5,155.0,72.5,165.0,392.5
46.0,92.65,135.0,75.0,150.0,360.0
44.0,90.55,130.0,75.0,140.0,345.0
53.0,56.7,105.0,55.0,142.5,302.5
54.0,62.1,117.5,70.0,175.5,363.0
50.0,81.1,133.0,77.5,147.5,358.0
50.0,96.95,137.5,77.5,157.5,372.5
67.0,61.45,65.0,42.5,105.0,212.5
60.0,71.4,86.0,57.5,132.5,276.0
22.0,44.7,95.0,45.0,123.0,263.0
31.0,67.2,85.0,50.0,115.0,250.0
22.0,59.55,122.5,75.0,185.0,382.5
23.0,72.0,162.5,122.0,220.5,505.0
20.0,72.1,195.0,95.0,215.0,505.0
22.0,71.9,150.0,102.5,190.0,442.5
22.0,69.7,120.0,90.0,162.5,372.5
20.0,79.2,205.0,87.5,220.5,513.0
19.0,81.05,160.0,95.0,217.5,472.5
19.0,93.7,185.0,90.0,212.5,487.5
21.0,137.4,185.0,130.0,205.0,520.0
22.0,121.5,180.0,102.5,220.0,502.5
26.0,58.65,130.0,100.0,190.0,420.0
27.0,58.85,120.0,77.5,180.0,377.5
26.0,65.05,182.5,127.5,220.0,530.0
32.0,65.7,182.5,115.0,220.0,517.5
26.0,71.35,195.5,115.0,250.5,561.0
33.0,73.15,127.5,80.0,152.5,360.0
29.0,74.05,200.0,130.0,290.0,620.0
26.0,79.15,200.0,117.5,230.0,547.5
24.0,82.25,170.0,130.0,225.0,525.0
31.0,80.9,192.5,100.0,210.0,502.5
32.0,80.75,165.0,100.0,200.0,465.0
25.0,90.8,185.0,122.5,253.0,560.5
35.0,90.3,200.0,120.0,235.0,555.0
28.0,88.4,190.0,130.0,225.0,545.0
25.0,92.25,197.5,90.0,230.0,517.5
24.0,91.8,195.0,105.0,200.0,500.0
27.0,91.75,140.0,110.0,177.5,427.5
37.0,84.25,140.0,75.0,150.0,365.0
24.0,116.7,212.5,115.0,258.0,585.5
26.0,140.5,195.0,102.5,230.0,527.5
17.0,63.9,150.0,105.0,160.0,415.0
17.0,73.05,137.5,75.0,160.0,372.5
33.0,89.62,200.0,145.0,230.0,575.0
37.0,62.95,130.0,90.0,140.0,360.0
49.0,82.83,225.0,147.5,250.0,622.5
34.0,92.29,220.0,160.0,250.0,630.0
31.0,61.05,120.0,80.0,137.5,337.5
40.0,116.9,202.5,172.5,227.5,602.5
42.0,143.8,240.0,175.0,282.5,697.5
41.0,144.35,272.5,177.5,285.0,735.0
52.0,82.9,145.0,110.0,190.0,445.0
16.0,73.6,130.0,102.5,172.5,405.0
16.0,92.15,142.5,120.0,175.0,437.5
49.0,82.8,135.0,107.5,180.0,422.5
60.0,95.55,160.5,127.5,230.5,518.5
20.0,102.02,190.0,150.0,242.5,582.5
56.0,81.02,150.0,110.0,190.0,450.0
21.0,66.24,132.5,85.0,140.0,357.5
21.0,110.32,210.0,152.5,255.0,617.5
20.0,80.35,150.0,92.5,165.0,407.5
53.0,83.15,152.5,115.0,200.0,467.5
41.0,141.1,270.0,180.0,285.0,735.0
61.0,82.5,145.0,115.0,210.0,470.0
43.0,71.55,112.5,77.5,145.0,335.0
37.0,62.82,137.5,97.5,150.0,385.0
21.0,110.75,180.0,150.0,240.0,570.0
20.0,117.8,220.0,165.0,280.0,665.0
19.0,102.3,230.0,122.5,230.0,582.5
40.0,114.45,190.0,180.0,225.0,595.0
55.0,80.51,160.0,112.5,217.5,490.0
33.0,62.8,120.0,85.0,140.0,345.0
19.0,100.0,175.0,127.5,235.0,537.5
41.0,96.3,170.0,157.5,190.0,517.5
18.0,102.35,190.0,155.0,260.0,605.0
19.0,104.43,200.0,150.0,250.0,600.0
39.0,62.89,50.0,90.0,100.0,240.0
19.0,99.3,220.0,117.5,220.0,557.5
26.0,83.42,137.5,77.5,175.0,390.0
23.0,71.3,95.0,85.0,130.0,310.0
42.0,142.38,270.0,177.5,287.5,735.0
43.0,69.83,100.0,75.0,140.0,315.0
51.0,83.0,145.0,110.0,185.0,440.0
38.0,62.35,107.5,65.0,130.0,302.5
18.0,78.9,170.0,137.5,120.0,427.5
33.0,89.35,200.0,140.0,240.0,580.0
17.0,60.19,125.0,85.0,162.5,372.5
18.0,90.3,190.0,100.0,207.5,497.5
50.0,82.86,150.0,110.0,202.5,462.5
61.0,81.75,130.0,110.0,190.0,430.0
43.0,73.78,200.0,140.0,220.0,560.0
18.0,62.8,135.0,105.0,180.0,420.0
21.0,102.25,240.0,125.0,235.0,600.0
22.0,83.53,175.0,107.5,177.5,460.0
44.0,88.45,100.0,75.0,150.0,325.0
34.0,62.91,130.0,85.0,142.5,357.5
21.0,66.95,125.0,77.5,137.5,340.0
17.0,92.36,177.5,132.5,195.0,505.0
44.0,70.95,125.0,82.5,155.0,362.5
20.0,82.9,160.0,100.0,175.0,435.0
50.0,82.62,215.0,147.5,245.0,607.5
35.0,62.32,135.0,90.0,155.0,380.0
38.0,62.9,140.0,100.0,150.0,390.0
49.0,82.01,220.0,147.5,250.0,617.5
32.0,62.3,125.0,80.0,135.0,340.0
18.0,90.9,207.5,110.0,212.5,530.0
40.0,138.85,270.0,180.0,290.0,740.0
19.0,116.08,165.0,170.0,285.0,620.0
31.0,94.3,180.0,140.0,200.0,520.0
46.0,71.15,125.0,90.0,150.0,365.0
16.0,90.05,155.0,85.0,180.0,420.0
20.0,99.25,220.0,120.0,225.0,565.0
19.0,77.65,130.0,80.0,150.0,360.0
48.0,81.51,225.0,147.5,245.0,617.5
33.0,119.7,270.0,170.0,230.0,670.0
36.0,64.6,135.0,100.0,150.0,385.0
19.0,93.4,175.0,137.5,185.0,497.5
39.0,62.83,145.0,102.5,157.5,405.0
21.0,81.46,167.5,107.5,170.0,445.0
26.0,82.59,130.0,85.0,170.0,385.0
34.0,91.42,220.0,150.0,247.5,617.5
44.0,96.85,110.0,80.0,152.5,342.5
48.0,82.36,227.5,140.0,250.0,617.5
21.0,103.45,240.0,160.0,320.0,720.0
17.0,98.3,180.0,142.5,200.0,522.5
20.0,55.6,80.0,40.0,110.0,230.0
22.0,56.35,67.5,40.0,90.0,197.5
20.0,66.25,127.5,75.0,170.0,372.5
21.0,75.0,152.5,87.5,175.0,415.0
28.0,45.15,110.0,57.5,130.0,297.5
28.0,55.65,122.5,60.0,140.0,322.5
26.0,56.0,112.5,45.0,135.0,292.5
31.0,59.65,117.5,80.5,155.0,353.0
30.0,61.25,110.0,70.0,165.0,345.0
32.0,61.95,120.0,62.5,140.0,322.5
20.0,66.25,127.5,75.0,170.0,372.5
36.0,67.4,132.5,57.5,150.0,340.0
26.0,67.3,100.0,55.0,130.0,285.0
31.0,70.4,90.0,77.5,127.5,295.0
48.0,74.4,112.5,47.5,125.0,285.0
32.0,75.75,85.0,50.0,110.0,245.0
27.0,81.0,125.0,85.0,170.0,380.0
17.0,55.35,85.0,55.5,120.0,260.5
23.0,57.9,117.5,77.5,177.5,372.5
19.0,65.6,167.5,115.0,237.0,519.5
22.0,64.6,165.0,90.0,200.0,455.0
23.0,73.8,230.0,160.0,260.0,650.0
20.0,71.6,200.0,150.0,250.0,600.0
19.0,72.8,185.0,117.5,235.0,537.5
20.0,71.7,155.0,95.0,205.0,455.0
23.0,70.5,125.0,85.0,162.5,372.5
20.0,80.8,225.0,150.0,285.0,660.0
22.0,81.7,200.0,120.0,247.5,567.5
23.0,82.4,202.5,142.5,222.5,567.5
21.0,82.2,150.0,80.0,175.0,405.0
23.0,91.5,220.0,140.0,257.5,617.5
20.0,90.1,210.0,140.0,250.0,600.0
21.0,88.0,175.0,102.5,200.0,477.5
21.0,98.6,231.0,170.0,251.0,652.0
20.0,112.2,182.5,112.5,200.0,495.0
23.0,122.9,200.0,140.0,240.0,580.0
23.0,123.2,180.0,110.0,210.0,500.0
23.0,57.9,117.5,77.5,177.5,372.5
22.0,64.6,165.0,90.0,200.0,455.0
25.0,65.0,140.0,87.5,150.0,377.5
27.0,73.4,225.0,122.5,270.0,617.5
30.0,72.6,177.5,115.0,210.0,502.5
27.0,73.6,175.0,120.0,190.0,485.0
27.0,72.1,130.0,100.0,200.0,430.0
25.0,82.2,245.0,163.0,267.5,675.5
20.0,80.8,225.0,150.0,285.0,660.0
29.0,82.7,210.0,152.5,237.5,600.0
31.0,82.8,205.0,152.5,230.0,587.5
27.0,80.6,200.0,115.0,255.0,570.0
31.0,79.5,190.0,120.0,245.0,555.0
28.0,81.6,190.0,142.5,220.0,552.5
38.0,80.6,170.0,122.5,220.0,512.5
24.0,90.0,240.0,172.5,290.0,702.5
34.0,91.9,255.0,162.5,250.0,667.5
23.0,91.5,220.0,140.0,257.5,617.5
36.0,93.0,220.0,155.0,240.0,615.0
29.0,86.7,222.5,127.5,255.0,605.0
32.0,91.6,195.0,127.5,250.0,572.5
31.0,85.7,140.0,75.0,145.0,360.0
35.0,105.0,260.0,170.0,260.0,690.0
21.0,98.6,231.0,170.0,251.0,652.0
29.0,103.4,215.0,140.0,217.5,572.5
28.0,103.6,180.0,120.0,210.0,510.0
41.0,126.5,240.0,155.0,245.0,640.0
27.0,134.1,210.0,120.0,220.0,550.0
18.0,67.2,160.0,105.0,212.5,477.5
18.0,120.0,185.0,80.0,170.0,435.0
22.0,56.9,90.0,45.0,120.0,255.0
22.0,74.1,155.0,90.0,200.0,445.0
18.0,76.0,102.5,47.5,127.5,277.5
28.0,45.6,114.5,60.0,140.0,314.5
26.0,56.5,122.5,50.0,145.0,317.5
24.0,55.3,107.5,50.0,125.0,282.5
29.0,62.8,128.0,86.0,152.5,366.5
31.0,61.6,110.0,72.5,170.0,352.5
35.0,61.6,130.0,50.0,137.5,317.5
27.0,60.3,90.0,40.0,105.0,235.0
32.0,62.9,95.0,25.0,110.0,230.0
36.0,67.6,135.0,52.5,152.5,340.0
27.0,66.3,110.0,60.0,142.5,312.5
38.0,65.3,97.5,57.5,140.0,295.0
34.0,71.5,127.5,62.5,147.5,337.5
27.0,73.1,110.0,62.5,140.0,312.5
31.0,76.0,90.0,75.0,130.0,295.0
28.0,81.1,147.5,90.0,167.5,405.0
35.0,80.1,80.0,57.5,120.0,257.5
17.0,56.9,100.0,56.0,115.0,271.0
22.0,64.4,155.0,95.0,187.5,437.5
20.0,70.45,205.0,160.5,250.0,615.5
20.0,72.95,165.0,102.5,215.0,482.5
22.0,73.1,145.0,97.5,185.0,427.5
18.0,69.8,122.5,70.0,155.0,347.5
21.0,80.8,200.0,110.0,250.0,560.0
20.0,82.6,190.0,117.5,202.5,510.0
20.0,80.8,190.0,115.0,200.0,505.0
18.0,78.1,157.5,112.5,205.0,475.0
19.0,74.1,150.0,107.5,205.0,462.5
21.0,81.8,167.5,92.5,192.5,452.5
20.0,92.1,225.0,140.0,240.0,605.0
20.0,90.3,212.5,135.0,250.0,597.5
21.0,90.7,222.5,125.0,242.5,590.0
22.0,91.5,220.5,137.5,230.0,588.0
22.0,92.1,207.5,130.0,235.0,572.5
22.0,91.5,195.0,130.0,240.0,565.0
22.0,91.5,167.5,110.0,210.0,487.5
20.0,84.2,120.0,115.0,210.0,445.0
22.0,102.5,242.5,152.5,252.5,647.5
21.0,105.0,245.0,127.5,245.0,617.5
20.0,95.9,180.0,95.0,222.5,497.5
18.0,128.9,190.0,97.5,197.5,485.0
46.0,91.6,107.5,115.0,200.0,422.5
25.0,59.0,167.5,96.0,178.0,441.5
26.0,64.2,200.0,120.0,203.0,523.0
32.0,66.0,177.5,110.0,200.0,487.5
23.0,62.9,140.0,90.0,187.5,417.5
25.0,65.4,155.0,92.5,170.0,417.5
23.0,73.85,241.0,165.0,290.0,696.0
27.0,73.55,210.0,147.5,265.0,622.5
27.0,73.8,200.0,122.5,235.0,557.5
27.0,72.9,170.0,130.0,200.0,500.0
27.0,73.4,160.0,125.0,215.0,500.0
27.0,81.8,220.0,162.5,240.0,622.5
27.0,81.2,210.0,125.0,270.0,605.0
27.0,79.9,200.0,115.0,250.0,565.0
27.0,80.1,215.0,112.5,222.5,550.0
38.0,82.6,175.0,120.0,220.0,515.0
23.0,79.5,175.0,122.5,215.0,512.5
32.0,82.2,190.0,115.0,202.5,507.5
32.0,82.4,185.0,100.0,215.0,500.0
26.0,82.1,115.0,70.0,165.0,350.0
27.0,89.0,235.0,150.0,275.0,660.0
29.0,91.4,230.0,150.0,270.0,650.0
28.0,85.2,230.0,155.0,260.0,645.0
25.0,91.9,222.5,140.0,260.0,622.5
29.0,86.2,220.0,127.5,250.0,597.5
24.0,90.3,210.0,130.0,250.0,590.0
32.0,91.1,220.0,115.0,240.0,575.0
30.0,87.5,187.5,127.5,225.0,540.0
31.0,86.2,147.5,80.0,155.0,382.5
35.0,103.7,240.0,160.0,240.0,640.0
36.0,93.9,220.0,155.0,240.0,615.0
26.0,100.0,220.0,125.0,250.0,595.0
29.0,103.4,215.0,140.0,210.0,565.0
23.0,117.4,245.0,182.5,230.0,657.5
29.0,115.2,222.5,107.5,267.5,597.5
24.0,118.0,205.0,145.0,245.0,595.0
18.0,66.0,170.0,85.0,195.0,450.0
16.0,80.3,150.0,95.0,200.0,445.0
17.0,82.2,150.0,102.5,170.0,422.5
17.0,113.9,165.0,122.5,185.0,472.5
24.0,82.6,220.0,130.0,260.0,610.0
25.0,102.2,260.0,165.0,255.0,680.0
27.0,82.3,172.5,127.5,212.5,512.5
26.0,65.5,142.5,87.5,210.0,440.0
37.0,97.1,180.0,130.0,250.0,560.0
30.0,118.5,250.0,140.0,230.0,620.0
23.0,65.9,155.0,100.0,180.0,435.0
29.0,77.1,115.0,42.5,142.5,300.0
23.0,72.3,150.0,110.0,180.0,440.0
16.0,67.8,145.0,105.0,170.0,420.0
21.0,82.1,150.0,120.0,200.0,470.0
24.0,63.0,95.0,47.5,112.5,255.0
22.0,69.2,135.0,90.0,170.0,395.0
28.0,82.0,145.0,110.0,180.0,435.0
23.0,74.0,127.5,75.0,200.0,402.5
35.0,98.6,170.0,105.0,200.0,475.0
21.0,73.4,135.0,90.0,170.0,395.0
25.0,75.1,130.0,92.5,175.0,397.5
25.0,62.3,115.0,57.5,160.0,332.5
36.0,86.2,140.0,102.5,167.5,410.0
34.0,70.5,115.0,77.5,162.5,355.0
16.0,92.2,142.5,75.0,190.0,407.5
24.0,70.8,100.0,75.0,150.0,325.0
27.0,47.2,57.5,35.0,80.0,172.5
24.0,53.4,62.5,25.0,70.0,157.5
15.0,103.5,150.0,70.0,140.0,360.0
23.0,81.7,215.0,158.0,256.0,629.0
22.0,88.2,220.0,155.0,281.0,656.0
19.0,61.6,127.5,57.5,155.0,340.0
18.0,71.3,185.0,125.0,230.0,540.0
20.0,91.4,220.0,142.5,250.0,612.5
29.0,67.6,122.5,67.5,150.0,340.0
35.0,117.5,251.0,175.0,270.0,696.0
32.0,91.1,220.0,137.5,240.0,597.5
22.0,62.1,120.0,55.0,145.0,320.0
37.0,71.4,120.0,77.5,140.0,337.5
28.0,63.8,152.5,102.5,205.0,460.0
34.0,81.1,180.0,130.0,220.0,530.0
25.0,64.8,160.0,72.5,220.0,452.5
25.0,45.9,97.5,45.0,115.0,257.5
22.0,68.8,122.5,52.5,132.5,307.5
29.0,54.7,105.0,55.0,115.0,275.0
18.0,104.7,230.0,120.0,240.0,590.0
35.0,60.9,102.5,67.5,117.5,287.5
20.0,81.2,185.0,105.0,220.0,510.0
26.0,82.0,180.0,105.0,220.0,505.0
26.0,88.9,190.0,130.0,205.0,525.0
24.0,56.6,102.5,47.5,117.5,267.5
30.0,80.9,175.0,105.0,210.0,490.0
34.0,69.7,120.0,47.5,120.0,287.5
18.0,71.0,150.0,95.0,200.0,445.0
21.0,78.2,162.5,125.0,182.5,470.0
33.0,79.2,155.0,112.5,205.0,472.5
25.0,94.8,165.0,112.5,230.0,507.5
19.0,92.5,167.5,110.0,220.0,497.5
29.0,80.5,155.0,87.5,210.0,452.5
27.0,104.3,192.5,92.5,237.5,522.5
15.0,81.0,165.0,85.0,190.0,440.0
18.0,71.0,137.5,90.0,170.0,397.5
18.0,56.5,85.0,42.5,100.0,227.5
21.0,70.1,120.0,80.0,177.5,377.5
17.0,71.4,95.0,50.0,95.0,240.0
22.0,82.0,140.0,85.0,185.0,410.0
19.0,82.5,135.0,85.0,167.5,387.5
34.0,89.5,125.0,100.0,180.0,405.0
23.0,78.6,160.0,75.0,165.0,400.0
27.0,73.1,202.5,105.0,270.0,577.5
26.0,83.0,227.5,125.0,270.0,622.5
33.0,103.4,245.0,180.0,275.0,700.0
20.0,72.8,185.0,125.0,255.0,565.0
23.0,81.7,205.0,152.5,250.0,607.5
27.0,92.0,220.0,150.0,280.0,650.0
24.0,65.0,187.5,95.0,236.0,518.5
22.0,89.4,210.0,150.0,270.0,630.0
27.0,74.0,180.0,135.0,245.0,560.0
17.0,72.8,205.0,107.5,240.0,552.5
26.0,59.9,125.0,55.0,155.0,335.0
35.0,61.5,117.5,60.0,160.0,337.5
26.0,72.2,192.5,125.0,222.5,540.0
25.0,71.6,197.5,120.0,210.0,527.5
28.0,101.7,230.0,160.0,260.0,650.0
22.0,62.5,120.0,55.0,155.0,330.0
27.0,61.8,112.5,72.5,142.5,327.5
35.0,117.6,242.5,165.0,290.0,697.5
26.0,80.6,195.0,130.0,230.0,555.0
23.0,72.1,182.5,122.5,200.0,505.0
18.0,74.0,165.0,107.5,240.0,512.5
50.0,101.6,235.0,130.0,250.0,615.0
26.0,77.6,187.5,120.0,215.0,522.5
23.0,91.6,210.0,125.0,240.0,575.0
23.0,73.45,170.0,105.0,215.0,490.0
25.0,44.7,90.0,47.5,115.0,252.5
27.0,89.5,205.0,125.0,215.0,545.0
18.0,102.7,230.0,107.5,250.0,587.5
22.0,73.3,155.0,117.5,207.5,480.0
18.0,72.3,170.0,95.0,210.0,475.0
28.0,91.0,210.0,115.0,220.0,545.0
27.0,88.1,175.0,120.0,230.0,525.0
28.0,73.25,155.0,107.5,205.0,467.5
21.0,63.8,155.0,90.0,180.0,425.0
26.0,81.7,175.0,120.0,205.0,500.0
23.0,72.3,145.0,105.0,200.0,450.0
26.0,91.6,175.0,130.0,215.0,520.0
19.0,89.3,177.5,102.5,227.5,507.5
29.0,55.4,92.5,50.0,110.0,252.5
22.0,58.4,90.0,52.5,115.0,257.5
26.0,103.5,190.0,90.0,240.0,520.0
30.0,69.8,100.0,45.0,110.0,255.0
23.0,70.9,140.0,80.0,170.0,390.0
17.0,78.1,140.0,90.0,180.0,410.0
34.0,56.3,70.0,60.0,80.0,210.0
40.0,56.5,132.5,72.5,145.0,350.0
24.0,52.3,90.0,60.0,130.0,280.0
20.0,91.2,202.5,110.0,250.0,562.5
34.0,91.0,200.0,142.5,215.0,557.5
26.0,64.6,160.0,105.0,180.0,445.0
37.0,103.0,200.0,125.0,250.0,575.0
17.0,72.2,162.5,90.0,205.0,457.5
29.0,73.5,170.0,102.5,180.0,452.5
20.0,65.5,150.0,80.0,185.0,415.0
39.0,117.0,210.0,120.0,230.0,560.0
33.0,58.9,130.0,75.0,155.0,360.0
40.0,98.3,180.0,110.0,210.0,500.0
18.0,51.6,80.0,35.0,115.0,230.0
16.0,65.3,110.0,82.5,190.0,382.5
16.0,56.5,100.0,65.0,140.0,305.0
28.0,122.5,185.0,95.0,200.0,480.0
18.0,103.3,150.0,80.0,210.0,440.0
17.0,72.2,130.0,55.0,160.0,345.0
30.0,92.6,210.0,157.5,240.0,607.5
26.0,66.2,150.0,110.0,190.0,450.0
17.0,73.2,160.0,115.0,180.0,455.0
27.0,83.0,155.0,102.5,200.0,457.5
26.0,74.0,147.5,90.0,182.5,420.0
23.0,90.0,140.0,120.0,205.0,465.0
36.0,98.9,160.0,100.0,190.0,450.0
30.0,77.7,120.0,47.5,142.5,310.0
34.0,62.1,65.0,37.5,105.0,207.5
25.0,82.6,223.0,135.0,263.0,621.0
27.0,102.7,270.0,160.0,265.0,695.0
31.0,92.9,236.0,165.0,255.0,656.0
25.0,97.1,230.0,150.0,270.0,650.0
22.0,69.7,170.0,130.0,220.0,520.0
21.0,81.6,190.0,137.5,226.0,553.5
24.0,61.5,120.0,45.0,150.0,315.0
36.0,117.0,240.0,190.0,235.0,665.0
27.0,70.3,170.0,125.0,200.0,495.0
25.0,72.2,172.5,110.0,220.0,502.5
33.0,109.4,205.0,160.0,270.0,635.0
30.0,81.3,175.0,125.0,225.0,525.0
