geo_area,item,year,gpin
Grenada,Apples,1961,109.78
Guatemala,Apples,1961,11.61
Honduras,Apples,1961,NA
Mexico,Apples,1961,10.95
Paraguay,Apples,1961,160
Peru,Apples,1961,44.6
Saint Vincent and the Grenadines,Apples,1961,0.98
United States of America,Apples,1961,51.24
Uruguay,Apples,1961,47.3
Argentina,Apricots,1961,57.31
Canada,Apricots,1961,541.44
Chile,Apricots,1961,44.55
Ecuador,Apricots,1961,103.66
Mexico,Apricots,1961,612.08
Peru,Apricots,1961,NA
United States of America,Apricots,1961,333.69
Argentina,Artichokes,1961,16.9
Chile,Artichokes,1961,191.01
Costa Rica,Artichokes,1961,NA
Mexico,Artichokes,1961,NA
Peru,Artichokes,1961,3.48
United States of America,Artichokes,1961,53.63
Argentina,Asparagus,1961,9.47
Canada,Asparagus,1961,37.5
Chile,Asparagus,1961,NA
Colombia,Asparagus,1961,NA
Costa Rica,Asparagus,1961,NA
Ecuador,Asparagus,1961,NA
Mexico,Asparagus,1961,2.56
Peru,Asparagus,1961,1.33
United States of America,Asparagus,1961,485.73
Argentina,Avocados,1961,49.43
Bahamas,Avocados,1961,NA
Barbados,Avocados,1961,22.28
Bolivia (Plurinational State of),Avocados,1961,12.36
Brazil,Avocados,1961,46.36
Chile,Avocados,1961,4.72
Colombia,Avocados,1961,4.03
Costa Rica,Avocados,1961,123.68
Cuba,Avocados,1961,1023.99
Dominica,Avocados,1961,26.39
Dominican Republic,Avocados,1961,19.41
Ecuador,Avocados,1961,77.04
El Salvador,Avocados,1961,164.15
Grenada,Avocados,1961,128.56
Guatemala,Avocados,1961,10.59
Guyana,Avocados,1961,37.19
Haiti,Avocados,1961,33.75
Honduras,Avocados,1961,194.19
Jamaica,Avocados,1961,114.17
Mexico,Avocados,1961,6.41
Panama,Avocados,1961,62.85
Paraguay,Avocados,1961,69.56
Peru,Avocados,1961,5.1
Puerto Rico,Avocados,1961,959.8
Saint Lucia,Avocados,1961,145.54
Trinidad and Tobago,Avocados,1961,29.49
United States of America,Avocados,1961,30.08
Venezuela (Bolivarian Republic of),Avocados,1961,42.31
Antigua and Barbuda,Bananas,1961,NA
Argentina,Bananas,1961,6.62
Bahamas,Bananas,1961,34.69
Barbados,Bananas,1961,222.37
Belize,Bananas,1961,1.65
Bolivia (Plurinational State of),Bananas,1961,36
Brazil,Bananas,1961,41.44
Colombia,Bananas,1961,16.09
Costa Rica,Bananas,1961,15.84
Cuba,Bananas,1961,16.31
Dominica,Bananas,1961,140.8
Dominican Republic,Bananas,1961,33.01
Ecuador,Bananas,1961,38.04
El Salvador,Bananas,1961,NA
Grenada,Bananas,1961,48.93
Guatemala,Bananas,1961,10.07
Guyana,Bananas,1961,22.92
Haiti,Bananas,1961,40.37
Honduras,Bananas,1961,104.71
Jamaica,Bananas,1961,320.36
Mexico,Bananas,1961,28.54
Nicaragua,Bananas,1961,29.37
Panama,Bananas,1961,169.16
Paraguay,Bananas,1961,204.86
Puerto Rico,Bananas,1961,151.77
Saint Lucia,Bananas,1961,303.43
Saint Vincent and the Grenadines,Bananas,1961,45.51
Suriname,Bananas,1961,4.52
Trinidad and Tobago,Bananas,1961,123.43
United States of America,Bananas,1961,78.25
Venezuela (Bolivarian Republic of),Bananas,1961,142.49
Argentina,Barley,1961,22.34
Bolivia (Plurinational State of),Barley,1961,126.37
Brazil,Barley,1961,8.92
Canada,Barley,1961,30.39
Chile,Barley,1961,89.78
Colombia,Barley,1961,888.73
Ecuador,Barley,1961,432.22
Guatemala,Barley,1961,277.78
Mexico,Barley,1961,20.41
Peru,Barley,1961,98.88
United States of America,Barley,1961,197.66
Uruguay,Barley,1961,9.83
Brazil,"Bastfibres, other",1961,247.63
Chile,"Bastfibres, other",1961,NA
Cuba,"Bastfibres, other",1961,8.75
El Salvador,"Bastfibres, other",1961,146.65
Guatemala,"Bastfibres, other",1961,183.82
Argentina,"Beans, dry",1961,7.07
Barbados,"Beans, dry",1961,NA
Belize,"Beans, dry",1961,1.43
Bolivia (Plurinational State of),"Beans, dry",1961,2.4
Brazil,"Beans, dry",1961,58.12
Canada,"Beans, dry",1961,12.45
Chile,"Beans, dry",1961,442.23
Colombia,"Beans, dry",1961,33.57
Costa Rica,"Beans, dry",1961,99.37
Cuba,"Beans, dry",1961,26.19
Dominican Republic,"Beans, dry",1961,59.62
Ecuador,"Beans, dry",1961,174.52
El Salvador,"Beans, dry",1961,9.31
Grenada,"Beans, dry",1961,30.93
Guatemala,"Beans, dry",1961,16.93
Haiti,"Beans, dry",1961,37.32
Honduras,"Beans, dry",1961,38.94
Jamaica,"Beans, dry",1961,15.31
Mexico,"Beans, dry",1961,65.13
Nicaragua,"Beans, dry",1961,24.05
Panama,"Beans, dry",1961,114.42
Paraguay,"Beans, dry",1961,30.41
Peru,"Beans, dry",1961,49.08
Puerto Rico,"Beans, dry",1961,50976.92
United States of America,"Beans, dry",1961,67.52
Uruguay,"Beans, dry",1961,71.78
Venezuela (Bolivarian Republic of),"Beans, dry",1961,220.37
Antigua and Barbuda,"Beans, green",1961,4.01
Argentina,"Beans, green",1961,194.13
Belize,"Beans, green",1961,NA
Bolivia (Plurinational State of),"Beans, green",1961,NA
Canada,"Beans, green",1961,44.2
Chile,"Beans, green",1961,113.9
Costa Rica,"Beans, green",1961,NA
Ecuador,"Beans, green",1961,10.2
Guatemala,"Beans, green",1961,NA
Guyana,"Beans, green",1961,NA
Mexico,"Beans, green",1961,11.57
Peru,"Beans, green",1961,35.56
Puerto Rico,"Beans, green",1961,NA
Suriname,"Beans, green",1961,17.34
United States of America,"Beans, green",1961,544.46
Uruguay,"Beans, green",1961,127.44
Argentina,Beeswax,1961,26.61
Brazil,Beeswax,1961,69.01
Chile,Beeswax,1961,104.52
Costa Rica,Beeswax,1961,63.71
Dominican Republic,Beeswax,1961,14.11
Ecuador,Beeswax,1961,46.71
El Salvador,Beeswax,1961,23.04
Guatemala,Beeswax,1961,529.41
Haiti,Beeswax,1961,114.83
Honduras,Beeswax,1961,140
Jamaica,Beeswax,1961,48.48
Mexico,Beeswax,1961,285.71
Paraguay,Beeswax,1961,75.78
United States of America,Beeswax,1961,133.65
Uruguay,Beeswax,1961,NA
Venezuela (Bolivarian Republic of),Beeswax,1961,148.02
Costa Rica,Berries nes,1961,NA
Ecuador,Berries nes,1961,NA
Mexico,Berries nes,1961,NA
United States of America,Berries nes,1961,51.2
Canada,Blueberries,1961,4.44
Mexico,Blueberries,1961,NA
Peru,Blueberries,1961,NA
United States of America,Blueberries,1961,0.52
Bolivia (Plurinational State of),"Brazil nuts, with shell",1961,8.37
Brazil,"Brazil nuts, with shell",1961,138.49
Peru,"Brazil nuts, with shell",1961,30.8
Argentina,"Broad beans, horse beans, dry",1961,27.4
Bolivia (Plurinational State of),"Broad beans, horse beans, dry",1961,31.01
Brazil,"Broad beans, horse beans, dry",1961,1096.95
Colombia,"Broad beans, horse beans, dry",1961,NA
Dominican Republic,"Broad beans, horse beans, dry",1961,44.91
Ecuador,"Broad beans, horse beans, dry",1961,652.72
Guatemala,"Broad beans, horse beans, dry",1961,30.81
Guyana,"Broad beans, horse beans, dry",1961,NA
Jamaica,"Broad beans, horse beans, dry",1961,19.4
Mexico,"Broad beans, horse beans, dry",1961,65.03
Paraguay,"Broad beans, horse beans, dry",1961,14.15
Peru,"Broad beans, horse beans, dry",1961,30.18
Uruguay,"Broad beans, horse beans, dry",1961,70.82
Brazil,Buckwheat,1961,0.8
Canada,Buckwheat,1961,2331.37
United States of America,Buckwheat,1961,23.67
Antigua and Barbuda,Cabbages and other brassicas,1961,6.05
Bahamas,Cabbages and other brassicas,1961,NA
Barbados,Cabbages and other brassicas,1961,79.43
Belize,Cabbages and other brassicas,1961,NA
Bolivia (Plurinational State of),Cabbages and other brassicas,1961,218.07
Canada,Cabbages and other brassicas,1961,32.14
Chile,Cabbages and other brassicas,1961,44.64
Colombia,Cabbages and other brassicas,1961,154.64
Costa Rica,Cabbages and other brassicas,1961,12.75
Cuba,Cabbages and other brassicas,1961,9.9
Dominica,Cabbages and other brassicas,1961,NA
Dominican Republic,Cabbages and other brassicas,1961,6.77
Ecuador,Cabbages and other brassicas,1961,584.12
El Salvador,Cabbages and other brassicas,1961,33.82
Grenada,Cabbages and other brassicas,1961,0.46
Guatemala,Cabbages and other brassicas,1961,10.82
Guyana,Cabbages and other brassicas,1961,0.56
Haiti,Cabbages and other brassicas,1961,11.67
Honduras,Cabbages and other brassicas,1961,4
Jamaica,Cabbages and other brassicas,1961,17.95
Mexico,Cabbages and other brassicas,1961,11.75
Nicaragua,Cabbages and other brassicas,1961,10.09
Panama,Cabbages and other brassicas,1961,117.54
Peru,Cabbages and other brassicas,1961,90.03
Puerto Rico,Cabbages and other brassicas,1961,964.07
Saint Kitts and Nevis,Cabbages and other brassicas,1961,NA
Saint Lucia,Cabbages and other brassicas,1961,NA
Suriname,Cabbages and other brassicas,1961,13.67
Trinidad and Tobago,Cabbages and other brassicas,1961,451.69
United States of America,Cabbages and other brassicas,1961,128.19
Uruguay,Cabbages and other brassicas,1961,91.63
Venezuela (Bolivarian Republic of),Cabbages and other brassicas,1961,6.95
Argentina,Canary seed,1961,65.2
Canada,Canary seed,1961,NA
Mexico,Canary seed,1961,11497.06
Uruguay,Canary seed,1961,68.78
Antigua and Barbuda,Carrots and turnips,1961,1.03
Argentina,Carrots and turnips,1961,28.03
Barbados,Carrots and turnips,1961,41.9
Belize,Carrots and turnips,1961,NA
Bolivia (Plurinational State of),Carrots and turnips,1961,17.14
Canada,Carrots and turnips,1961,34.56
Chile,Carrots and turnips,1961,20.2
Colombia,Carrots and turnips,1961,29
Costa Rica,Carrots and turnips,1961,NA
Dominica,Carrots and turnips,1961,NA
Dominican Republic,Carrots and turnips,1961,0.82
Ecuador,Carrots and turnips,1961,27.07
Grenada,Carrots and turnips,1961,32.47
Guatemala,Carrots and turnips,1961,NA
Honduras,Carrots and turnips,1961,NA
Jamaica,Carrots and turnips,1961,2.91
Mexico,Carrots and turnips,1961,13.56
Nicaragua,Carrots and turnips,1961,NA
Panama,Carrots and turnips,1961,18.62
Paraguay,Carrots and turnips,1961,NA
Peru,Carrots and turnips,1961,20.12
Saint Kitts and Nevis,Carrots and turnips,1961,NA
Saint Lucia,Carrots and turnips,1961,NA
Saint Vincent and the Grenadines,Carrots and turnips,1961,4.55
United States of America,Carrots and turnips,1961,49.79
Uruguay,Carrots and turnips,1961,40.44
Venezuela (Bolivarian Republic of),Carrots and turnips,1961,3.1
Belize,"Cashew nuts, with shell",1961,NA
Brazil,"Cashew nuts, with shell",1961,10.16
Colombia,"Cashew nuts, with shell",1961,NA
Dominican Republic,"Cashew nuts, with shell",1961,112.48
El Salvador,"Cashew nuts, with shell",1961,157.18
Honduras,"Cashew nuts, with shell",1961,NA
Mexico,"Cashew nuts, with shell",1961,NA
Peru,"Cashew nuts, with shell",1961,NA
Brazil,Cashewapple,1961,15.87
Guyana,Cashewapple,1961,NA
Antigua and Barbuda,Cassava,1961,7.39
Argentina,Cassava,1961,119
Bahamas,Cassava,1961,65.82
Barbados,Cassava,1961,190.16
Belize,Cassava,1961,NA
Bolivia (Plurinational State of),Cassava,1961,66.14
Brazil,Cassava,1961,80.44
Colombia,Cassava,1961,29.2
Costa Rica,Cassava,1961,4.03
Cuba,Cassava,1961,22.67
Dominica,Cassava,1961,53.76
Dominican Republic,Cassava,1961,83.35
Ecuador,Cassava,1961,238.94
El Salvador,Cassava,1961,22.96
Grenada,Cassava,1961,44.51
Guatemala,Cassava,1961,105.69
Guyana,Cassava,1961,NA
Haiti,Cassava,1961,26.45
Honduras,Cassava,1961,79.88
Jamaica,Cassava,1961,46.78
Mexico,Cassava,1961,146.74
Nicaragua,Cassava,1961,5.65
Panama,Cassava,1961,120.34
Paraguay,Cassava,1961,31.74
Peru,Cassava,1961,30.32
Puerto Rico,Cassava,1961,5159.34
Saint Lucia,Cassava,1961,49.48
Saint Vincent and the Grenadines,Cassava,1961,427.55
Suriname,Cassava,1961,34.1
Trinidad and Tobago,Cassava,1961,119.62
Venezuela (Bolivarian Republic of),Cassava,1961,96.62
Brazil,Castor oil seed,1961,572.26
Ecuador,Castor oil seed,1961,633.33
Haiti,Castor oil seed,1961,177.32
Mexico,Castor oil seed,1961,134.46
Paraguay,Castor oil seed,1961,234.78
Bolivia (Plurinational State of),Cauliflowers and broccoli,1961,NA
Canada,Cauliflowers and broccoli,1961,17.5
Chile,Cauliflowers and broccoli,1961,22.61
Colombia,Cauliflowers and broccoli,1961,270.55
Costa Rica,Cauliflowers and broccoli,1961,NA
Ecuador,Cauliflowers and broccoli,1961,12.15
Grenada,Cauliflowers and broccoli,1961,NA
Guatemala,Cauliflowers and broccoli,1961,NA
Honduras,Cauliflowers and broccoli,1961,NA
Jamaica,Cauliflowers and broccoli,1961,10.95
Mexico,Cauliflowers and broccoli,1961,0.93
Peru,Cauliflowers and broccoli,1961,32.3
Trinidad and Tobago,Cauliflowers and broccoli,1961,38.77
United States of America,Cauliflowers and broccoli,1961,9.07
Venezuela (Bolivarian Republic of),Cauliflowers and broccoli,1961,9.07
Argentina,Cereals nes,1961,98.8
Bolivia (Plurinational State of),Cereals nes,1961,27.92
Colombia,Cereals nes,1961,NA
Mexico,Cereals nes,1961,NA
Peru,Cereals nes,1961,NA
Antigua and Barbuda,"Cereals, Total",1961,NA
Argentina,"Cereals, Total",1961,26.85
Bahamas,"Cereals, Total",1961,15.77
Barbados,"Cereals, Total",1961,718.39
Belize,"Cereals, Total",1961,5.43
Bolivia (Plurinational State of),"Cereals, Total",1961,13.8
Brazil,"Cereals, Total",1961,18.49
Canada,"Cereals, Total",1961,29.49
Chile,"Cereals, Total",1961,43.11
Colombia,"Cereals, Total",1961,29.51
Costa Rica,"Cereals, Total",1961,42.59
Cuba,"Cereals, Total",1961,38.01
Dominica,"Cereals, Total",1961,68.18
Dominican Republic,"Cereals, Total",1961,14.88
Ecuador,"Cereals, Total",1961,15.66
El Salvador,"Cereals, Total",1961,29.64
Grenada,"Cereals, Total",1961,147.19
Guatemala,"Cereals, Total",1961,29.78
Guyana,"Cereals, Total",1961,34.73
Haiti,"Cereals, Total",1961,78.93
Honduras,"Cereals, Total",1961,43.43
Jamaica,"Cereals, Total",1961,537.92
Mexico,"Cereals, Total",1961,23.97
Nicaragua,"Cereals, Total",1961,22.24
Panama,"Cereals, Total",1961,41.78
Paraguay,"Cereals, Total",1961,2.14
Peru,"Cereals, Total",1961,17.68
Puerto Rico,"Cereals, Total",1961,4473.46
Saint Vincent and the Grenadines,"Cereals, Total",1961,48.04
Suriname,"Cereals, Total",1961,26.33
Trinidad and Tobago,"Cereals, Total",1961,279.6
United States of America,"Cereals, Total",1961,35.54
Uruguay,"Cereals, Total",1961,16.46
Venezuela (Bolivarian Republic of),"Cereals, Total",1961,16.79
Argentina,Cherries,1961,36.62
Bolivia (Plurinational State of),Cherries,1961,25.5
Canada,Cherries,1961,39.67
Chile,Cherries,1961,2.33
Guyana,Cherries,1961,NA
Mexico,Cherries,1961,NA
Peru,Cherries,1961,NA
Suriname,Cherries,1961,NA
United States of America,Cherries,1961,29.36
Bolivia (Plurinational State of),"Cherries, sour",1961,NA
Canada,"Cherries, sour",1961,233.19
Chile,"Cherries, sour",1961,NA
Peru,"Cherries, sour",1961,NA
United States of America,"Cherries, sour",1961,112.61
Bolivia (Plurinational State of),Chestnut,1961,NA
Chile,Chestnut,1961,NA
Peru,Chestnut,1961,NA
Argentina,Chick peas,1961,6.73
Bolivia (Plurinational State of),Chick peas,1961,226.93
Canada,Chick peas,1961,NA
Chile,Chick peas,1961,1239.84
Colombia,Chick peas,1961,11388.1
Dominican Republic,Chick peas,1961,3720
Mexico,Chick peas,1961,94
Peru,Chick peas,1961,278.99
United States of America,Chick peas,1961,NA
Haiti,Chicory roots,1961,NA
Puerto Rico,Chicory roots,1961,NA
Argentina,"Chillies and peppers, dry",1961,47.23
Grenada,"Chillies and peppers, dry",1961,4
Jamaica,"Chillies and peppers, dry",1961,15.25
Mexico,"Chillies and peppers, dry",1961,28.51
Peru,"Chillies and peppers, dry",1961,NA
Antigua and Barbuda,"Chillies and peppers, green",1961,NA
Argentina,"Chillies and peppers, green",1961,39.6
Barbados,"Chillies and peppers, green",1961,NA
Belize,"Chillies and peppers, green",1961,NA
Bolivia (Plurinational State of),"Chillies and peppers, green",1961,25.33
Canada,"Chillies and peppers, green",1961,6.73
Chile,"Chillies and peppers, green",1961,51.42
Colombia,"Chillies and peppers, green",1961,15.06
Costa Rica,"Chillies and peppers, green",1961,NA
Cuba,"Chillies and peppers, green",1961,14.96
Dominican Republic,"Chillies and peppers, green",1961,8.29
Ecuador,"Chillies and peppers, green",1961,22.73
El Salvador,"Chillies and peppers, green",1961,14.5
Guatemala,"Chillies and peppers, green",1961,3.62
Guyana,"Chillies and peppers, green",1961,NA
Honduras,"Chillies and peppers, green",1961,NA
Jamaica,"Chillies and peppers, green",1961,4.1
Mexico,"Chillies and peppers, green",1961,3.87
Nicaragua,"Chillies and peppers, green",1961,NA
Panama,"Chillies and peppers, green",1961,33.73
Paraguay,"Chillies and peppers, green",1961,164.29
Peru,"Chillies and peppers, green",1961,10.44
Puerto Rico,"Chillies and peppers, green",1961,120.07
Saint Kitts and Nevis,"Chillies and peppers, green",1961,NA
Saint Vincent and the Grenadines,"Chillies and peppers, green",1961,4.41
Trinidad and Tobago,"Chillies and peppers, green",1961,23.08
United States of America,"Chillies and peppers, green",1961,20.55
Uruguay,"Chillies and peppers, green",1961,22.43
Venezuela (Bolivarian Republic of),"Chillies and peppers, green",1961,5.26
Dominica,Cinnamon (cannella),1961,NA
Grenada,Cinnamon (cannella),1961,NA
Grenada,Cloves,1961,NA
Belize,"Cocoa, beans",1961,21.98
Bolivia (Plurinational State of),"Cocoa, beans",1961,18.15
Brazil,"Cocoa, beans",1961,61.06
Colombia,"Cocoa, beans",1961,26.93
Costa Rica,"Cocoa, beans",1961,1630.77
Cuba,"Cocoa, beans",1961,130.53
Dominica,"Cocoa, beans",1961,18.75
Dominican Republic,"Cocoa, beans",1961,46.13
Ecuador,"Cocoa, beans",1961,25.74
El Salvador,"Cocoa, beans",1961,82.34
Grenada,"Cocoa, beans",1961,340.91
Guatemala,"Cocoa, beans",1961,4.4
Guyana,"Cocoa, beans",1961,5.27
Haiti,"Cocoa, beans",1961,16.7
Honduras,"Cocoa, beans",1961,12.65
Jamaica,"Cocoa, beans",1961,342.07
Mexico,"Cocoa, beans",1961,98.75
Nicaragua,"Cocoa, beans",1961,11.61
Panama,"Cocoa, beans",1961,207.34
Peru,"Cocoa, beans",1961,2.86
Saint Lucia,"Cocoa, beans",1961,687.02
Saint Vincent and the Grenadines,"Cocoa, beans",1961,18.24
Suriname,"Cocoa, beans",1961,3471.43
Trinidad and Tobago,"Cocoa, beans",1961,1850
Venezuela (Bolivarian Republic of),"Cocoa, beans",1961,70.55
Bahamas,Coconuts,1961,NA
Barbados,Coconuts,1961,73.21
Belize,Coconuts,1961,148.1
Brazil,Coconuts,1961,9.9
Colombia,Coconuts,1961,20.44
Costa Rica,Coconuts,1961,55.93
Cuba,Coconuts,1961,16.42
Dominica,Coconuts,1961,125
Dominican Republic,Coconuts,1961,11.76
Ecuador,Coconuts,1961,251.25
El Salvador,Coconuts,1961,25.96
Grenada,Coconuts,1961,98.58
Guatemala,Coconuts,1961,4.7
Guyana,Coconuts,1961,53.43
Haiti,Coconuts,1961,72.34
Honduras,Coconuts,1961,67.33
Jamaica,Coconuts,1961,189.83
Mexico,Coconuts,1961,86.78
Nicaragua,Coconuts,1961,31.66
Panama,Coconuts,1961,236.56
Peru,Coconuts,1961,2.96
Puerto Rico,Coconuts,1961,5118.15
Saint Kitts and Nevis,Coconuts,1961,61.36
Saint Lucia,Coconuts,1961,213.65
Saint Vincent and the Grenadines,Coconuts,1961,929.09
Suriname,Coconuts,1961,42.91
Trinidad and Tobago,Coconuts,1961,814.9
Venezuela (Bolivarian Republic of),Coconuts,1961,68.6
Belize,"Coffee, green",1961,NA
Bolivia (Plurinational State of),"Coffee, green",1961,20.99
Brazil,"Coffee, green",1961,78.88
Colombia,"Coffee, green",1961,56.86
Costa Rica,"Coffee, green",1961,67.56
Cuba,"Coffee, green",1961,473.71
Dominica,"Coffee, green",1961,NA
Dominican Republic,"Coffee, green",1961,314.21
Ecuador,"Coffee, green",1961,1195.35
El Salvador,"Coffee, green",1961,316.04
Guatemala,"Coffee, green",1961,43.77
Guyana,"Coffee, green",1961,200
Haiti,"Coffee, green",1961,180.05
Honduras,"Coffee, green",1961,6.56
Jamaica,"Coffee, green",1961,40.99
Mexico,"Coffee, green",1961,68.4
Nicaragua,"Coffee, green",1961,22.91
Panama,"Coffee, green",1961,73.94
Paraguay,"Coffee, green",1961,1530.61
Peru,"Coffee, green",1961,17.02
Puerto Rico,"Coffee, green",1961,401.86
Saint Vincent and the Grenadines,"Coffee, green",1961,27.88
Suriname,"Coffee, green",1961,5700
Trinidad and Tobago,"Coffee, green",1961,8088.79
United States of America,"Coffee, green",1961,115.96
Venezuela (Bolivarian Republic of),"Coffee, green",1961,111.41
Guyana,"Cow peas, dry",1961,NA
Haiti,"Cow peas, dry",1961,88.6
Jamaica,"Cow peas, dry",1961,86.67
Peru,"Cow peas, dry",1961,NA
Trinidad and Tobago,"Cow peas, dry",1961,49.15
United States of America,"Cow peas, dry",1961,137.37
Canada,Cranberries,1961,0.2
Chile,Cranberries,1961,NA
United States of America,Cranberries,1961,13.95
Antigua and Barbuda,Crops,1961,176.74
Argentina,Crops,1961,19.5
Bahamas,Crops,1961,25.49
Barbados,Crops,1961,501.66
Belize,Crops,1961,14.95
Bolivia (Plurinational State of),Crops,1961,14.27
Brazil,Crops,1961,16.62
Canada,Crops,1961,18.13
Chile,Crops,1961,27.61
Colombia,Crops,1961,28.33
Costa Rica,Crops,1961,13.91
Cuba,Crops,1961,93.96
Dominica,Crops,1961,76.15
Dominican Republic,Crops,1961,41.1
Ecuador,Crops,1961,40.12
El Salvador,Crops,1961,51.1
Grenada,Crops,1961,34.24
Guatemala,Crops,1961,10.7
Guyana,Crops,1961,55.93
Haiti,Crops,1961,51.74
Honduras,Crops,1961,27.49
Jamaica,Crops,1961,105.97
Mexico,Crops,1961,20.13
Nicaragua,Crops,1961,19.8
Panama,Crops,1961,68.03
Paraguay,Crops,1961,7.87
Peru,Crops,1961,20.15
Puerto Rico,Crops,1961,582.93
Saint Kitts and Nevis,Crops,1961,916.68
Saint Lucia,Crops,1961,302.19
Saint Vincent and the Grenadines,Crops,1961,69.84
Suriname,Crops,1961,25.41
Trinidad and Tobago,Crops,1961,375.07
United States of America,Crops,1961,34.61
Uruguay,Crops,1961,19.42
Venezuela (Bolivarian Republic of),Crops,1961,35.56
Antigua and Barbuda,Cucumbers and gherkins,1961,2.42
Barbados,Cucumbers and gherkins,1961,23.35
Belize,Cucumbers and gherkins,1961,NA
Bolivia (Plurinational State of),Cucumbers and gherkins,1961,NA
Canada,Cucumbers and gherkins,1961,58.44
Chile,Cucumbers and gherkins,1961,62.14
Colombia,Cucumbers and gherkins,1961,7.04
Costa Rica,Cucumbers and gherkins,1961,NA
Cuba,Cucumbers and gherkins,1961,4.69
Dominica,Cucumbers and gherkins,1961,NA
Dominican Republic,Cucumbers and gherkins,1961,2.58
Ecuador,Cucumbers and gherkins,1961,NA
El Salvador,Cucumbers and gherkins,1961,30.93
Grenada,Cucumbers and gherkins,1961,NA
Guyana,Cucumbers and gherkins,1961,NA
Honduras,Cucumbers and gherkins,1961,NA
Jamaica,Cucumbers and gherkins,1961,7.3
Mexico,Cucumbers and gherkins,1961,7.96
Panama,Cucumbers and gherkins,1961,2.55
Peru,Cucumbers and gherkins,1961,2.94
Puerto Rico,Cucumbers and gherkins,1961,NA
Saint Kitts and Nevis,Cucumbers and gherkins,1961,NA
Saint Lucia,Cucumbers and gherkins,1961,NA
Suriname,Cucumbers and gherkins,1961,24.2
Trinidad and Tobago,Cucumbers and gherkins,1961,36.89
United States of America,Cucumbers and gherkins,1961,73.13
Venezuela (Bolivarian Republic of),Cucumbers and gherkins,1961,21.16
Chile,Currants,1961,NA
Colombia,Dates,1961,NA
Mexico,Dates,1961,84.78
Peru,Dates,1961,292.68
United States of America,Dates,1961,58.5
Antigua and Barbuda,Eggplants (aubergines),1961,1.8
Colombia,Eggplants (aubergines),1961,48.27
Costa Rica,Eggplants (aubergines),1961,NA
Dominican Republic,Eggplants (aubergines),1961,9.74
Guyana,Eggplants (aubergines),1961,NA
Haiti,Eggplants (aubergines),1961,94.04
Honduras,Eggplants (aubergines),1961,NA
Jamaica,Eggplants (aubergines),1961,18.97
Mexico,Eggplants (aubergines),1961,2.06
Peru,Eggplants (aubergines),1961,NA
Puerto Rico,Eggplants (aubergines),1961,NA
Trinidad and Tobago,Eggplants (aubergines),1961,157.89
United States of America,Eggplants (aubergines),1961,26.79
Venezuela (Bolivarian Republic of),Eggplants (aubergines),1961,2.45
Antigua and Barbuda,"Eggs, hen, in shell",1961,35.85
Argentina,"Eggs, hen, in shell",1961,28.37
Bahamas,"Eggs, hen, in shell",1961,23.34
Barbados,"Eggs, hen, in shell",1961,16.96
Belize,"Eggs, hen, in shell",1961,8.51
