YearBuilt,SquareFootage,SalePrice,Distance,TaxRate,Bedrooms
1950,2087,365832,32.11,1.48,2
1957,4289,836754,17.99,1.67,2
2012,2943,692305,32.9,1.23,5
1960,1911,449255,5.69,2.48,3
1957,3949,709217,22.24,1.3,2
1984,2111,567609,1.22,2.11,1
1984,3991,818530,13.66,1.53,5
1982,3661,802901,15.29,1.15,6
1954,3338,688156,16.45,2.16,4
1990,1251,294286,28.12,1.37,5
1977,2323,568103,16.15,2.27,4
1956,964,240414,18.5,2.36,3
2022,981,450590,10.26,2.26,4
2021,3316,833471,15.56,0.86,3
1961,1709,379391,9.86,2.14,1
1983,3582,849271,3.85,1.5,4
1982,1622,366316,24.53,2.29,5
1997,1743,434660,27.06,1.88,3
1972,2801,568260,25.16,2.22,5
2011,2854,732302,19.08,1.65,2
1986,1129,353876,15.81,1.71,3
1993,1574,357995,34.67,1.05,4
1984,2998,605863,21.24,2.13,3
2014,3956,897226,19.69,1.51,5
1996,946,399615,2.0,1.65,1
1952,4495,886343,14.31,2.13,3
1950,4252,785728,15.83,1.82,4
1954,1714,315708,16.55,1.14,2
1963,2371,481515,23.63,1.8,6
1976,2108,441311,21.81,1.49,1
1958,3547,653341,24.71,1.6,2
1964,881,191478,30.83,0.85,3
1991,1313,344635,32.71,1.16,5
2000,2720,593405,29.01,1.28,5
2012,3662,778289,38.27,2.01,4
2001,3556,876659,1.71,0.82,5
1953,2739,575568,8.64,1.49,1
1972,4394,963725,1.29,2.37,5
1964,1545,334731,26.25,0.99,4
1992,3870,760009,36.02,1.68,6
1978,2209,498549,10.5,2.14,3
1985,1506,359742,37.15,2.4,3
1962,1270,378783,3.35,2.07,5
1981,3990,738287,37.44,2.02,2
2020,1195,440612,14.71,2.21,3
2008,2355,686120,4.96,1.56,6
1977,3108,681410,19.95,2.17,5
2015,1604,526733,11.01,0.81,4
1991,1733,470409,12.11,2.37,6
1994,2079,585860,12.98,1.55,5
2011,2557,601794,32.32,1.74,6
2006,1704,454256,22.03,1.23,3
1955,4097,839657,13.14,2.06,4
1977,1876,417749,24.8,0.93,5
1977,3787,761120,28.93,2.28,1
1993,2690,663699,11.63,2.21,4
1979,2323,546160,17.13,1.17,1
2011,4377,1014769,5.75,2.18,6
2024,3701,901148,8.06,2.14,2
2011,2187,582693,27.56,1.87,4
1950,2103,462990,8.08,1.43,6
1976,1392,355865,21.48,1.26,1
2011,3561,752679,28.65,1.19,3
1952,4029,856359,5.17,1.34,3
2019,3479,810577,23.13,2.34,2
2021,2906,750930,11.01,0.93,4
1976,927,180694,38.55,2.21,4
1958,1535,300092,19.86,1.39,4
2011,3568,782801,32.43,1.69,6
1986,3986,834166,22.46,2.15,2
2000,4080,995537,2.69,2.3,4
1993,3373,766566,25.69,1.39,6
1973,1320,286318,38.1,1.59,3
2008,3399,719350,24.46,1.5,1
1981,1036,213987,32.95,0.82,6
2001,2104,417931,35.48,1.3,3
2011,4230,965630,9.9,1.58,3
2007,4072,942503,9.27,1.5,1
2001,2581,615936,24.83,2.03,3
1961,2101,435066,17.03,1.45,2
1988,4106,807289,33.75,1.63,1
1951,3341,580725,36.1,1.53,3
1952,2851,530568,14.78,2.06,5
2005,3513,825488,10.24,2.27,6
2008,1241,336234,31.44,1.7,3
1951,2876,582630,11.72,2.14,2
1951,3980,708396,33.08,1.3,4
2003,3457,839458,17.53,1.72,3
1950,1604,311310,27.03,1.39,4
1968,874,268553,4.73,1.5,5
1951,3685,676369,25.33,2.05,3
2002,4017,890433,18.62,2.3,1
1993,2975,649510,23.88,1.01,4
1981,2889,688567,7.55,1.88,5
2019,2179,510168,29.74,1.79,1
1981,840,216321,34.65,1.0,1
2017,3781,971512,9.45,1.16,1
2004,2881,742307,4.73,1.33,1
2024,3888,989358,1.92,1.08,3
2005,2500,599778,26.04,1.21,6
1966,4024,811217,24.68,1.25,3
1987,3845,806432,22.32,1.37,3
1973,2201,547849,10.05,2.07,5
2018,1387,473826,16.25,1.77,5
2019,2422,682871,24.18,2.48,6
1960,4500,867787,20.37,1.51,5
1965,1141,141090,39.52,2.08,2
2022,2874,750581,6.32,2.28,6
2008,4158,902085,28.11,1.95,5
2019,1445,498448,16.77,1.5,6
1952,1530,300938,17.7,2.08,3
1969,967,204676,28.99,1.15,3
2008,1409,410766,28.01,1.36,6
1985,3115,581008,39.66,1.73,2
1968,2572,581508,6.01,1.78,2
2016,2840,740965,5.06,0.84,6
1968,3668,736038,29.25,2.41,5
1969,1254,323803,23.56,1.98,4
2020,3753,883050,11.69,1.64,2
2001,2508,671535,4.1,2.39,1
1982,4272,988138,4.34,1.55,3
1989,3769,761238,35.87,2.47,6
1988,3828,857017,8.48,1.67,1
1950,4347,811094,13.61,0.99,6
1960,1501,392150,9.84,2.1,3
2006,3481,833618,14.84,1.95,3
1999,4429,990210,3.71,2.11,2
1972,2399,543588,21.24,2.42,2
1980,929,292307,3.64,2.12,1
1991,3867,783527,32.21,1.84,6
1956,2645,557250,10.11,2.26,3
1965,2186,494127,22.06,1.94,1
2009,3666,777891,35.32,1.49,4
1951,1492,266367,26.38,2.31,1
1950,4163,748936,21.79,1.18,5
1997,2194,552783,13.65,2.01,1
1961,1593,345824,13.99,2.3,5
2018,828,295609,27.11,2.04,5
1986,948,206451,39.77,1.99,5
1981,2119,401413,26.81,2.08,4
1958,2858,519960,22.75,1.59,1
1968,4383,835098,29.5,2.29,1
1997,3523,795714,19.14,1.15,4
1952,1936,443941,3.35,1.02,3
1969,986,237171,22.93,1.29,2
1973,3654,669872,38.35,1.7,1
2003,3591,865025,7.84,1.67,2
1982,2050,458462,27.91,2.2,6
1973,2133,527437,8.84,1.49,6
2024,897,346131,21.9,1.62,4
2021,854,439285,4.77,0.82,6
1985,3470,759119,18.56,1.5,6
1987,3511,750878,30.49,1.9,3
1974,1557,425645,14.56,0.83,3
1967,1205,221630,26.93,1.28,3
2015,2916,652394,32.02,1.15,6
2003,4183,878053,37.16,0.87,4
1984,2112,493493,10.15,1.61,5
2010,2585,697436,16.57,1.11,5
1990,4419,981141,6.94,2.06,2
1982,1550,322298,39.71,2.24,5
2017,4019,859493,37.15,1.73,5
1982,4338,859486,22.06,2.47,3
1963,2562,497501,33.84,1.57,3
1970,4115,894773,21.32,1.67,6
1997,4362,910315,25.32,2.48,2
1969,3805,825462,4.48,1.19,1
1957,4378,739380,30.46,2.4,2
1956,1164,340204,5.98,0.87,2
2016,2826,677737,33.22,1.56,4
1966,1281,207654,31.5,0.92,6
1982,3048,577693,28.64,2.04,4
1997,953,335433,2.41,1.83,2
2008,4321,1009226,12.82,2.0,2
1971,2324,556019,11.26,1.44,2
1979,2920,629435,15.05,1.43,5
1987,3560,845909,4.42,0.88,4
2000,3143,660261,37.54,1.39,2
2003,1840,473325,22.6,2.38,3
1957,2464,545933,12.92,1.44,6
1976,2040,446347,16.48,2.21,6
1976,860,279024,18.44,2.23,3
1970,1738,355624,24.42,1.43,6
1979,2439,583807,21.11,1.87,5
1977,2889,529407,36.86,0.96,5
2013,824,319624,20.38,0.98,1
2018,1862,457158,39.69,0.88,1
2010,930,286535,34.21,1.79,1
1997,4369,1001508,9.13,1.52,6
1968,2052,343305,37.29,1.73,5
1953,907,252209,5.54,1.69,5
1984,971,236566,32.88,1.4,5
2013,2258,598659,15.84,1.95,3
1998,4349,893702,35.24,2.09,5
1966,901,133608,34.85,0.82,3
1993,3713,756519,32.43,1.15,1
1979,3371,650060,31.81,2.01,1
1995,3122,730454,12.88,1.46,6
1955,2436,582712,4.16,1.93,1
1986,3915,884071,16.72,1.39,6
1973,3664,836030,7.77,1.46,2
1995,3804,792271,28.1,1.07,2
2002,1840,535098,14.5,1.24,4
2009,1129,302978,39.05,1.83,6
2012,4440,973548,26.0,1.54,4
1981,2320,472458,33.08,2.12,4
1982,811,349321,6.17,2.25,2
2016,2141,556756,34.62,1.72,6
1967,4463,838827,36.99,2.09,2
1974,1015,263535,20.0,1.32,4
2003,1138,345443,24.64,1.51,6
2007,2599,613268,30.83,2.01,4
2016,3508,869664,7.82,1.46,5
1995,3952,884677,20.6,1.8,6
1973,2550,540027,16.55,1.12,6
1981,2308,587441,6.71,1.82,4
1996,3221,692306,15.33,2.26,5
1972,3823,833854,3.66,2.28,3
2015,1509,585580,2.01,2.03,2
1976,2023,540073,6.27,2.07,4
1951,4408,802120,38.56,1.75,6
1966,3313,646495,22.43,1.79,2
1982,1912,381646,38.67,1.03,2
1958,2091,467415,17.87,1.55,2
1992,4442,989954,13.16,1.57,3
1997,1288,385536,20.74,2.43,1
1988,2361,599985,18.14,1.53,4
1991,846,312514,5.12,1.73,1
1975,4159,823340,25.99,1.71,1
1999,1577,432690,9.43,1.88,1
1974,1839,372181,25.16,2.07,2
1973,1510,358273,26.36,1.18,5
1962,1200,301350,6.93,1.7,2
2009,2617,736462,3.39,2.2,2
1956,3828,738843,31.45,1.59,6
2006,3957,891867,18.93,1.27,6
1985,1049,381488,3.27,1.91,1
1994,1190,289533,39.8,2.2,2
1969,1134,313738,3.25,0.91,1
2014,1428,396343,28.11,2.12,6
1957,4390,747104,39.36,2.2,5
1965,936,255929,10.33,1.58,4
1963,3730,814261,6.55,2.47,1
1964,3535,751159,5.73,2.14,5
2015,2321,639695,12.83,2.12,4
1981,1626,432485,4.94,2.07,3
2012,1526,455993,27.99,1.06,1
2000,2300,623154,3.43,1.17,1
1974,3441,751189,20.87,1.59,3
2007,4094,841928,39.87,1.25,3
2012,1789,419810,32.74,1.51,1
2011,3219,743765,24.99,2.31,3
1971,1734,394945,12.94,2.2,2
2007,3842,866675,25.33,1.87,4
2007,1201,371932,21.55,2.26,4
1998,2266,572821,17.62,2.13,4
2001,4361,1000660,6.1,1.53,2
1991,1414,307896,35.58,1.14,3
2019,2096,561753,18.54,1.67,5
1964,4397,934989,8.59,2.05,3
2003,1982,533470,15.34,1.54,1
2009,4023,915283,17.15,1.93,6
1957,3842,690218,33.27,0.96,4
2002,3467,735979,29.61,2.07,3
2009,3035,677179,31.0,2.18,5
1954,1921,464804,1.43,2.0,1
2017,930,344776,17.23,2.44,2
1955,3652,686796,19.77,2.21,2
1996,1994,611353,1.75,2.34,5
2004,3783,881255,11.13,2.39,1
1989,3833,770210,30.65,2.16,4
2001,982,350184,6.35,1.95,3
1965,3830,779808,21.88,0.81,1
1962,1163,281185,9.39,1.59,2
1979,838,321256,1.47,1.77,5
1968,4398,874297,10.41,1.32,5
1966,3344,622858,39.06,1.34,3
2012,4387,966976,32.26,2.43,5
1968,2172,405239,38.42,2.32,5
2007,3829,832397,20.03,2.24,1
2004,1720,553050,5.28,1.49,4
2011,4268,931914,22.37,0.82,3
1972,3569,711107,18.72,0.94,1
1958,4032,720613,33.93,1.33,4
1961,815,248889,4.83,0.83,1
1950,1292,246228,20.04,0.83,6
2007,2249,662999,6.85,2.36,1
1950,1931,452881,13.66,2.0,5
1983,3741,721328,29.76,1.33,4
1997,4321,921405,19.56,1.03,3
1950,1110,246280,15.66,1.67,3
1965,1538,346773,16.38,0.81,4
2010,4041,931896,18.92,2.4,5
2013,1345,402762,31.62,1.51,2
2012,3261,733853,35.79,1.48,1
2018,1050,326461,38.26,1.46,5
1971,1558,355450,31.69,0.92,6
2016,2604,653812,13.3,1.89,4
1975,4012,830373,27.84,2.05,1
1965,2097,442854,18.07,1.95,3
2000,4287,993994,10.93,1.04,2
2006,2431,528817,33.79,1.78,6
1978,2714,639383,2.5,1.77,3
2018,3910,865228,36.17,2.28,4
1996,1613,389196,19.0,1.44,1
2011,828,327012,25.85,1.43,4
2018,1757,519684,26.71,1.85,1
1965,2832,522226,35.91,1.88,5
1997,1276,353783,25.83,1.6,2
1988,1117,281030,24.94,1.55,5
1982,1044,375603,3.6,1.64,5
1972,1547,365014,21.22,2.26,4
1959,1496,348796,6.86,1.58,2
2018,1071,339308,29.76,2.4,1
1983,4311,892144,20.98,1.66,1
2001,2571,583199,27.53,2.41,6
1959,2062,459396,2.63,2.22,3
1968,3224,741687,4.31,1.42,6
2007,1065,317690,28.94,2.27,6
1950,3773,783143,3.81,0.99,1
2018,1720,558627,3.78,2.37,4
1953,4230,896042,1.47,1.87,5
1965,1139,199968,38.3,0.89,5
1973,1188,288548,29.76,1.9,5
1951,3424,688847,14.78,2.46,2
1981,2850,649423,12.56,0.92,1
1973,4300,875953,14.64,1.74,4
1961,1965,387827,31.21,2.07,2
1999,1175,325636,26.79,2.18,3
1984,2833,671921,8.22,1.5,4
1982,3171,731174,7.79,1.15,6
1982,945,325435,4.84,0.87,4
2010,2781,653614,26.75,1.79,4
2000,1092,351933,30.81,1.57,5
1992,1231,361192,11.34,2.41,4
1961,1504,378109,1.82,0.9,6
2016,3796,985049,4.2,1.97,6
2014,2798,613273,38.75,0.84,1
1982,3432,753565,12.52,1.09,4
1989,1198,321002,31.0,1.57,5
2023,3664,823387,25.36,1.57,4
1992,4215,941728,15.9,1.97,3
1993,1763,498708,9.02,2.35,3
1978,4011,900718,5.73,1.89,5
1962,3034,602498,24.99,2.42,1
1961,2841,512542,31.21,2.3,1
1995,2628,620510,26.11,1.79,6
1951,2908,539999,21.68,2.22,6
1984,1738,506206,2.64,1.89,2
1957,4251,779793,38.77,0.93,5
1975,1509,347538,32.15,2.06,4
2023,1606,523251,12.42,0.96,5
1983,2263,455858,39.22,1.81,2
1956,4190,783269,24.47,1.99,6
2017,2125,628361,23.71,0.91,5
2007,4215,921078,30.17,1.19,5
2024,810,306315,32.66,2.36,6
1978,1885,420128,26.6,1.85,2
1985,2668,667274,6.0,1.22,6
1970,3073,672653,14.19,1.97,1
1985,4024,777158,37.2,1.81,4
1959,3411,704636,9.76,1.65,6
2022,1571,504780,15.51,2.46,2
1973,2394,500493,17.85,1.96,3
2013,2407,648204,18.14,1.44,1
1998,4446,922848,24.9,2.16,3
1985,2133,404486,37.78,2.3,6
1973,1684,427133,10.39,1.01,1
1972,4114,889882,5.74,1.14,4
2011,4364,1031275,8.7,1.17,6
1986,2189,438399,35.59,1.98,4
1961,4201,790124,26.19,1.83,5
2004,3978,939631,12.15,1.85,3
1962,1025,204117,32.82,2.4,1
1972,1624,331804,34.59,2.12,4
1979,3065,604317,34.01,1.02,2
1966,1736,318030,36.84,1.39,4
2011,3600,880911,10.84,1.54,2
1962,3353,612117,30.45,1.47,6
2008,3106,780617,18.96,1.94,1
1968,2711,544472,33.84,2.32,4
1998,4388,933991,29.41,1.32,4
1961,2596,471987,31.28,1.74,1
2010,853,314922,26.59,2.14,4
1968,3918,862610,7.92,1.51,2
1958,1526,282705,22.26,1.09,4
2020,3536,813914,39.4,1.61,3
1977,2344,407422,37.56,0.89,6
2001,3970,968830,2.68,2.4,5
1965,1843,485075,7.43,0.93,2
2018,2713,744528,6.14,1.55,3
1961,2576,483045,29.31,1.7,6
1974,2396,488377,32.89,2.48,1
2001,2714,738579,9.33,1.08,2
2002,4361,946845,20.73,0.99,5
1972,3266,604536,33.79,0.81,6
1965,3537,662933,29.58,1.06,5
2006,1649,417663,22.15,1.15,1
1988,2909,659514,24.02,1.87,1
2002,4016,876803,20.83,1.17,2
1991,3063,713528,12.6,0.83,4
2007,802,321467,23.04,2.21,1
1988,959,251526,27.87,1.42,6
1963,1580,303538,35.06,1.4,4
1954,3991,719121,25.82,1.31,3
1984,1692,399253,30.68,2.46,5
2024,2830,788126,7.24,1.09,4
1967,3960,796882,19.0,2.33,5
1958,3176,705376,1.36,2.12,4
2023,1379,462964,10.62,0.93,3
2007,2733,633476,29.33,2.48,1
1966,2180,381035,39.68,1.26,3
1956,4481,893027,4.87,0.97,1
1995,2090,515740,16.66,2.21,1
1962,2440,449357,32.2,2.0,5
1989,1751,470423,8.96,1.85,6
1991,4194,827493,22.65,1.07,3
1958,3482,672720,29.59,1.61,4
1999,1787,449449,25.02,2.13,3
1976,4412,891039,8.33,1.32,5
2015,2018,629764,14.86,1.33,1
1954,1720,332963,31.57,0.81,5
1978,3585,734041,22.61,1.1,2
1986,2155,562796,1.2,2.29,2
1987,969,259130,30.68,1.55,4
1957,1320,357249,2.38,2.47,5
2014,2286,576127,30.08,1.47,4
1966,839,238637,8.9,2.02,4
2020,2360,585584,38.36,1.28,2
1994,4132,901184,15.35,1.42,4
1953,2218,479847,13.75,1.12,2
1985,1754,464839,6.81,1.39,1
2019,4097,1044974,12.92,1.73,5
1980,1783,381485,35.19,2.49,4
1968,3995,796752,39.86,1.93,2
2010,1774,537423,15.36,1.14,3
2003,837,299325,18.5,0.88,4
1988,3175,686466,29.16,1.01,6
2023,2074,546457,35.56,1.76,1
1968,1999,427633,24.13,2.1,1
1988,2425,594306,16.27,2.4,3
2016,1713,532579,17.09,0.83,2
1994,1253,304446,28.13,1.69,4
1962,836,253536,1.13,1.6,2
2007,4187,896583,25.16,1.92,1
1969,2511,555766,14.86,1.75,2
2021,3820,850725,31.97,1.97,1
2010,1595,502179,4.63,1.92,2
1988,1772,446443,23.94,1.0,3
1950,1392,285564,19.76,2.16,5
1952,1937,363365,26.05,1.01,3
2011,3911,955468,3.53,1.99,3
2012,2124,544006,23.62,1.51,5
1974,3071,615510,22.9,1.67,5
2005,1117,376025,22.87,2.34,4
1982,3196,655528,24.54,2.31,4
1987,2962,636175,27.38,2.19,3
1955,3545,680296,32.39,1.67,3
2007,2146,585111,11.52,2.05,1
1993,2391,541144,33.18,1.67,1
1994,3911,866024,20.43,2.28,4
1981,2689,666730,4.01,1.48,6
1994,2887,741719,3.28,2.45,6
2010,2796,708746,14.04,2.38,4
1996,2572,565245,31.61,2.06,1
1970,2112,412618,28.6,1.28,1
2024,2085,544737,31.76,1.02,6
1985,1015,275950,21.17,2.25,2
1968,4018,840800,18.17,1.08,2
1969,3183,666864,6.75,2.25,1
2006,4039,944043,13.8,1.63,2
1967,2939,622922,17.93,1.49,5
1996,3200,795328,4.46,2.34,4
1998,3418,839527,9.6,1.83,4
1963,4442,849793,24.33,1.78,1
1964,3663,700277,29.69,1.75,3
1980,2504,435584,39.94,1.43,6
1950,3628,611231,37.39,2.14,1
2003,1162,364623,26.06,1.23,2
1952,3404,631546,17.43,2.4,6
1965,4216,818209,25.81,2.32,3
2006,2516,561960,31.64,1.37,2
2024,1993,628469,5.62,2.04,5
1961,1155,257787,16.99,1.77,2
2023,990,299460,33.75,1.37,5
1965,3269,688037,15.97,2.48,6
2021,1499,460363,23.3,0.84,5
1973,2854,605113,23.92,1.23,6
1977,2980,705882,8.19,1.68,6
1957,1356,338482,15.13,1.69,6
1985,1625,435278,14.05,1.8,6
1957,3608,808608,2.02,2.08,6
2007,1854,553321,1.94,1.86,2
2009,3382,762149,33.44,1.82,6
1999,1225,414010,11.65,0.89,2
1977,4265,877532,21.21,1.44,6
1990,3519,811532,12.65,1.19,5
2013,3210,676585,37.69,1.25,6
1976,4308,887611,11.11,1.74,3
2012,2374,665909,17.76,1.14,6
1966,2929,537501,35.04,1.3,6
2022,3203,732638,33.84,1.2,5
1982,4129,883275,8.26,2.41,4
1978,1388,260523,32.3,2.41,5
1962,2812,572534,18.87,1.84,3
1995,2347,558812,19.84,2.37,4
1984,1094,362610,6.21,2.14,1
1955,2785,613330,4.14,1.8,1
2018,2047,593372,29.39,0.81,3
1996,2348,559467,20.36,2.11,5
1974,3917,851994,18.04,1.99,2
2015,2490,646397,29.45,1.85,3
1959,1936,376080,30.86,2.09,4
2005,2056,583192,7.2,1.67,4
1979,2864,569108,24.8,2.0,6
1954,1159,311248,6.28,2.39,1
1982,4094,841645,30.3,1.44,4
2014,3713,884112,26.62,2.0,3
1967,1499,242834,38.31,1.61,4
1998,1247,429849,3.69,1.95,3
1960,3703,773557,3.23,2.1,2
1975,3212,692861,12.01,0.88,6
2012,1474,499473,11.21,1.9,1
2008,1807,519783,10.63,1.19,4
1976,2149,396582,36.34,1.94,3
1998,3314,810085,10.73,1.6,5
1982,3261,748129,11.61,2.12,1
1950,4326,786594,30.62,1.01,2
1970,1385,315743,18.54,1.86,3
2004,2056,522518,31.29,1.27,6
1955,2047,477360,3.55,2.25,6
2018,1793,581148,20.02,2.38,2
1954,2235,518260,2.31,2.49,2
1952,1371,286527,3.44,2.15,6
2002,3182,613818,36.35,2.08,4
1972,2045,523201,6.43,1.17,4
2002,2884,708994,21.76,1.37,3
1986,1788,433053,17.03,1.59,5
2023,1077,476083,14.55,2.11,3
2023,2019,553215,36.09,2.36,5
1966,3763,834014,1.85,1.12,2
2022,2687,683030,26.89,2.37,1
1950,1283,205428,38.57,1.98,3
2000,2065,562888,22.85,1.84,3
1994,4195,852984,37.54,1.14,5
1953,1530,383096,3.04,0.89,2
2011,3039,762190,17.33,1.77,2
2014,1840,569249,11.15,1.91,5
1981,3371,706237,29.5,1.16,2
1983,1717,303812,39.27,1.75,6
2021,3248,842257,11.0,2.26,4
1988,1685,412184,26.51,2.22,6
1975,3552,782895,8.73,2.38,1
1983,821,261797,23.05,1.42,3
2003,1273,439660,19.09,1.34,1
1952,3991,691157,38.91,2.07,3
1999,3057,706407,24.73,1.53,4
1961,3153,692438,14.63,0.95,2
2014,4141,1008325,5.45,1.28,6
2003,1503,460748,6.9,1.51,5
1954,1486,361155,9.79,1.3,6
2006,1084,342347,10.79,1.36,4
1966,1515,226119,34.17,1.3,1
1996,1562,420744,22.89,0.87,5
1972,2050,389976,21.41,1.88,2
1963,1747,400911,5.48,1.82,4
2015,3228,711995,34.55,1.91,5
2024,3307,762000,29.19,1.13,4
2000,1830,545298,3.64,1.3,4
1987,828,259079,28.61,1.85,2
2013,1706,490280,22.2,1.82,3
1987,3904,877007,4.19,1.66,5
1999,3726,870176,18.87,1.4,2
1979,2926,598475,19.9,2.35,4
2000,3794,902576,7.47,1.38,2
2012,3306,676578,37.88,1.57,3
2001,1369,350476,34.15,1.95,6
1987,2806,595276,27.09,1.72,5
1979,4409,939102,19.03,1.39,3
2000,4353,980086,17.06,1.54,1
1954,2253,406574,26.39,2.15,5
1978,1537,345784,22.27,1.27,3
1953,4156,854767,3.43,1.04,4
1959,1315,328713,20.99,1.33,5
2005,2800,666177,32.45,2.24,5
1966,3970,774601,18.91,0.95,2
2023,3244,890540,3.03,2.49,4
1966,4360,776654,31.66,1.72,1
2018,838,378433,8.85,2.47,6
1983,4142,881236,11.09,2.4,3
1955,1686,421447,7.42,1.57,2
2002,3644,816358,13.88,1.14,3
2015,3004,706920,30.51,1.08,1
1992,1898,471123,21.26,1.21,1
2024,3731,934887,8.99,2.01,5
1972,2623,541103,35.24,1.26,1
2004,4001,877962,35.3,1.38,3
2024,2510,605929,34.95,1.56,4
1965,1773,415604,10.31,2.35,4
1957,3955,737109,18.6,1.12,5
1953,3893,669940,39.41,0.81,6
1953,4330,832948,31.11,0.9,3
2005,2362,663013,2.06,2.34,3
1974,3696,847807,3.54,1.9,1
2016,4253,940494,19.09,1.26,3
2016,3595,773367,36.46,1.1,2
1976,4311,886059,22.01,1.3,6
1981,4475,926362,20.41,1.0,1
1999,1788,553442,5.11,2.4,2
2010,820,280175,26.61,2.13,5
2000,3150,631752,33.06,1.59,4
1968,1668,418286,15.84,2.27,5
1970,883,164955,31.25,1.22,4
1954,2482,427376,38.61,2.02,5
1991,2776,691543,8.95,2.26,3
2010,4324,922706,21.41,1.41,2
1971,2210,538784,12.2,2.09,4
1970,2330,439200,31.92,1.3,1
2019,4128,943451,23.53,1.31,2
1950,1369,241315,25.75,0.98,1
1954,1733,342695,32.12,1.55,2
1961,4398,908945,16.44,2.04,2
1995,4033,766542,36.69,2.4,5
1983,2780,666118,21.79,1.83,4
1998,4034,920691,7.16,2.27,4
1994,2655,641175,28.14,2.2,2
1976,3856,744205,31.94,1.09,3
2022,1592,512582,13.35,1.63,3
1975,1591,312931,34.43,1.0,1
1996,4395,872696,36.34,1.96,1
2005,2609,736077,11.8,2.41,5
2012,2094,483051,39.36,1.03,2
1997,3339,801706,6.49,2.05,1
2010,3055,781585,8.88,1.87,1
1975,4410,921427,8.18,1.79,6
1985,2407,529260,35.87,1.46,2
1950,1883,305508,26.52,1.4,5
1957,3277,680666,6.93,0.88,1
2001,1784,508266,18.17,1.17,5
1996,2480,574872,25.0,0.83,4
2005,4476,1062269,4.26,1.79,5
1963,4180,802472,35.41,0.98,3
1977,1319,307247,32.34,2.28,3
1951,1390,280274,20.7,1.69,5
1975,1850,402111,38.72,1.99,3
1963,2509,511785,17.29,1.5,4
2008,4433,905076,39.38,1.75,2
2005,2835,653018,27.05,2.4,3
1956,3046,572940,25.75,0.94,3
1952,3234,646670,7.47,1.23,5
1972,1148,186208,35.4,2.13,4
