Time_Seconds,Heart_Rate_BPM,SpO2_Percent,Stress_Score
770,83.1,96.97,17.24
780,84.27,95.99,29.93
790,78.04,98.48,15.56
800,83.34,96.78,28.46
810,85.06,97.06,29.53
820,88.4,96.44,22.0
830,82.4,97.37,22.32
840,81.5,95.65,19.18
850,82.39,96.56,23.1
860,86.61,98.88,24.41
870,84.81,96.03,28.04
880,82.2,97.63,29.12
890,85.28,96.3,30.69
900,83.98,98.09,22.34
910,86.54,95.52,24.78
920,81.46,98.88,16.85
930,82.52,96.82,20.78
940,82.25,95.94,27.76
950,78.97,95.29,29.05
960,84.16,95.68,19.73
970,83.97,97.08,22.22
980,83.12,96.35,24.14
990,82.31,98.32,25.04
1000,78.67,96.72,19.23
1010,81.55,95.99,25.32
1020,81.68,97.47,21.77
1030,80.19,97.83,23.02
1040,81.99,95.67,25.98
1050,83.57,95.67,24.45
1060,87.89,95.15,24.41
1070,82.63,97.95,23.61
1080,82.75,97.66,23.75
1090,81.62,96.9,22.17
1100,75.95,98.38,20.34
1110,81.48,98.22,29.99
1120,81.59,97.34,25.88
1130,88.65,98.47,25.28
1140,80.53,95.82,26.0
1150,81.85,95.45,22.41
1160,80.68,96.08,27.97
1170,77.12,95.23,23.32
1180,83.88,97.12,24.12
1190,82.54,98.75,25.81
1200,82.48,95.16,17.71
1210,77.2,95.49,17.37
1220,83.95,96.81,19.81
1230,75.35,98.74,21.71
1240,81.13,96.26,30.38
1250,85.75,97.03,34.23
1260,76.02,95.17,23.96
1270,77.09,95.59,23.84
1280,78.89,98.95,15.35
1290,76.88,98.86,19.58
1300,73.53,95.02,17.26
1310,78.18,98.81,19.79
1320,74.58,97.56,20.16
1330,78.98,98.47,20.7
1340,74.59,96.82,12.92
1350,81.78,97.06,26.7
1360,74.56,96.96,16.53
1370,75.72,97.67,22.25
1380,78.91,95.56,30.86
1390,72.55,95.12,16.34
1400,76.7,96.23,11.56
1410,79.71,97.82,21.74
1420,70.74,95.81,23.7
1430,75.89,97.69,29.19
1440,75.88,98.88,16.44
1450,77.22,95.38,23.87
1460,70.93,97.69,17.51
1470,70.44,96.78,18.75
1480,75.73,98.47,31.87
1490,74.82,95.71,14.92
1500,74.44,97.77,21.79
1510,74.49,98.35,22.67
1520,71.18,98.78,23.81
1530,73.67,97.73,20.86
1540,73.62,96.99,21.68
1550,70.36,97.47,17.58
1560,77.86,98.48,23.22
1570,73.44,97.28,19.0
1580,68.21,95.12,20.77
1590,73.51,98.72,18.93
1600,68.38,97.76,19.86
1610,73.42,97.71,20.25
1620,74.3,95.86,25.22
1630,68.12,97.64,18.04
1640,73.23,96.58,13.2
1650,71.35,97.6,24.59
1660,72.34,95.43,16.31
1670,75.33,97.63,18.51
1680,68.66,99.0,16.08
1690,66.9,95.19,23.26
1700,66.26,98.91,8.96
1710,66.25,96.63,30.05
1720,68.24,98.48,22.52
1730,69.27,98.13,19.6
1740,68.85,97.27,18.32
1750,70.27,97.95,20.25
1760,67.61,98.51,20.13
1770,71.71,96.62,22.26
1780,66.33,96.31,19.75
1790,75.07,97.67,21.38
1800,68.57,98.23,17.64
1810,63.9,98.05,15.96
1820,63.05,98.19,15.44
1830,67.5,96.74,22.54
1840,65.18,98.27,19.44
1850,67.78,95.48,6.35
1860,66.86,97.18,20.37
1870,65.02,95.02,17.79
1880,62.5,96.3,15.93
1890,60.3,96.47,13.57
1900,63.32,96.58,20.82
1910,67.04,97.78,21.61
1920,64.93,96.55,13.88
1930,60.36,96.79,16.77
1940,64.44,95.95,12.89
1950,64.9,96.49,11.44
1960,60.92,95.91,12.86
1970,63.87,95.29,20.0
1980,63.41,97.41,20.18
1990,59.65,97.67,16.91
2000,63.99,97.48,19.5
2010,64.45,96.85,18.84
2020,65.86,96.52,14.78
2030,65.63,98.45,18.98
2040,58.19,97.08,17.48
2050,59.37,96.92,17.76
2060,63.59,95.1,21.19
2070,63.45,96.36,19.21
2080,63.33,96.52,17.74
2090,73.22,96.6,24.57
2100,63.25,97.32,16.2
2110,64.83,97.13,13.41
2120,64.18,97.43,16.02
2130,63.16,98.06,13.28
2140,60.16,98.25,12.36
2150,63.28,97.87,15.74
2160,58.59,98.82,11.27
2170,60.11,95.07,13.81
2180,59.28,95.78,7.14
2190,60.9,95.03,16.21
2200,67.52,97.59,18.01
2210,54.91,98.59,9.69
2220,62.5,95.97,18.64
2230,55.54,98.71,16.97
2240,58.91,95.24,8.13
2250,63.54,98.74,13.36
2260,60.41,96.41,12.09
2270,56.94,95.41,10.02
2280,57.99,96.94,17.52
2290,62.14,96.03,15.08
2300,57.88,96.14,13.1
2310,60.7,96.23,7.26
2320,60.17,98.21,17.61
2330,58.06,97.16,9.27
2340,66.44,96.25,17.81
2350,61.9,97.44,16.87
2360,53.92,97.86,18.01
2370,60.56,96.09,9.99
2380,58.03,96.65,2.13
2390,62.58,95.49,16.77
2400,57.67,95.72,21.27
2410,59.73,97.72,19.85
2420,61.61,95.73,16.48
2430,62.73,97.1,14.12
2440,56.57,97.84,16.86
2450,59.21,95.43,10.79
2460,58.83,97.27,16.44
2470,58.35,96.03,16.36
2480,65.66,98.85,21.51
2490,61.64,96.93,26.7
2500,56.71,98.22,15.25
2510,63.32,97.2,14.29
2520,67.0,95.17,17.7
2530,63.82,97.53,9.45
2540,56.24,98.81,10.72
2550,59.44,97.41,13.14
2560,64.78,98.28,14.82
2570,58.96,98.54,15.19
2580,62.51,95.91,12.72
2590,63.61,95.85,20.93
2600,58.62,97.44,14.45
2610,61.33,96.64,15.5
2620,51.91,98.36,10.45
2630,58.68,98.6,15.09
2640,61.12,96.41,18.75
2650,58.27,95.95,10.84
2660,67.05,98.12,15.19
2670,58.0,96.1,12.98
2680,61.11,98.29,10.06
2690,62.97,96.69,12.91
2700,67.05,97.67,15.92
2710,58.57,95.38,17.93
2720,66.53,97.5,18.66
2730,63.23,96.81,17.07
2740,60.42,97.35,18.57
2750,64.92,95.67,16.42
2760,64.3,97.95,18.28
2770,62.08,98.45,15.42
2780,64.27,95.87,17.77
2790,63.08,95.38,13.9
2800,64.77,95.09,7.15
2810,66.6,97.57,17.1
2820,69.56,97.43,24.52
2830,61.28,97.19,19.22
2840,71.59,95.93,23.5
2850,59.54,96.56,19.76
2860,65.14,97.38,17.41
2870,67.56,96.99,18.81
2880,66.85,98.95,15.27
2890,64.35,95.55,15.47
2900,65.8,97.78,19.78
2910,65.16,96.62,21.88
2920,65.09,96.71,16.48
2930,69.62,97.87,17.05
2940,68.36,97.77,18.35
2950,65.43,98.97,19.58
2960,70.44,95.51,13.4
2970,68.88,95.42,9.37
2980,70.63,97.9,17.05
2990,70.31,97.31,14.24
3000,66.16,96.1,15.43
3010,67.2,95.32,17.29
3020,71.35,95.34,17.73
3030,71.18,98.58,25.28
3040,69.52,95.77,20.11
3050,70.17,96.29,20.27
3060,73.88,95.91,23.04
3070,68.51,96.42,13.85
3080,72.17,95.28,24.02
3090,70.16,97.08,18.76
3100,70.35,95.27,21.82
3110,74.54,98.2,16.53
3120,73.96,95.93,14.37
3130,74.16,97.16,23.94
3140,75.88,98.52,22.86
3150,72.26,97.6,16.3
3160,74.49,97.13,17.32
3170,71.75,96.3,24.2
3180,73.89,96.33,15.8
3190,72.77,97.68,26.68
3200,73.69,98.98,16.87
3210,75.42,97.65,23.72
3220,71.42,97.23,18.25
3230,80.39,97.92,25.57
3240,71.33,96.86,17.35
3250,70.94,95.24,18.72
3260,78.29,97.25,22.48
3270,77.42,98.83,17.96
3280,77.15,95.7,24.82
3290,77.39,97.76,19.91
3300,75.7,95.8,20.37
3310,73.27,97.14,16.33
3320,76.42,95.39,11.32
3330,74.38,96.8,19.99
3340,79.56,98.02,32.48
3350,76.42,96.39,24.71
3360,74.6,97.66,20.76
3370,76.33,98.18,20.48
3380,78.75,98.71,22.59
3390,76.03,95.94,23.6
3400,75.46,96.6,16.46
3410,78.87,95.61,27.0
3420,79.08,98.97,25.49
3430,77.02,98.71,24.68
3440,77.33,97.16,23.69
3450,79.64,98.37,22.93
3460,74.79,97.08,23.61
3470,75.1,97.49,23.41
3480,77.36,95.36,20.53
3490,79.06,98.02,20.33
3500,80.82,95.51,23.73
3510,84.49,98.3,30.99
3520,82.81,98.13,19.17
3530,79.93,97.83,17.1
3540,80.52,95.14,23.87
3550,77.74,96.21,22.3
3560,80.85,96.05,24.04
3570,80.2,96.44,24.06
3580,82.19,95.35,22.98
3590,78.89,98.75,28.52
3600,83.08,97.22,17.83
3610,86.27,96.22,22.19
3620,81.48,96.59,23.18
3630,83.15,96.79,17.69
3640,84.15,97.4,23.96
3650,81.0,97.06,30.05
3660,83.0,98.68,24.28
3670,82.49,96.99,24.92
3680,82.86,98.97,19.1
3690,80.36,98.41,20.68
3700,82.86,95.83,22.64
3710,84.38,98.72,23.48
3720,87.34,95.47,31.06
3730,85.96,98.27,27.61
3740,89.63,96.52,22.41
3750,80.95,98.51,24.37
3760,85.95,98.47,27.37
3770,83.96,98.22,29.15
3780,90.05,98.16,33.34
3790,81.13,96.22,19.39
3800,81.1,95.32,20.19
3810,81.87,96.61,18.72
3820,77.35,95.69,21.01
3830,82.2,97.78,25.74
3840,81.54,96.38,27.57
3850,84.31,98.9,24.42
3860,84.92,97.56,23.69
3870,89.55,98.29,27.43
3880,86.8,95.53,22.38
3890,82.24,98.45,32.25
3900,81.29,98.69,17.08
3910,85.47,96.95,25.93
3920,80.04,97.43,31.11
3930,89.49,98.06,26.82
3940,87.53,95.7,25.25
3950,82.58,97.01,22.6
3960,78.83,96.59,21.81
3970,88.02,95.59,31.7
3980,83.59,96.47,15.59
3990,87.62,95.27,32.18
4000,79.09,95.1,16.94
4010,82.04,95.54,22.75
4020,83.81,98.85,22.81
4030,83.89,97.2,26.91
4040,82.34,98.86,17.55
4050,85.51,96.73,27.05
4060,80.38,96.25,31.25
4070,83.09,97.02,18.78
4080,83.8,96.76,25.28
4090,84.91,95.42,22.32
4100,85.42,97.56,26.87
4110,79.83,95.86,23.01
4120,78.51,97.48,19.84
4130,86.86,97.6,27.69
4140,83.92,95.61,31.79
4150,80.58,95.25,22.47
4160,87.37,98.12,28.83
4170,82.96,96.84,19.01
4180,86.03,95.23,21.59
4190,82.58,98.98,25.92
4200,88.44,95.23,32.31
4210,87.39,97.78,27.38
4220,81.25,98.93,22.25
4230,84.78,95.96,24.91
4240,83.66,95.57,19.46
4250,85.69,95.49,27.69
4260,78.54,96.21,25.95
4270,83.34,95.4,22.53
4280,84.31,97.77,22.84
4290,75.7,95.25,22.34
4300,77.26,97.04,20.16
4310,74.53,98.99,20.55
4320,79.67,98.26,31.27
4330,82.46,97.46,23.0
4340,84.64,96.23,23.42
4350,80.18,97.5,20.48
4360,84.66,97.11,27.84
4370,75.45,96.7,20.45
4380,74.29,95.52,18.12
4390,79.05,98.55,27.9
4400,80.17,96.8,28.75
4410,78.72,95.78,20.09
4420,72.42,96.47,12.5
4430,78.16,96.66,26.29
4440,74.31,98.31,17.98
4450,80.02,97.93,26.17
4460,78.9,98.08,14.68
4470,74.77,95.04,24.48
4480,75.84,96.66,16.49
4490,73.99,96.93,23.52
4500,76.76,95.08,21.76
4510,79.59,96.04,19.02
4520,73.55,98.04,18.79
4530,77.79,95.55,24.86
4540,74.47,97.14,21.21
4550,73.45,95.86,22.72
4560,75.28,95.05,29.02
4570,72.27,95.96,13.65
4580,73.48,98.9,26.86
4590,71.31,98.21,19.94
4600,80.57,98.84,19.63
4610,74.55,96.95,15.5
4620,72.11,95.44,19.09
4630,74.61,97.19,24.53
4640,73.39,96.82,19.85
4650,72.83,98.38,26.18
4660,75.1,95.39,15.23
4670,75.29,96.95,21.07
4680,71.19,95.6,14.46
4690,70.81,96.3,20.78
4700,71.47,97.95,23.14
4710,65.15,96.9,15.38
4720,67.27,96.5,7.49
4730,75.68,96.58,22.07
4740,76.27,96.84,23.26
4750,70.35,98.14,20.76
4760,72.59,98.57,24.98
4770,71.55,98.82,15.34
4780,79.62,98.15,25.57
4790,73.5,96.26,25.17
4800,69.52,97.75,11.7
4810,66.81,96.75,19.0
4820,64.62,96.02,14.83
4830,69.81,98.36,18.6
4840,66.7,95.15,19.07
4850,64.47,98.61,14.84
4860,66.57,96.85,14.92
4870,65.04,97.55,17.15
4880,73.11,97.64,15.9
4890,70.47,98.58,14.85
4900,67.58,97.55,20.75
4910,71.82,97.46,15.13
4920,67.39,95.27,20.62
4930,64.36,97.07,18.59
4940,71.29,95.6,12.61
4950,68.13,97.95,15.54
4960,63.19,97.05,21.05
4970,65.52,97.72,13.28
4980,63.25,95.17,14.44
4990,61.53,95.34,17.46
5000,68.25,97.87,21.43
5010,71.0,95.29,18.39
5020,60.88,95.29,12.96
5030,66.57,95.05,23.32
5040,62.74,98.83,23.05
5050,63.04,97.95,20.13
5060,62.54,96.41,16.36
5070,61.54,96.19,12.38
5080,64.1,96.4,13.32
5090,61.28,98.1,17.6
5100,64.41,97.65,18.44
5110,63.28,95.74,21.92
5120,62.55,95.7,18.62
5130,60.38,95.39,9.14
5140,61.21,97.64,19.69
5150,65.05,98.06,13.03
5160,64.14,96.06,15.12
5170,59.55,95.08,15.82
5180,62.64,95.33,24.04
5190,64.46,98.87,29.22
5200,57.06,96.18,16.25
5210,63.56,98.08,15.69
5220,59.82,97.5,17.06
5230,63.39,96.53,19.91
5240,59.27,95.82,13.43
5250,56.03,95.49,20.59
5260,56.45,97.46,14.5
5270,61.37,98.1,17.54
5280,61.9,97.58,18.42
5290,58.31,97.12,16.01
5300,62.84,95.17,19.49
5310,55.85,98.87,10.87
5320,60.55,98.19,12.99
5330,57.04,96.17,9.41
5340,58.64,98.92,16.21
5350,60.66,97.41,18.38
5360,57.87,97.33,15.98
5370,59.24,97.99,21.39
5380,63.35,98.25,16.32
5390,58.55,97.63,17.09
5400,62.74,95.51,11.73
5410,56.8,96.35,12.17
5420,61.73,98.71,18.48
5430,64.43,95.9,20.17
5440,52.67,96.49,10.89
5450,57.66,96.73,13.78
5460,61.77,96.76,9.63
5470,59.41,97.45,13.34
5480,61.12,98.77,19.01
5490,58.19,95.96,16.58
5500,60.26,95.49,17.11
5510,59.54,95.79,15.01
5520,63.52,98.55,16.43
5530,60.79,97.58,12.67
5540,61.06,96.14,18.22
5550,58.83,98.26,16.22
5560,58.63,98.45,16.42
5570,58.83,98.39,12.43
5580,61.35,98.68,6.92
5590,58.94,96.01,18.96
5600,61.12,98.02,13.53
5610,66.53,96.84,14.16
5620,62.97,98.37,18.96
5630,59.44,97.91,13.21
5640,64.09,98.11,20.87
5650,59.33,97.62,17.2
5660,54.51,95.71,15.54
5670,57.68,97.18,8.61
5680,55.18,98.94,17.92
5690,59.82,98.75,15.97
5700,61.02,95.17,13.93
5710,66.09,95.66,18.01
5720,62.15,95.53,8.75
5730,60.61,97.9,16.88
5740,63.87,98.27,12.43
5750,54.86,95.85,7.53
5760,62.32,97.02,9.84
5770,64.05,98.36,21.07
5780,57.43,97.93,11.45
5790,65.42,97.17,23.3
5800,63.14,97.36,14.11
5810,61.02,97.03,8.58
5820,64.31,96.19,12.26
5830,69.36,97.26,23.69
5840,63.25,97.76,15.68
5850,63.6,98.49,14.25
5860,61.64,97.55,16.29
5870,60.62,98.04,17.26
5880,65.83,95.64,21.8
5890,60.94,96.85,21.17
5900,63.89,95.04,15.12
5910,62.42,95.99,10.66
5920,65.47,97.91,15.53
5930,65.21,98.97,18.13
5940,67.51,95.4,14.15
5950,63.05,96.61,12.39
5960,63.96,98.2,17.96
5970,62.03,95.82,15.62
5980,63.83,97.22,16.66
5990,66.49,97.93,14.56
6000,67.83,97.46,17.21
6010,63.0,95.75,12.5
6020,68.58,96.42,21.99
6030,70.25,98.14,23.24
6040,67.63,97.22,10.67
6050,72.23,95.02,16.18
6060,64.5,98.04,10.81
6070,63.3,95.14,13.72
6080,61.92,97.98,15.43
6090,71.97,95.81,13.99
6100,69.66,98.83,15.18
6110,67.76,96.47,14.09
6120,68.99,96.31,19.43
6130,65.0,95.6,17.28
6140,75.95,96.22,18.49
6150,69.23,98.51,19.4
6160,69.4,98.99,16.57
6170,71.48,96.47,18.51
6180,70.98,96.79,26.09
6190,70.45,97.89,24.54
6200,67.64,98.54,12.86
6210,71.66,97.37,22.98
6220,76.13,96.57,24.7
6230,74.76,96.65,16.31
6240,75.74,97.78,24.57
6250,69.67,95.01,25.02
6260,68.47,97.48,13.9
6270,71.31,96.42,15.85
6280,72.09,98.18,23.91
6290,75.45,95.37,22.26
6300,67.33,97.35,20.14
6310,77.23,96.92,23.26
6320,72.41,97.57,21.53
6330,71.84,95.26,14.43
6340,70.32,97.32,23.32
6350,68.63,97.25,23.13
6360,76.31,97.24,20.6
6370,74.29,97.41,20.54
6380,70.44,97.71,13.05
6390,70.66,98.22,21.32
6400,73.77,96.08,22.8
6410,80.02,98.3,22.76
6420,74.46,96.99,25.28
6430,70.96,95.31,18.05
6440,74.96,95.23,23.24
6450,75.11,96.34,16.97
6460,68.06,98.14,18.13
6470,76.22,97.83,20.79
6480,75.91,98.15,22.27
6490,78.91,97.07,21.09
6500,82.59,96.76,23.51
6510,80.64,95.59,26.56
6520,76.67,96.31,19.92
6530,74.37,96.74,14.32
6540,85.62,95.35,32.24
6550,78.28,95.88,27.84
6560,78.35,97.39,17.17
6570,78.44,97.94,25.13
6580,79.31,98.99,20.71
6590,78.48,98.73,23.44
6600,77.38,97.57,23.13
6610,77.66,96.68,21.12
6620,79.39,97.54,19.62
6630,78.04,98.14,19.45
6640,77.72,95.47,18.42
6650,80.35,96.64,19.81
6660,79.45,98.36,22.51
6670,84.9,96.54,22.1
6680,72.6,97.29,22.77
6690,84.0,97.35,30.55
6700,84.62,95.74,22.53
6710,74.82,96.45,21.89
6720,80.17,96.34,25.07
6730,80.24,95.1,24.98
6740,77.28,95.1,22.22
6750,79.31,98.33,25.7
6760,78.45,96.09,24.31
6770,87.18,97.07,20.92
6780,84.86,96.19,28.42
6790,86.0,98.76,28.95
6800,84.47,96.04,21.74
6810,79.04,96.72,22.77
6820,80.97,98.49,26.12
6830,84.13,98.37,23.81
6840,79.1,95.74,26.93
6850,85.01,98.21,34.46
6860,82.25,96.83,20.76
6870,81.94,96.93,18.25
6880,85.29,95.53,26.33
6890,84.58,95.32,27.72
6900,82.24,97.91,22.97
6910,86.88,96.99,31.56
6920,80.23,96.75,17.74
6930,85.39,97.92,27.93
6940,85.38,98.06,22.73
6950,82.74,95.64,30.97
6960,84.7,97.44,32.85
6970,80.01,95.54,19.94
6980,86.58,98.01,23.44
6990,83.3,97.63,27.76
7000,82.32,98.83,22.38
7010,87.06,95.28,25.64
7020,81.83,95.23,23.83
7030,79.74,96.13,15.22
7040,79.31,96.05,22.67
7050,85.81,95.99,22.56
7060,80.16,98.63,21.09
7070,89.26,96.0,32.48
7080,77.75,96.09,17.07
7090,89.08,98.04,29.88
7100,84.61,96.8,23.73
7110,83.67,98.11,23.35
7120,82.3,95.26,27.08
7130,85.11,96.95,26.4
7140,83.76,95.13,26.79
7150,87.15,95.25,29.73
7160,84.14,98.63,23.33
7170,84.2,95.56,22.23
7180,82.61,97.13,19.7
7190,83.48,96.64,21.09
7200,84.51,96.39,36.6
7210,78.39,98.6,27.34
7220,79.41,95.09,17.36
7230,85.61,97.66,19.95
7240,83.81,98.85,26.45
7250,82.67,97.24,26.26
7260,83.19,98.75,26.47
7270,84.08,95.21,23.61
7280,81.32,96.68,23.03
7290,80.51,96.04,24.51
7300,83.33,97.92,24.67
7310,79.69,98.93,14.0
7320,83.74,96.03,23.58
7330,77.29,97.62,18.51
7340,85.36,95.79,25.85
7350,83.57,97.26,36.37
7360,82.79,96.86,25.58
7370,84.83,98.89,23.68
7380,86.74,97.43,29.38
7390,84.65,96.4,26.79
7400,75.94,95.46,23.05
7410,77.47,95.6,24.42
7420,79.28,95.9,30.94
7430,81.08,96.0,18.91
7440,82.39,98.4,25.85
7450,78.5,97.24,18.69
7460,81.07,97.09,25.65
7470,78.07,95.46,18.55
7480,78.33,98.44,20.66
7490,75.76,97.89,20.13
7500,77.03,95.27,25.72
7510,75.56,97.83,24.9
7520,76.51,97.17,16.62
7530,82.4,95.33,24.18
7540,76.2,96.83,18.64
7550,86.75,96.94,20.67
7560,80.14,95.66,22.19
7570,79.01,98.78,21.37
7580,75.68,98.4,30.98
7590,80.15,97.68,24.79
7600,76.11,96.85,15.93
7610,77.99,96.65,19.94
7620,85.09,97.6,29.12
7630,76.91,97.18,30.12
7640,80.43,95.25,16.83
7650,74.65,97.05,13.34
7660,76.43,98.23,29.06
7670,81.63,96.84,25.21
7680,74.21,95.21,17.21
7690,81.3,98.15,25.66
7700,77.76,95.81,11.56
7710,73.72,96.03,20.5
7720,77.07,95.66,23.14
7730,77.86,96.32,25.84
7740,76.58,98.03,17.58
7750,69.77,97.08,19.25
7760,72.06,95.82,16.12
7770,73.26,98.51,21.33
7780,73.55,98.52,16.84
7790,75.39,98.48,19.52
7800,73.83,95.96,16.55
7810,69.05,96.8,21.22
7820,73.96,98.94,24.02
7830,74.41,98.09,19.82
7840,74.01,95.11,20.76
7850,75.34,95.26,15.34
7860,74.36,96.86,19.54
7870,72.99,98.64,20.0
7880,71.17,97.15,29.95
7890,66.15,96.99,13.01
7900,72.19,95.42,25.73
7910,71.28,97.63,23.5
7920,71.23,98.29,20.62
7930,66.35,96.52,24.58
7940,66.7,98.1,19.17
7950,72.87,98.86,21.7
7960,69.36,95.82,18.53
7970,71.28,97.09,24.41
7980,69.09,96.15,23.02
7990,68.86,98.17,16.04
8000,71.36,97.31,14.27
8010,66.77,97.54,16.9
8020,68.38,98.19,15.15
8030,66.48,96.58,17.34
8040,66.33,98.66,22.48
8050,66.49,97.13,15.77
8060,67.86,95.63,17.97
8070,65.54,97.78,17.45
8080,70.53,98.17,22.6
8090,63.86,96.27,7.56
8100,65.77,98.43,14.88
8110,64.8,98.62,17.77
8120,70.25,96.11,23.9
8130,66.3,98.93,15.55
8140,68.6,95.56,10.93
8150,60.85,95.81,17.82
8160,65.91,95.74,14.82
8170,67.58,98.58,13.27
8180,64.97,97.62,14.49
8190,67.73,95.61,17.35
8200,62.79,96.76,13.7
8210,68.39,97.46,9.53
8220,70.88,95.33,22.94
8230,62.71,98.53,21.19
8240,62.29,98.21,18.52
8250,67.82,97.02,13.58
8260,68.03,98.87,17.41
8270,61.56,96.67,15.6
8280,61.71,98.94,18.08
8290,61.97,97.67,18.46
8300,58.63,97.54,11.51
8310,59.76,95.66,15.23
8320,59.35,98.53,16.57
8330,59.92,96.71,20.79
8340,61.98,95.65,18.61
8350,62.66,95.05,19.22
8360,66.48,97.24,17.93
8370,58.7,97.11,20.12
8380,64.53,97.88,18.45
8390,60.82,98.56,11.88
8400,61.2,95.32,21.09
8410,63.27,97.93,19.1
8420,57.77,95.75,12.34
8430,62.18,98.43,13.96
8440,61.44,98.28,16.76
8450,62.33,97.16,17.78
8460,61.63,97.84,16.44
8470,68.05,96.26,19.46
8480,58.69,96.88,21.28
8490,58.94,98.29,18.86
8500,58.59,96.84,15.2
8510,58.73,96.43,18.26
8520,58.43,96.98,10.24
8530,63.85,98.31,18.13
8540,64.5,96.34,24.04
8550,58.48,95.7,13.52
8560,57.65,97.85,10.67
8570,61.53,98.3,13.0
8580,58.43,95.4,10.01
8590,61.96,95.96,12.64
8600,60.65,95.57,13.78
8610,55.47,96.39,7.57
8620,64.65,96.8,16.92
8630,65.39,98.0,20.77
8640,58.16,97.6,10.63
8650,58.84,97.48,20.61
8660,60.87,96.41,17.39
8670,61.03,98.37,19.53
8680,62.02,96.89,13.17
8690,66.09,98.92,20.85
8700,59.56,97.54,10.46
8710,57.72,95.51,17.65
8720,56.02,97.7,14.09
8730,58.0,96.3,16.41
8740,60.14,97.75,10.35
8750,65.68,95.28,13.69
8760,58.79,95.7,16.91
8770,61.08,98.42,11.64
8780,60.42,95.91,17.02
8790,64.11,98.35,11.17
8800,68.19,96.12,21.67
8810,59.1,97.57,9.71
8820,59.31,97.78,16.93
8830,63.99,97.05,19.1
8840,63.0,96.22,13.41
8850,66.59,95.85,19.96
8860,62.9,95.13,17.2
8870,60.18,96.22,12.92
8880,63.13,97.61,12.22
8890,64.8,98.75,9.07
8900,64.06,98.48,18.02
8910,63.24,98.06,10.04
8920,65.04,98.15,17.4
8930,65.48,97.66,16.14
8940,66.25,96.04,20.22
8950,64.19,98.63,15.47
8960,61.88,97.68,14.44
8970,62.97,97.24,19.12
8980,66.3,95.44,18.86
8990,60.38,96.79,16.42
9000,64.09,96.84,18.51
9010,61.97,98.46,9.65
9020,63.4,97.19,19.39
9030,67.31,96.52,20.38
9040,64.22,98.91,12.62
9050,63.96,95.44,15.61
9060,59.92,96.69,14.81
9070,66.42,95.17,17.03
9080,66.3,97.96,18.86
9090,71.04,98.67,25.14
9100,63.82,96.12,20.85
9110,65.59,98.43,11.99
9120,65.88,96.17,19.84
9130,70.06,98.64,24.34
9140,65.24,98.02,18.64
9150,66.57,98.22,21.99
9160,67.76,95.07,26.15
9170,66.71,98.85,21.78
9180,65.02,97.91,18.0
9190,67.15,96.22,22.04
9200,70.01,98.32,19.58
9210,63.92,96.13,16.66
9220,67.62,98.49,16.64
9230,65.34,95.45,23.39
9240,71.25,97.81,16.23
9250,63.32,97.16,22.46
9260,66.44,95.39,19.58
9270,69.48,95.97,13.19
9280,73.27,95.05,21.78
9290,68.61,96.88,10.04
9300,67.37,96.21,20.45
9310,74.91,97.39,24.51
9320,65.16,96.19,14.69
9330,63.14,96.2,16.75
9340,71.3,97.97,27.33
