Day,Month,Sunrise,Sunset,DaylightHours,DayOfYear
2,Apr,618,1906,12.8,92
3,Apr,616,1907,12.85,93
4,Apr,614,1908,12.9,94
5,Apr,613,1909,12.93,95
6,Apr,611,1910,12.98,96
7,Apr,609,1911,13.03,97
8,Apr,608,1912,13.07,98
9,Apr,606,1914,13.13,99
10,Apr,604,1915,13.18,100
11,Apr,603,1916,13.22,101
12,Apr,601,1917,13.27,102
13,Apr,559,1918,13.32,103
14,Apr,558,1919,13.35,104
15,Apr,556,1920,13.4,105
16,Apr,554,1922,13.47,106
17,Apr,553,1923,13.5,107
18,Apr,551,1924,13.55,108
19,Apr,550,1925,13.58,109
20,Apr,548,1926,13.63,110
21,Apr,546,1927,13.68,111
22,Apr,545,1928,13.72,112
23,Apr,543,1930,13.78,113
24,Apr,542,1931,13.82,114
25,Apr,540,1932,13.87,115
26,Apr,539,1933,13.9,116
27,Apr,538,1934,13.93,117
28,Apr,536,1935,13.98,118
29,Apr,504,2007,15.05,119
30,Apr,503,2008,15.08,120
31,Apr,529,1959,14.5,121
1,May,532,1939,14.12,121
2,May,531,1940,14.15,122
3,May,529,1941,14.2,123
4,May,528,1942,14.23,124
5,May,527,1943,14.27,125
6,May,525,1944,14.32,126
7,May,524,1945,14.35,127
8,May,523,1947,14.4,128
9,May,522,1948,14.43,129
10,May,521,1949,14.47,130
11,May,519,1950,14.52,131
12,May,518,1951,14.55,132
13,May,517,1952,14.58,133
14,May,516,1953,14.62,134
15,May,515,1954,14.65,135
16,May,514,1955,14.68,136
17,May,513,1956,14.72,137
18,May,512,1957,14.75,138
19,May,511,1958,14.78,139
20,May,510,1959,14.82,140
21,May,510,2000,14.83,141
22,May,509,2001,14.87,142
23,May,508,2002,14.9,143
24,May,507,2003,14.93,144
25,May,506,2004,14.97,145
26,May,506,2005,14.98,146
27,May,505,2006,15.02,147
28,May,504,2006,15.03,148
29,May,503,2020,15.28,149
30,May,503,2020,15.28,150
31,May,602,1913,13.18,151
1,Jun,502,2010,15.13,152
2,Jun,502,2010,15.13,153
3,Jun,501,2011,15.17,154
4,Jun,501,2012,15.18,155
5,Jun,501,2013,15.2,156
6,Jun,500,2013,15.22,157
7,Jun,500,2014,15.23,158
8,Jun,500,2015,15.25,159
9,Jun,500,2015,15.25,160
10,Jun,500,2016,15.27,161
11,Jun,459,2016,15.28,162
12,Jun,459,2017,15.3,163
13,Jun,459,2017,15.3,164
14,Jun,459,2018,15.32,165
15,Jun,459,2018,15.32,166
16,Jun,459,2018,15.32,167
17,Jun,459,2019,15.33,168
18,Jun,459,2019,15.33,169
19,Jun,500,2019,15.32,170
20,Jun,500,2019,15.32,171
21,Jun,500,2020,15.33,172
22,Jun,500,2020,15.33,173
23,Jun,500,2020,15.33,174
24,Jun,501,2020,15.32,175
25,Jun,501,2020,15.32,176
26,Jun,501,2020,15.32,177
27,Jun,502,2020,15.3,178
28,Jun,502,2020,15.3,179
29,Jun,527,2001,14.57,180
30,Jun,528,2000,14.53,181
31,Jun,711,1731,10.33,182
1,Jul,504,2020,15.27,182
2,Jul,504,2020,15.27,183
3,Jul,505,2019,15.23,184
4,Jul,506,2019,15.22,185
5,Jul,506,2019,15.22,186
6,Jul,507,2018,15.18,187
7,Jul,507,2018,15.18,188
8,Jul,508,2018,15.17,189
9,Jul,509,2017,15.13,190
10,Jul,510,2017,15.12,191
11,Jul,510,2016,15.1,192
12,Jul,511,2016,15.08,193
13,Jul,512,2015,15.05,194
14,Jul,513,2014,15.02,195
15,Jul,514,2014,15.0,196
16,Jul,514,2013,14.98,197
17,Jul,515,2012,14.95,198
18,Jul,516,2012,14.93,199
19,Jul,517,2011,14.9,200
20,Jul,518,2010,14.87,201
21,Jul,519,2009,14.83,202
22,Jul,520,2008,14.8,203
23,Jul,521,2007,14.77,204
24,Jul,522,2006,14.73,205
25,Jul,523,2006,14.72,206
26,Jul,524,2005,14.68,207
27,Jul,525,2003,14.63,208
28,Jul,526,2002,14.6,209
29,Jul,600,1917,13.28,210
30,Jul,601,1915,13.23,211
31,Jul,808,1714,9.1,212
1,Aug,530,1958,14.47,213
2,Aug,531,1957,14.43,214
3,Aug,532,1956,14.4,215
4,Aug,533,1954,14.35,216
5,Aug,534,1953,14.32,217
6,Aug,535,1952,14.28,218
7,Aug,536,1950,14.23,219
8,Aug,537,1949,14.2,220
9,Aug,538,1948,14.17,221
10,Aug,539,1946,14.12,222
11,Aug,540,1945,14.08,223
12,Aug,542,1944,14.03,224
13,Aug,543,1942,13.98,225
14,Aug,544,1941,13.95,226
15,Aug,545,1939,13.9,227
16,Aug,546,1938,13.87,228
17,Aug,547,1936,13.82,229
18,Aug,548,1935,13.78,230
19,Aug,549,1933,13.73,231
20,Aug,550,1931,13.68,232
21,Aug,551,1930,13.65,233
22,Aug,552,1928,13.6,234
23,Aug,553,1927,13.57,235
24,Aug,554,1925,13.52,236
25,Aug,556,1923,13.45,237
26,Aug,557,1922,13.42,238
27,Aug,558,1920,13.37,239
28,Aug,559,1918,13.32,240
29,Aug,633,1822,11.82,241
30,Aug,634,1820,11.77,242
1,Sep,603,1912,13.15,244
2,Sep,604,1910,13.1,245
3,Sep,605,1908,13.05,246
4,Sep,606,1907,13.02,247
5,Sep,607,1905,12.97,248
6,Sep,608,1903,12.92,249
7,Sep,609,1901,12.87,250
8,Sep,611,1900,12.82,251
9,Sep,612,1858,12.77,252
10,Sep,613,1856,12.72,253
11,Sep,614,1854,12.67,254
12,Sep,615,1852,12.62,255
13,Sep,616,1851,12.58,256
14,Sep,617,1849,12.53,257
15,Sep,618,1847,12.48,258
16,Sep,619,1845,12.43,259
17,Sep,620,1844,12.4,260
18,Sep,621,1842,12.35,261
19,Sep,622,1840,12.3,262
20,Sep,623,1838,12.25,263
21,Sep,625,1836,12.18,264
22,Sep,626,1835,12.15,265
23,Sep,627,1833,12.1,266
24,Sep,628,1831,12.05,267
25,Sep,629,1829,12.0,268
26,Sep,630,1827,11.95,269
27,Sep,631,1826,11.92,270
28,Sep,632,1824,11.87,271
29,Sep,709,1734,10.42,272
30,Sep,710,1733,10.38,273
1,Oct,636,1819,11.72,274
2,Oct,637,1817,11.67,275
3,Oct,638,1815,11.62,276
4,Oct,639,1813,11.57,277
5,Oct,640,1812,11.53,278
6,Oct,641,1810,11.48,279
7,Oct,642,1808,11.43,280
8,Oct,643,1807,11.4,281
9,Oct,645,1805,11.33,282
10,Oct,646,1803,11.28,283
11,Oct,647,1802,11.25,284
12,Oct,648,1800,11.2,285
13,Oct,649,1758,11.15,286
14,Oct,650,1757,11.12,287
15,Oct,652,1755,11.05,288
16,Oct,653,1753,11.0,289
17,Oct,654,1752,10.97,290
18,Oct,655,1750,10.92,291
19,Oct,656,1749,10.88,292
20,Oct,658,1747,10.82,293
21,Oct,659,1746,10.78,294
22,Oct,700,1744,10.73,295
23,Oct,701,1743,10.7,296
24,Oct,702,1741,10.65,297
25,Oct,704,1740,10.6,298
26,Oct,705,1738,10.55,299
27,Oct,706,1737,10.52,300
28,Oct,707,1735,10.47,301
29,Oct,747,1706,9.32,302
30,Oct,748,1705,9.28,303
1,Nov,712,1730,10.3,305
2,Nov,714,1729,10.25,306
3,Nov,715,1728,10.22,307
4,Nov,716,1726,10.17,308
5,Nov,717,1725,10.13,309
6,Nov,719,1724,10.08,310
7,Nov,720,1723,10.05,311
8,Nov,721,1722,10.02,312
9,Nov,722,1721,9.98,313
10,Nov,724,1719,9.92,314
11,Nov,725,1718,9.88,315
12,Nov,726,1717,9.85,316
13,Nov,728,1716,9.8,317
14,Nov,729,1716,9.78,318
15,Nov,730,1715,9.75,319
16,Nov,731,1714,9.72,320
17,Nov,733,1713,9.67,321
18,Nov,734,1712,9.63,322
19,Nov,735,1711,9.6,323
20,Nov,736,1711,9.58,324
21,Nov,737,1710,9.55,325
22,Nov,739,1709,9.5,326
23,Nov,740,1709,9.48,327
24,Nov,741,1708,9.45,328
25,Nov,742,1708,9.43,329
26,Nov,743,1707,9.4,330
27,Nov,745,1707,9.37,331
28,Nov,746,1706,9.33,332
29,Nov,808,1712,9.07,333
30,Nov,808,1713,9.08,334
1,Dec,749,1705,9.27,335
2,Dec,750,1705,9.25,336
3,Dec,751,1705,9.23,337
4,Dec,752,1704,9.2,338
5,Dec,753,1704,9.18,339
6,Dec,754,1704,9.17,340
7,Dec,755,1704,9.15,341
8,Dec,756,1704,9.13,342
9,Dec,757,1704,9.12,343
10,Dec,758,1704,9.1,344
11,Dec,758,1704,9.1,345
12,Dec,759,1704,9.08,346
13,Dec,800,1704,9.07,347
14,Dec,801,1705,9.07,348
15,Dec,802,1705,9.05,349
16,Dec,802,1705,9.05,350
17,Dec,803,1706,9.05,351
18,Dec,803,1706,9.05,352
19,Dec,804,1706,9.03,353
20,Dec,805,1707,9.03,354
21,Dec,805,1707,9.03,355
22,Dec,806,1708,9.03,356
23,Dec,806,1708,9.03,357
24,Dec,806,1709,9.05,358
25,Dec,807,1710,9.05,359
26,Dec,807,1710,9.05,360
27,Dec,807,1711,9.07,361
28,Dec,808,1712,9.07,362
