Hours Since Dec 1 2017,Rented Bike Count,Temperature(degC),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(degC),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
62,563,7.6,76,1.2,422,3.6,0.69,0,0,Winter,No Holiday,Yes
63,621,8,73,1.6,433,3.4,0.53,0,0,Winter,No Holiday,Yes
64,598,7.6,77,1.6,399,3.8,0.2,0,0,Winter,No Holiday,Yes
65,545,6.7,82,1.5,358,3.8,0.05,0,0,Winter,No Holiday,Yes
66,443,6,84,1.9,327,3.4,0,0,0,Winter,No Holiday,Yes
67,422,5.7,85,1.7,309,3.3,0,0,0,Winter,No Holiday,Yes
68,397,5.2,87,1.4,253,3.2,0,0,0,Winter,No Holiday,Yes
69,385,4.7,87,1.2,247,2.7,0,0,0,Winter,No Holiday,Yes
70,350,4.3,89,1.8,201,2.6,0,0,0,Winter,No Holiday,Yes
71,303,3.9,90,1.3,194,2.4,0,0,0,Winter,No Holiday,Yes
72,285,4.2,88,0.6,216,2.3,0,0,0,Winter,No Holiday,Yes
73,186,4.3,87,0.5,221,2.3,0,0,0,Winter,No Holiday,Yes
74,112,4.4,87,1.8,207,2.4,0,0,0,Winter,No Holiday,Yes
75,65,3.6,85,2.3,206,1.3,0,0,0,Winter,No Holiday,Yes
76,41,2.8,89,1.5,130,1.1,0,0,0,Winter,No Holiday,Yes
77,82,2,83,2.7,253,-0.5,0,0,0,Winter,No Holiday,Yes
78,200,1.2,76,3.7,371,-2.5,0,0.1,0,Winter,No Holiday,Yes
79,498,0.2,68,3.4,702,-5,0,0,0,Winter,No Holiday,Yes
80,937,-0.8,69,3.5,954,-5.7,0.01,0,0,Winter,No Holiday,Yes
81,509,-1.5,47,4.2,1888,-11.3,0.22,0,0,Winter,No Holiday,Yes
82,311,-1.1,40,4.5,2000,-13,0.64,0,0,Winter,No Holiday,Yes
83,379,-0.5,41,4.1,1799,-12.1,0.94,0,0,Winter,No Holiday,Yes
84,393,-0.3,38,4.8,1823,-12.9,1.11,0,0,Winter,No Holiday,Yes
85,391,0,30,5.4,1938,-15.5,1.17,0,0,Winter,No Holiday,Yes
86,338,0.1,27,4.5,2000,-16.7,1.09,0,0,Winter,No Holiday,Yes
87,341,-0.1,25,5.8,2000,-17.8,0.88,0,0,Winter,No Holiday,Yes
88,375,-0.2,23,4.7,2000,-18.8,0.55,0,0,Winter,No Holiday,Yes
89,515,-1.3,26,5.3,2000,-18.3,0.18,0,0,Winter,No Holiday,Yes
90,807,-2.1,29,3.9,2000,-17.7,0,0,0,Winter,No Holiday,Yes
91,568,-2.9,32,3.2,2000,-17.3,0,0,0,Winter,No Holiday,Yes
92,398,-3.6,38,3,2000,-15.8,0,0,0,Winter,No Holiday,Yes
93,397,-4.6,43,4.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes
94,353,-5.3,45,2.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes
95,248,-5.8,44,2.4,2000,-16.1,0,0,0,Winter,No Holiday,Yes
96,216,-6.1,42,2.6,2000,-16.9,0,0,0,Winter,No Holiday,Yes
97,198,-6.5,41,2.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes
98,124,-6.8,41,2.5,2000,-17.8,0,0,0,Winter,No Holiday,Yes
99,62,-6.9,39,2,2000,-18.5,0,0,0,Winter,No Holiday,Yes
100,42,-7.2,34,3,2000,-20.4,0,0,0,Winter,No Holiday,Yes
101,82,-7.4,33,2.6,2000,-20.9,0,0,0,Winter,No Holiday,Yes
102,172,-7.4,34,3.2,2000,-20.6,0,0,0,Winter,No Holiday,Yes
103,381,-7.5,33,2.2,2000,-21,0,0,0,Winter,No Holiday,Yes
104,812,-8.1,36,1.6,2000,-20.5,0.01,0,0,Winter,No Holiday,Yes
105,462,-7.6,31,1.3,1974,-21.8,0.21,0,0,Winter,No Holiday,Yes
106,269,-5.5,26,2.8,1967,-22,0.64,0,0,Winter,No Holiday,Yes
107,334,-3.9,25,0,1959,-21,0,0,0,Winter,No Holiday,Yes
108,321,-2.3,25,0,1962,-19.7,0,0,0,Winter,No Holiday,Yes
109,325,-1.6,27,0,1955,-18.2,0,0,0,Winter,No Holiday,Yes
110,334,-1.1,28,0,2000,-17.3,0,0,0,Winter,No Holiday,Yes
111,353,-0.7,28,0,2000,-16.9,0,0,0,Winter,No Holiday,Yes
112,435,-0.5,30,0,2000,-16,0,0,0,Winter,No Holiday,Yes
113,529,-1.6,35,0,2000,-15.1,0,0,0,Winter,No Holiday,Yes
114,789,-2.6,40,0,2000,-14.4,0,0,0,Winter,No Holiday,Yes
115,597,-3.2,45,0,2000,-13.5,0,0,0,Winter,No Holiday,Yes
116,418,-3.5,46,0,2000,-13.4,0,0,0,Winter,No Holiday,Yes
117,415,-3.7,47,0,2000,-13.3,0,0,0,Winter,No Holiday,Yes
118,393,-2.8,49,0,2000,-12,0,0,0,Winter,No Holiday,Yes
119,244,-2.5,59,0,1210,-9.4,0,0,0,Winter,No Holiday,Yes
120,145,-2.8,77,0,331,-6.2,0,0.1,0.1,Winter,No Holiday,Yes
121,144,-3,79,0,293,-6.1,0,0,0.3,Winter,No Holiday,Yes
122,117,-3,79,0,1862,-6.1,0,0,0.4,Winter,No Holiday,Yes
123,78,-3.2,78,0,1808,-6.4,0,0.2,0.4,Winter,No Holiday,Yes
124,58,-3.4,75,0,1982,-7.2,0,0,0.4,Winter,No Holiday,Yes
125,87,-3.6,76,0,1934,-7.2,0,0,0.4,Winter,No Holiday,Yes
126,142,-3.7,76,0,1864,-7.3,0,0,0.4,Winter,No Holiday,Yes
127,379,-4.2,77,0,1741,-7.6,0,0,0.3,Winter,No Holiday,Yes
128,802,-4.2,78,0,1518,-7.4,0.01,0,0.2,Winter,No Holiday,Yes
129,440,-3.3,70,0,1324,-7.9,0.25,0,0.2,Winter,No Holiday,Yes
130,307,-0.9,64,0,1224,-6.8,0.63,0,0.2,Winter,No Holiday,Yes
131,381,1.6,57,1.2,1261,-6,0.93,0,0,Winter,No Holiday,Yes
132,405,2.4,52,0.9,1224,-6.4,1.08,0,0,Winter,No Holiday,Yes
133,442,4.2,47,1.1,1469,-6.1,1.1,0,0,Winter,No Holiday,Yes
134,416,5.5,34,1,1966,-9.1,0.96,0,0,Winter,No Holiday,Yes
135,412,5.5,31,3.1,1968,-10.3,0.72,0,0,Winter,No Holiday,Yes
136,496,5.3,37,2.9,2000,-8.2,0.36,0,0,Winter,No Holiday,Yes
137,239,4.1,60,2.5,1565,-2.9,0.1,0,0,Winter,No Holiday,Yes
138,204,1.7,90,1,66,0.2,0,0.3,0.3,Winter,No Holiday,Yes
139,205,1.2,92,0.7,180,0,0,0,1,Winter,No Holiday,Yes
140,190,1.2,94,0.6,228,0.3,0,0,1,Winter,No Holiday,Yes
141,165,1.1,92,0.5,235,0,0,0.7,1,Winter,No Holiday,Yes
142,222,1.3,92,0.6,233,0.1,0,0,1,Winter,No Holiday,Yes
143,193,1.3,92,0.6,209,0.1,0,0,1,Winter,No Holiday,Yes
144,198,1.4,92,0.5,240,0.2,0,0,0.9,Winter,No Holiday,Yes
145,218,1.5,92,0.4,227,0.3,0,0,0.9,Winter,No Holiday,Yes
146,149,1.4,92,0.7,168,0.2,0,0,0.9,Winter,No Holiday,Yes
147,102,1.9,91,1.4,218,0.5,0,0,0.9,Winter,No Holiday,Yes
148,62,1.6,92,0.7,119,0.4,0,0,0.9,Winter,No Holiday,Yes
149,83,1.5,92,1.1,175,0.3,0,0,0.9,Winter,No Holiday,Yes
150,137,1,93,0.5,148,0,0,0,0.9,Winter,No Holiday,Yes
151,367,0.3,93,0.5,173,-0.7,0,0,0.9,Winter,No Holiday,Yes
152,754,-0.2,96,0.8,173,-0.7,0.01,0,0.8,Winter,No Holiday,Yes
153,415,0.1,91,0.8,265,-1.1,0.14,0,0.8,Winter,No Holiday,Yes
154,321,1.1,83,0.7,311,-1.4,0.41,0,0.7,Winter,No Holiday,Yes
155,333,2.3,69,1.7,628,-2.8,0.63,0,0.6,Winter,No Holiday,Yes
156,431,3.7,65,2.4,833,-2.2,0.98,0,0.3,Winter,No Holiday,Yes
157,394,4.1,37,3.1,1767,-9.3,1.14,0,0,Winter,No Holiday,Yes
158,390,4.4,36,2.7,1975,-9.4,1.04,0,0,Winter,No Holiday,Yes
159,430,4,35,3.1,1962,-10.1,0.84,0,0,Winter,No Holiday,Yes
160,471,3.2,38,2.9,1817,-9.7,0.51,0,0,Winter,No Holiday,Yes
161,552,2.1,50,2,1434,-7.2,0.15,0,0,Winter,No Holiday,Yes
162,795,0.7,46,2.7,1558,-9.6,0,0,0,Winter,No Holiday,Yes
163,507,-0.4,47,2.5,1269,-10.3,0,0,0,Winter,No Holiday,Yes
164,390,-1.4,47,2.5,1620,-11.2,0,0,0,Winter,No Holiday,Yes
165,402,-2.2,46,2.2,1975,-12.2,0,0,0,Winter,No Holiday,Yes
166,389,-2.7,48,2.6,1844,-12.2,0,0,0,Winter,No Holiday,Yes
167,259,-3.2,50,2.1,1887,-12.1,0,0,0,Winter,No Holiday,Yes
168,233,-3.5,49,2.6,1893,-12.6,0,0,0,Winter,No Holiday,Yes
169,230,-3.7,50,2.5,1902,-12.6,0,0,0,Winter,No Holiday,Yes
170,131,-4.3,53,1,1918,-12.4,0,0,0,Winter,No Holiday,Yes
171,99,-4.8,52,1.6,1978,-13.1,0,0,0,Winter,No Holiday,Yes
172,71,-5.3,53,2.4,1936,-13.4,0,0,0,Winter,No Holiday,Yes
173,84,-5.8,56,2,1941,-13.1,0,0,0,Winter,No Holiday,Yes
174,158,-6,56,3.5,1853,-13.3,0,0,0,Winter,No Holiday,Yes
175,387,-6.5,57,0.8,1776,-13.6,0,0,0,Winter,No Holiday,Yes
176,780,-7,59,0.8,1559,-13.6,0.01,0,0,Winter,No Holiday,Yes
177,395,-6.7,50,0.9,1492,-15.4,0.23,0,0,Winter,No Holiday,Yes
178,261,-5.3,44,2.8,1516,-15.6,0.63,0,0,Winter,No Holiday,Yes
179,310,-3.7,39,1.4,1595,-15.6,0.93,0,0,Winter,No Holiday,Yes
180,355,-2,30,1.4,1728,-17.3,1.14,0,0,Winter,No Holiday,Yes
181,354,-1.7,28,1.8,1963,-17.8,1.22,0,0,Winter,No Holiday,Yes
182,350,-1.3,27,3.1,1906,-17.9,1.12,0,0,Winter,No Holiday,Yes
183,362,-0.8,26,3.3,1977,-17.9,0.87,0,0,Winter,No Holiday,Yes
184,401,-1.1,24,3.4,2000,-19.1,0.56,0,0,Winter,No Holiday,Yes
185,500,-2.4,30,2.7,2000,-17.6,0.18,0,0,Winter,No Holiday,Yes
186,752,-3.1,33,1.2,2000,-17.1,0,0,0,Winter,No Holiday,Yes
187,477,-3.3,35,1.1,2000,-16.6,0,0,0,Winter,No Holiday,Yes
188,384,-3.3,34,1.5,2000,-16.9,0,0,0,Winter,No Holiday,Yes
189,336,-3.3,35,0.5,2000,-16.6,0,0,0,Winter,No Holiday,Yes
190,347,-3.4,39,1.2,2000,-15.4,0,0,0,Winter,No Holiday,Yes
191,275,-3.5,43,0.9,2000,-14.3,0,0,0,Winter,No Holiday,Yes
192,267,-3.5,48,0.9,1967,-12.9,0,0,0,Winter,No Holiday,Yes
193,296,-4.1,49,0.6,2000,-13.2,0,0,0,Winter,No Holiday,Yes
194,237,-4.7,50,0.7,1983,-13.5,0,0,0,Winter,No Holiday,Yes
195,169,-4.3,47,0.6,1992,-13.9,0,0,0,Winter,No Holiday,Yes
196,96,-4.3,49,0.7,2000,-13.4,0,0,0,Winter,No Holiday,Yes
197,56,-4.7,49,0.8,1999,-13.8,0,0,0,Winter,No Holiday,Yes
198,76,-5.1,53,0.9,1975,-13.2,0,0,0,Winter,No Holiday,Yes
199,127,-5.5,56,0.8,1950,-12.9,0,0,0,Winter,No Holiday,Yes
200,222,-5.4,56,0.7,1940,-12.8,0.01,0,0,Winter,No Holiday,Yes
201,291,-4.7,48,1,1784,-14,0.23,0,0,Winter,No Holiday,Yes
202,273,-2.2,42,1.3,1646,-13.4,0.61,0,0,Winter,No Holiday,Yes
203,351,0,45,1.1,1500,-10.5,0.89,0,0,Winter,No Holiday,Yes
204,427,2.4,40,0.8,1809,-9.8,1.05,0,0,Winter,No Holiday,Yes
205,431,3.9,36,2,1702,-9.8,1.13,0,0,Winter,No Holiday,Yes
206,486,4.7,32,2.2,1948,-10.6,1.06,0,0,Winter,No Holiday,Yes
207,569,5.2,30,2,1963,-11,0.84,0,0,Winter,No Holiday,Yes
208,546,4.4,33,1.6,1963,-10.5,0.4,0,0,Winter,No Holiday,Yes
209,481,3.5,37,1.8,1963,-9.8,0.1,0,0,Winter,No Holiday,Yes
210,384,2.5,41,1,1974,-9.4,0,0,0,Winter,No Holiday,Yes
211,275,1.5,48,0.4,1878,-8.3,0,0,0,Winter,No Holiday,Yes
212,298,0.8,51,1.4,1848,-8.2,0,0,0,Winter,No Holiday,Yes
213,321,-0.1,55,0.7,1654,-8,0,0,0,Winter,No Holiday,Yes
214,289,-0.5,55,0.6,1655,-8.4,0,0,0,Winter,No Holiday,Yes
215,265,-0.1,54,1.3,1570,-8.3,0,0,0,Winter,No Holiday,Yes
216,326,-0.2,55,1,1629,-8.1,0,0,0,Winter,No Holiday,Yes
217,280,-0.2,54,0.5,1747,-8.4,0,0,0,Winter,No Holiday,Yes
218,243,0.2,52,0.7,1726,-8.5,0,0,0,Winter,No Holiday,Yes
219,169,0.3,53,0.5,1748,-8.1,0,0,0,Winter,No Holiday,Yes
220,71,0.4,52,1.6,1816,-8.3,0,0,0,Winter,No Holiday,Yes
221,13,0.3,74,1,178,-3.7,0,0,0.7,Winter,No Holiday,Yes
222,9,-0.5,90,0.9,91,-1.9,0,2.5,2.7,Winter,No Holiday,Yes
223,20,-0.4,92,1.1,121,-1.5,0,0,4,Winter,No Holiday,Yes
224,35,-0.2,90,1.2,378,-1.6,0,0,4.1,Winter,No Holiday,Yes
225,31,0.2,90,1,305,-1.2,0,1.6,4.3,Winter,No Holiday,Yes
226,19,0.5,91,0.4,143,-0.8,0,0,4.3,Winter,No Holiday,Yes
227,58,0.9,92,0.9,137,-0.2,0.03,0,3.9,Winter,No Holiday,Yes
228,119,2.3,88,0.3,245,0.5,0.28,0,3.1,Winter,No Holiday,Yes
229,182,3.3,87,1.1,230,1.3,0.54,0,2.1,Winter,No Holiday,Yes
230,235,4.2,85,0.7,325,1.8,0.65,0,1.4,Winter,No Holiday,Yes
231,180,6.7,63,4.5,715,0.1,0.35,0,1,Winter,No Holiday,Yes
232,214,5.4,71,3.5,622,0.5,0.2,0,0.5,Winter,No Holiday,Yes
233,226,3.6,65,4.3,1061,-2.3,0.03,0,0.4,Winter,No Holiday,Yes
234,210,2,61,3,2000,-4.7,0,0,0,Winter,No Holiday,Yes
235,181,1.6,53,4,2000,-6.9,0,0,0,Winter,No Holiday,Yes
236,165,0.6,57,3.9,1954,-6.9,0,0,0,Winter,No Holiday,Yes
237,167,0,59,3,1862,-7,0,0,0,Winter,No Holiday,Yes
238,152,-1,56,4.7,2000,-8.6,0,0,0,Winter,No Holiday,Yes
239,148,-1.4,43,4.3,2000,-12.3,0,0,0,Winter,No Holiday,Yes
240,125,-2.5,39,3.4,2000,-14.5,0,0,0,Winter,No Holiday,Yes
241,111,-3.4,36,3.8,2000,-16.3,0,0,0,Winter,No Holiday,Yes
242,67,-4.2,35,3.4,2000,-17.4,0,0,0,Winter,No Holiday,Yes
243,45,-4.7,38,2.4,2000,-16.8,0,0,0,Winter,No Holiday,Yes
244,44,-5.2,35,3.2,2000,-18.3,0,0,0,Winter,No Holiday,Yes
245,86,-5.6,38,3.2,1974,-17.6,0,0,0,Winter,No Holiday,Yes
246,136,-5.9,39,2.9,1979,-17.6,0,0,0,Winter,No Holiday,Yes
247,325,-6,39,3.1,1996,-17.7,0,0,0,Winter,No Holiday,Yes
248,653,-6,38,3.6,1994,-18,0.01,0,0,Winter,No Holiday,Yes
249,326,-5.9,36,5.1,1941,-18.6,0.1,0,0,Winter,No Holiday,Yes
250,212,-5.3,32,4.5,2000,-19.4,0.62,0,0,Winter,No Holiday,Yes
251,226,-4.7,36,3.8,2000,-17.5,1,0,0,Winter,No Holiday,Yes
252,247,-5.2,33,4.6,1973,-19,1.26,0,0,Winter,No Holiday,Yes
253,241,-5.4,32,5.1,1986,-19.5,1.24,0,0,Winter,No Holiday,Yes
254,253,-5.4,31,4.1,1945,-19.9,1.13,0,0,Winter,No Holiday,Yes
255,269,-5.5,33,4.5,2000,-19.2,0.92,0,0,Winter,No Holiday,Yes
256,277,-6,40,4,2000,-17.4,0.55,0,0,Winter,No Holiday,Yes
257,361,-7.1,44,4.2,2000,-17.3,0.18,0,0,Winter,No Holiday,Yes
258,557,-7.9,43,3.3,2000,-18.3,0,0,0,Winter,No Holiday,Yes
259,371,-8.6,45,3.9,2000,-18.4,0,0,0,Winter,No Holiday,Yes
260,254,-9.3,49,3.8,2000,-18,0,0,0,Winter,No Holiday,Yes
261,266,-9.7,51,2.5,2000,-17.9,0,0,0,Winter,No Holiday,Yes
262,222,-10.2,50,3,2000,-18.6,0,0,0,Winter,No Holiday,Yes
263,174,-10.7,53,1.2,2000,-18.4,0,0,0,Winter,No Holiday,Yes
264,133,-11,51,1.1,2000,-19.1,0,0,0,Winter,No Holiday,Yes
265,127,-11.2,51,1.1,2000,-19.3,0,0,0,Winter,No Holiday,Yes
266,95,-11.5,50,0.7,2000,-19.8,0,0,0,Winter,No Holiday,Yes
267,54,-11.6,50,2.2,1995,-19.9,0,0,0,Winter,No Holiday,Yes
268,46,-11.6,47,2.1,1982,-20.6,0,0,0,Winter,No Holiday,Yes
269,65,-11.6,45,2.8,1951,-21.1,0,0,0,Winter,No Holiday,Yes
270,104,-11.8,47,2.5,1973,-20.8,0,0,0,Winter,No Holiday,Yes
271,280,-12.1,50,2.3,1929,-20.4,0,0,0,Winter,No Holiday,Yes
272,580,-12.3,52,1.3,1914,-20.1,0,0,0,Winter,No Holiday,Yes
273,275,-11.8,46,2.9,1956,-21.1,0.1,0,0,Winter,No Holiday,Yes
274,184,-10.5,45,3.3,1855,-20.1,0.6,0,0,Winter,No Holiday,Yes
275,201,-9.4,42,3.1,1815,-19.9,0.93,0,0,Winter,No Holiday,Yes
276,228,-8.3,35,2.9,1967,-21,1.14,0,0,Winter,No Holiday,Yes
277,225,-6.9,37,2.4,1955,-19.1,1.22,0,0,Winter,No Holiday,Yes
278,258,-5.4,32,2,1930,-19.5,1.12,0,0,Winter,No Holiday,Yes
279,250,-5.8,30,2.8,2000,-20.6,0.92,0,0,Winter,No Holiday,Yes
280,248,-6,29,2.8,1983,-21.2,0.58,0,0,Winter,No Holiday,Yes
281,305,-7,32,2.6,2000,-20.9,0.19,0,0,Winter,No Holiday,Yes
282,529,-7.7,36,1,2000,-20.2,0,0,0,Winter,No Holiday,Yes
283,350,-8.2,43,1.1,2000,-18.5,0,0,0,Winter,No Holiday,Yes
284,260,-8.4,42,1,2000,-19,0,0,0,Winter,No Holiday,Yes
285,270,-8.8,43,1.4,1999,-19.1,0,0,0,Winter,No Holiday,Yes
286,256,-9,45,1.3,1999,-18.7,0,0,0,Winter,No Holiday,Yes
287,173,-9.3,47,2.1,2000,-18.5,0,0,0,Winter,No Holiday,Yes
288,168,-9.5,48,1.3,1996,-18.4,0,0,0,Winter,No Holiday,Yes
289,183,-10.2,52,1.6,1997,-18.2,0,0,0,Winter,No Holiday,Yes
290,120,-10.4,53,1.8,1949,-18.1,0,0,0,Winter,No Holiday,Yes
291,79,-10.9,55,1.8,1913,-18.1,0,0,0,Winter,No Holiday,Yes
292,41,-11.4,58,1.3,1907,-18,0,0,0,Winter,No Holiday,Yes
293,68,-11.5,58,1.1,1923,-18.1,0,0,0,Winter,No Holiday,Yes
294,109,-11.9,57,1.1,1974,-18.7,0,0,0,Winter,No Holiday,Yes
295,310,-11.7,53,1.6,1998,-19.3,0,0,0,Winter,No Holiday,Yes
296,591,-11.4,47,3.3,2000,-20.4,0,0,0,Winter,No Holiday,Yes
297,340,-11.1,46,3.4,1981,-20.4,0.1,0,0,Winter,No Holiday,Yes
298,202,-9.5,39,2.1,1875,-20.9,0.6,0,0,Winter,No Holiday,Yes
299,251,-8.1,35,1.8,1806,-20.9,0.96,0,0,Winter,No Holiday,Yes
300,267,-6.5,30,2.9,1945,-21.2,1.17,0,0,Winter,No Holiday,Yes
301,251,-5.8,28,2.9,1887,-21.4,1.23,0,0,Winter,No Holiday,Yes
302,240,-4.7,27,2.9,1883,-20.8,1.12,0,0,Winter,No Holiday,Yes
303,240,-4.9,26,3.1,1887,-21.5,0.89,0,0,Winter,No Holiday,Yes
304,278,-4.5,26,2.2,2000,-21.1,0.56,0,0,Winter,No Holiday,Yes
305,392,-5.6,29,1.7,2000,-20.8,0.18,0,0,Winter,No Holiday,Yes
306,537,-6.6,33,1.1,2000,-20.2,0,0,0,Winter,No Holiday,Yes
307,373,-6.6,31,1.6,2000,-20.9,0,0,0,Winter,No Holiday,Yes
308,263,-7.6,35,0.8,2000,-20.4,0,0,0,Winter,No Holiday,Yes
309,271,-8.3,39,1,2000,-19.8,0,0,0,Winter,No Holiday,Yes
310,271,-8.9,39,0.1,2000,-20.3,0,0,0,Winter,No Holiday,Yes
311,174,-9.2,44,0.4,1978,-19.2,0,0,0,Winter,No Holiday,Yes
312,171,-9.5,50,0.6,1953,-18,0,0,0,Winter,No Holiday,Yes
313,170,-9.8,48,0.8,2000,-18.7,0,0,0,Winter,No Holiday,Yes
314,107,-10.6,44,0.8,1903,-20.5,0,0,0,Winter,No Holiday,Yes
315,80,-10.7,48,0.4,1651,-19.6,0,0,0,Winter,No Holiday,Yes
316,52,-11,50,0.8,1718,-19.4,0,0,0,Winter,No Holiday,Yes
317,62,-10.8,48,0.8,1648,-19.6,0,0,0,Winter,No Holiday,Yes
318,108,-11,55,0.8,1541,-18.2,0,0,0,Winter,No Holiday,Yes
319,279,-10.9,57,1.1,1387,-17.7,0,0,0,Winter,No Holiday,Yes
320,621,-10.4,54,1.1,1432,-17.9,0.01,0,0,Winter,No Holiday,Yes
321,305,-9.4,44,0.5,1680,-19.4,0.13,0,0,Winter,No Holiday,Yes
322,189,-7.7,43,0.9,1555,-18.1,0.35,0,0,Winter,No Holiday,Yes
