Year,Mileage,PriceUSD,CityMPG,HighwayMPG,EngineLiters
2018,105781,9182,33,45,3.0
2019,84770,9586,28,33,2.7
2008,142583,2500,36,44,1.7
2022,46026,15453,36,44,2.6
2005,215656,2500,19,26,3.7
2021,52746,12798,33,38,2.3
2010,162296,3524,30,35,2.4
2010,240000,2500,32,36,2.3
2015,146373,2500,35,40,1.7
2018,100160,6293,36,43,2.7
2015,118928,3319,34,40,2.0
2023,40199,21605,39,48,1.8
2008,240000,2500,31,37,2.7
2015,71052,4695,40,46,1.6
2022,14788,17073,40,48,2.0
2012,115514,2500,28,36,2.7
2019,78278,7385,37,43,2.0
2020,111330,4420,42,52,2.0
2024,9669,30885,34,43,3.0
2012,80038,2500,32,40,2.2
2023,5844,23334,32,40,2.7
2017,93458,6934,26,32,4.6
2017,86161,8940,23,31,3.7
2014,83332,4103,38,47,2.2
2013,204378,2500,38,41,1.6
2020,54773,9992,37,43,2.0
2016,114497,4759,37,43,1.6
2017,85784,4627,40,47,1.5
2014,187015,2779,42,49,1.6
2025,10275,29580,36,43,2.2
2016,155863,3196,36,44,1.9
2011,240000,2500,36,43,2.1
2018,129723,6699,40,48,2.0
2010,68907,2500,26,33,3.7
2019,97707,10408,33,37,3.4
2014,150265,3552,31,37,2.8
2025,1000,33436,35,41,2.5
2017,110638,5064,29,33,3.5
2018,44331,7118,38,47,1.9
2013,71400,5372,30,37,2.9
2005,154183,2500,34,41,2.2
2017,64498,3685,40,46,1.3
2020,62087,10733,30,39,3.1
2012,206527,2500,13,21,5.0
2023,13777,18973,44,49,1.6
2014,155911,2500,35,42,2.2
2013,176177,2500,35,41,2.9
2009,171173,2500,43,50,1.3
2012,185102,3466,35,41,2.5
2016,122772,4338,40,46,1.5
2020,69761,9770,35,42,2.5
2017,134094,2500,41,50,1.3
2017,95483,2500,40,43,1.6
2021,47551,14440,35,47,2.6
2011,240000,2500,31,38,2.5
2025,12865,22774,43,51,1.6
2014,48117,3698,33,36,2.1
2011,189990,2500,35,40,2.0
2010,240000,2500,21,27,3.3
2016,68616,6608,34,42,2.2
2017,62501,6731,37,43,1.6
2021,30329,14740,44,49,1.7
2020,72041,10328,38,46,2.4
2023,31554,21356,34,38,2.6
2014,158534,4453,28,35,3.7
2013,124861,4400,26,34,2.8
2015,100136,5922,27,34,3.4
2017,64505,2500,39,46,1.7
2012,240000,2500,31,37,2.3
2016,102247,7245,25,30,3.9
2009,188272,2500,38,43,1.7
2008,131691,2500,34,37,1.6
2021,35651,16889,34,40,2.8
2017,73895,7111,30,36,2.6
2018,73013,4872,34,40,1.9
2025,1000,29755,41,49,1.9
2011,166778,2500,26,33,3.0
2020,45480,10115,31,38,2.8
2013,119913,2500,37,42,1.5
2019,70724,8614,32,39,2.2
2023,16361,22215,36,40,2.5
2014,107966,2500,34,39,2.2
2017,101253,10486,24,29,4.1
2021,61322,13105,36,44,2.1
2013,106098,3417,32,39,2.5
2016,97397,5296,35,41,1.9
2013,166599,2500,34,39,2.3
2025,1000,47400,22,32,4.5
2011,151682,2500,38,44,1.8
2015,147288,4657,38,46,1.6
2011,151823,2821,27,32,3.1
2015,121488,3126,35,40,2.6
2021,32344,15150,37,43,2.4
2019,72451,7892,35,42,2.1
2015,170166,2718,39,46,1.7
2024,7374,20842,38,44,1.8
2020,60435,6142,41,46,1.7
2013,150886,2960,39,43,1.6
2021,61851,19154,27,34,4.1
2010,142969,2500,36,42,1.6
2016,126299,4387,41,47,1.6
2015,134541,3610,29,40,4.0
2023,19123,17859,42,47,1.6
2019,78491,9471,43,52,1.8
2019,85557,6251,45,50,1.7
2013,89563,2500,42,50,1.8
2017,53313,8939,31,37,3.2
2017,210725,2500,37,44,1.8
2012,209550,2500,36,39,1.8
2021,39467,13788,35,42,2.5
2010,141441,2500,38,45,1.5
2021,30251,13290,37,43,2.4
2015,142661,3200,30,34,2.7
2007,240000,2500,39,47,1.4
2011,132779,2500,34,40,2.7
2017,44849,5358,40,47,1.4
2018,105318,8101,37,45,1.5
2018,161771,5094,29,36,3.1
2017,108009,5222,36,46,2.5
2012,163530,3713,26,31,3.1
2016,71536,5208,29,38,3.2
2011,147577,2500,33,37,1.9
2012,181031,2500,33,38,2.7
2015,97839,4265,31,37,2.7
2015,103796,3279,38,43,1.9
2014,143202,2500,40,46,1.8
2018,85435,5508,33,38,2.5
2014,153887,5081,35,40,1.8
2019,113972,6707,44,50,1.6
2014,64161,2500,39,46,1.7
2020,75252,8822,37,45,2.4
2013,154293,2500,21,27,3.8
2020,90710,8501,35,43,1.8
2016,82824,6734,32,38,2.8
2014,125874,2500,34,41,1.6
2016,158113,2500,39,45,1.8
2016,88061,6009,27,33,3.3
2011,240000,2500,37,43,1.7
2019,69974,9338,36,42,1.9
2017,136184,4289,31,38,2.7
2013,58634,2500,34,41,2.1
2014,61767,2698,30,36,2.8
2011,240000,2500,32,38,2.1
2020,57405,13807,30,34,3.6
2019,113379,8371,34,42,2.4
2017,161647,3937,32,37,3.1
2017,82756,6070,34,41,1.9
2012,214740,4015,31,38,2.5
2011,208382,2500,32,40,1.7
2021,84857,11922,34,39,2.8
2018,69114,5887,40,45,1.8
2016,130924,3087,34,40,2.2
2019,48025,11311,24,31,3.9
2018,78811,4924,37,42,1.5
2015,114847,5184,32,38,2.6
2023,13707,18277,40,47,1.8
2015,114145,2874,32,38,2.6
2009,146323,2500,33,40,2.2
2023,28859,26490,24,29,3.9
2009,137721,2500,26,34,3.4
2010,240000,2500,40,44,1.4
2016,78504,6541,40,46,1.5
2020,60510,9050,36,43,2.2
2007,136409,2500,24,30,2.9
2019,93438,8739,36,43,2.6
2017,113768,2881,39,48,1.8
2020,33110,10348,40,46,1.6
2013,133924,2500,37,43,1.3
2012,224133,2791,25,28,3.2
2020,88271,10118,33,36,3.0
2016,45939,5212,25,30,3.1
2014,135420,3509,32,38,2.2
2008,184584,3487,21,29,3.6
2023,30872,22509,38,45,2.4
2014,156715,3959,35,42,2.2
2018,137962,3437,37,41,2.1
2011,209853,2500,31,38,2.7
2014,67587,5147,35,42,2.2
2017,187961,2503,40,44,2.4
2016,32771,6488,34,42,2.1
2008,138371,2500,30,35,2.8
2013,115048,2500,38,42,1.4
2014,133527,2500,35,47,2.7
2017,102270,4694,30,36,2.5
2019,91190,2974,39,46,2.0
2009,163884,3872,34,39,2.5
2016,113761,2500,33,41,1.6
2008,191384,2500,34,40,2.6
2020,63367,9248,34,41,2.8
2021,23776,13923,33,40,2.6
2012,184249,2500,36,41,1.9
2018,130202,6025,32,39,3.0
2022,24389,15078,37,42,1.2
2006,131170,2500,25,31,3.2
2020,76758,11204,33,39,2.8
2014,111422,2500,37,42,1.9
2017,114693,5648,34,38,2.8
2019,40826,12758,29,35,3.4
2010,141608,2500,37,42,1.7
2017,69854,3307,35,40,1.6
2011,240000,2500,37,42,1.7
2009,173424,2500,31,39,2.0
2016,85660,5587,41,46,1.5
2013,77411,2500,35,45,2.4
2014,186298,3627,38,46,1.5
2015,110451,2500,35,44,2.0
2010,112951,2500,39,44,1.6
2017,84739,2500,37,42,1.9
2024,10136,28998,31,38,2.6
2016,121435,2500,42,50,1.7
2015,108231,3266,35,40,2.0
2014,118508,4158,32,39,2.7
2016,83857,3270,22,30,4.1
2014,119826,4226,24,32,3.3
2025,1000,33759,34,40,2.7
2009,175543,2500,36,42,2.1
2014,73045,2500,35,42,2.3
2014,137649,2500,36,42,2.5
2012,103734,3889,36,43,1.4
2025,1000,36705,31,38,3.0
2017,93756,5322,38,44,1.7
2012,162292,2500,34,44,1.7
2020,51288,9129,36,40,1.9
2020,108160,7777,40,46,1.8
2016,59290,2500,38,42,1.5
2011,136145,3695,26,33,3.3
2016,91828,4974,29,37,3.3
2017,116191,2500,40,45,1.4
2012,230697,2500,34,43,2.2
2016,143048,2500,37,46,2.5
2019,34918,9072,38,41,1.7
2014,68697,4920,34,40,2.4
2017,137536,6325,26,36,3.7
2018,204419,2500,35,42,2.5
2018,100381,7002,35,42,2.5
2019,81865,5958,34,42,1.9
2019,68124,10724,35,42,2.5
2020,43059,8806,38,44,1.9
2014,102728,2500,42,47,1.5
2016,127570,5073,31,40,3.3
2012,109817,2500,34,42,2.4
2008,240000,2500,23,29,3.7
2021,24681,17291,35,43,3.0
2025,1000,27360,40,46,1.7
2014,177430,2500,36,43,2.0
2021,63716,10796,38,48,2.1
2020,105107,9906,40,44,1.8
2013,205673,2500,28,34,3.2
2008,185166,2500,36,43,1.8
2005,240000,2500,34,39,2.2
2015,142892,4750,28,34,3.3
2019,72254,7219,36,42,2.2
2023,40047,18482,36,43,2.6
2015,87069,3525,30,37,2.3
2014,74212,3346,40,49,1.5
2021,45253,14000,32,37,3.0
2006,224564,2500,26,30,3.1
2015,188059,2500,24,33,3.9
2009,240000,2500,32,38,2.3
2005,182354,2500,34,41,1.4
2012,168829,2754,30,32,2.8
2013,110553,2500,34,41,1.7
2013,237906,2500,38,45,1.5
2015,83128,3370,34,42,1.5
2019,82981,8377,34,41,2.8
2017,143742,4350,32,38,2.7
2015,139773,5843,34,41,2.0
2012,125158,2500,34,41,2.7
2021,65926,13546,36,43,2.3
2017,107572,7010,31,37,2.5
2018,34645,7760,31,35,2.5
2007,240000,2500,28,35,2.8
2021,39548,12803,41,46,1.3
2023,30991,19610,40,47,2.2
2018,83367,9320,24,32,4.1
2016,117416,2500,36,42,1.9
2009,240000,2500,30,37,2.5
2012,230045,3087,22,28,3.7
2010,94572,2500,31,38,2.5
2023,2517,19295,40,43,1.6
2018,107075,4261,34,43,2.1
2018,39872,8602,40,46,1.5
2019,36627,12284,29,38,2.8
2023,29909,17809,41,49,1.8
2015,55771,7845,27,33,2.5
2025,4222,27671,44,50,1.5
2017,47783,7069,39,46,1.9
2014,87816,2500,35,43,1.8
2020,67935,11728,43,48,2.1
2016,138811,3097,26,32,3.4
2017,84458,3257,40,49,1.5
2016,63949,5767,25,35,3.4
2016,92406,7906,28,31,3.3
2019,87046,8635,31,37,2.9
2017,95907,2500,40,48,1.3
2014,182399,2500,37,44,1.6
2014,167470,2500,35,43,2.1
2023,31251,17181,40,48,1.9
2011,140813,3579,41,49,1.2
2014,113653,2500,40,47,1.6
2017,98677,2500,39,44,1.9
2015,193131,2500,36,43,2.4
2017,186450,2925,42,45,1.5
2016,125026,5226,38,45,1.8
2016,126580,4276,37,43,1.8
2016,122793,4959,42,50,1.4
2012,163801,4197,31,38,2.4
2014,180356,2500,39,49,1.8
2014,125821,4053,28,34,3.4
2006,229610,2500,37,46,1.4
2020,27220,11944,34,39,2.3
2021,56897,12038,35,43,2.0
2023,16019,21688,36,44,2.8
2011,127901,2500,34,40,2.2
2021,32140,14095,33,37,2.5
2008,109079,2500,32,38,2.3
2013,80903,2500,35,41,1.6
2006,175839,2500,33,39,2.6
2013,86175,2500,34,39,1.8
2016,135771,4580,29,35,3.5
2024,9043,25270,41,48,1.9
2017,137800,2500,43,49,1.2
2013,123249,2545,34,40,1.7
2025,1000,34348,35,43,2.6
2020,57545,13204,29,37,3.7
2014,142564,2500,33,41,2.0
2018,42560,8103,38,44,2.2
2014,198187,2500,40,44,1.7
2025,1000,29038,42,50,1.9
2019,57792,8116,37,42,2.6
2013,156053,2523,29,32,3.2
2016,65717,5063,38,44,1.5
2015,115513,2500,35,42,2.0
2021,47480,9879,42,48,1.4
2012,171825,2500,35,38,2.0
2017,91059,4979,40,45,1.6
2007,240000,2500,32,38,2.1
2013,126939,2500,38,46,1.6
2010,240000,2500,35,43,1.7
2014,198862,4027,31,39,2.7
2023,54080,21124,34,42,2.8
2010,188434,2500,31,37,2.1
2017,98810,5421,41,46,1.7
2011,150084,2500,39,47,1.5
2011,109825,2731,37,41,1.5
2022,31120,18977,34,40,2.4
2021,34792,14687,36,44,1.7
2015,56390,2500,31,38,2.6
2015,105990,3996,35,41,1.6
2017,100421,2500,43,51,1.3
2019,42638,5979,40,46,1.7
2021,55410,14490,34,39,2.3
2009,169748,2500,34,40,1.6
2017,106661,4666,39,48,1.5
2023,22538,17447,41,47,2.2
2010,213944,2500,36,44,1.7
2014,109406,3736,28,34,3.0
2012,144486,3064,35,41,1.8
2013,229364,2500,39,44,1.3
2013,129607,4026,37,43,1.7
2016,72587,3812,27,36,3.1
2015,173819,3899,39,44,1.4
2017,132718,2500,34,42,2.3
2011,100826,2500,39,44,1.8
2019,56167,7531,41,45,1.4
2017,86634,4116,35,41,1.9
2020,93270,7633,36,42,2.2
2022,47169,14519,38,45,2.0
2014,161511,2500,22,27,4.3
2022,24549,16762,37,44,1.9
2015,153549,2500,32,37,2.8
2016,77146,4426,29,37,2.8
2021,48180,13412,35,41,2.4
2015,133666,3054,27,33,2.8
2018,110601,5557,38,45,1.6
2014,99004,4045,36,44,2.0
2021,40853,8319,41,49,1.7
2016,190514,2988,31,39,2.9
2015,104520,4412,36,40,2.1
2009,235239,2500,38,45,1.9
2016,112527,4071,40,47,1.3
2020,50530,10287,42,49,1.9
2009,236949,2500,29,36,2.9
2017,149415,4599,39,43,1.5
2017,96291,4982,38,42,1.7
2015,53809,4818,37,42,1.8
2015,126151,2500,36,40,1.6
2017,62436,7158,38,42,1.4
2018,183133,2500,41,48,1.6
2021,70050,14289,38,43,2.7
2022,10913,18667,35,41,2.6
2017,97210,5734,32,38,2.8
2011,103352,2500,34,41,2.0
2018,119027,6773,35,44,2.5
2015,102943,8120,28,35,3.8
2014,110618,3558,23,28,3.6
2020,47010,7873,46,52,1.3
2019,86661,8892,35,41,1.6
2013,134473,2500,32,37,2.6
2020,105709,6949,38,44,2.0
2016,116650,3036,34,41,2.7
2014,162406,3524,29,36,2.6
2014,177331,2500,35,39,2.1
2018,157058,4449,38,44,1.5
2015,111625,2500,33,39,2.6
2016,84539,2500,36,44,2.7
2014,82989,2500,36,40,1.8
2012,192461,2500,33,40,2.0
2016,118888,4274,31,40,2.6
2024,22278,27877,35,42,2.8
2017,92696,2869,33,40,2.3
2015,104235,2500,42,47,1.5
2019,54684,8334,40,47,1.9
2011,168922,2500,35,42,2.7
2008,133767,2500,26,32,2.8
2014,187157,3263,35,42,1.9
2021,67262,15748,34,42,2.7
2016,164952,2500,38,44,2.0
2019,80259,6029,40,45,1.7
2025,4717,28019,41,47,1.5
2018,136133,4984,40,46,1.9
2019,63918,9506,34,41,1.9
2020,67160,10975,41,48,1.6
2019,62323,12110,29,33,3.1
2019,76539,7445,39,46,1.7
2013,161275,2500,38,41,1.8
2010,178181,2786,38,42,1.6
2019,58301,8637,35,43,2.5
2008,220547,2500,34,38,2.5
2018,111460,5112,35,40,2.4
2017,92315,3082,33,43,2.7
2011,151346,2500,30,33,2.8
2015,185824,2500,36,43,2.2
2013,110562,2500,37,44,2.1
2014,134619,4374,38,42,1.6
2021,68307,10507,37,41,2.3
2012,118300,3566,37,43,1.5
2013,101878,3530,32,37,2.7
2014,151072,3734,31,38,2.6
2019,91808,8894,28,31,2.8
2012,78738,3461,29,37,2.7
2008,223655,2500,32,42,2.2
2020,91255,6799,43,49,1.5
2017,120186,5638,31,37,2.4
2019,66901,5947,36,44,2.3
2020,54466,11913,37,44,2.5
2010,105174,2500,22,26,3.5
2010,100630,2500,27,34,2.9
2018,191734,5491,41,46,1.8
2015,240000,2500,35,43,2.0
2020,84104,7657,38,44,1.9
2015,141350,2500,32,38,2.7
2025,1000,32178,35,42,2.2
2009,200693,2500,34,41,1.9
2011,149252,2500,31,39,2.6
2023,37814,22213,36,40,2.8
2020,37993,8730,39,47,1.6
2011,240000,2500,32,36,2.8
2012,178633,2500,22,28,4.3
2018,53264,4177,40,49,1.6
2018,95138,4930,40,45,1.7
2019,90854,8008,34,43,2.5
2014,119712,2500,31,41,3.1
2020,35154,11674,36,40,2.8
2022,42640,13325,35,44,1.9
2012,240000,2500,35,40,1.4
2013,116955,2500,29,38,2.8
2019,36016,5961,38,47,1.7
2009,146492,2500,22,29,3.3
2021,65563,14164,30,36,3.1
2020,59464,8774,36,42,2.4
2008,190241,2500,37,45,1.5
2016,182296,2500,38,43,1.9
2014,102430,3569,33,40,3.0
2017,79789,6845,40,48,1.9
2020,34226,8674,39,48,1.8
2018,109247,8829,33,40,2.9
2018,101320,5354,41,50,1.5
2025,2248,32699,35,42,2.3
2017,101395,5927,36,42,1.7
2011,240000,2500,24,29,4.0
2011,240000,2500,34,40,1.6
2013,123766,2500,36,44,2.1
2014,101666,2500,34,42,2.5
2014,144828,2500,36,43,1.7
2021,31352,14537,35,40,2.4
2018,98871,3924,42,50,1.5
2023,34333,19525,38,44,2.6
2015,122286,2500,35,41,1.8
2023,35020,17334,40,46,1.8
2014,161174,3091,35,42,2.1
2012,156679,2500,33,39,2.2
2007,151068,2500,33,37,1.7
2009,240000,2500,36,44,1.8
2014,149010,2500,23,29,3.9
2018,60023,8989,24,28,3.5
2020,48893,9043,35,41,1.9
2020,57486,13485,31,36,3.5
2017,148632,3213,35,43,2.3
2014,75396,4190,36,43,2.1
2010,212664,2500,28,33,3.0
2013,142187,2500,39,45,1.7
2023,22054,23863,34,38,2.7
2018,216758,3174,26,33,3.7
2006,189405,2500,28,35,2.6
2017,92422,3808,36,44,2.7
