ID,Age_years,Duration_min,Distance_km,AvgSpeed_kmh,Elevation_gain_m,Rider_weight_kg,Battery_drop_percent
ZT,38,43.85,15.408,21.66,27.2,59.2,53.5
MW,39,37.19,11.874,19.57,44.6,79.0,44.0
MM,49,17.8,5.675,19.71,21.7,81.5,25.4
WJ,47,25.94,6.269,14.14,12.0,79.3,26.7
UA,29,24.81,11.839,28.0,4.4,72.1,42.8
AG,60,25.73,6.316,14.19,23.2,95.8,28.2
KD,19,35.6,11.454,18.43,91.6,68.5,49.4
TO,27,29.88,8.115,16.62,11.0,74.2,26.9
TW,29,34.65,11.165,20.99,77.3,75.1,42.0
TT,16,15.35,6.773,23.94,11.4,58.5,24.2
GP,22,23.1,8.49,21.83,13.6,74.8,31.4
UV,36,22.03,7.438,20.4,23.7,74.0,28.2
OT,58,14.64,4.312,18.03,9.2,87.3,16.9
AB,53,16.61,4.337,17.0,22.2,87.6,21.8
JM,35,23.27,7.009,17.51,34.4,68.9,28.2
YR,42,29.78,9.722,19.36,8.3,77.0,35.4
FE,16,31.72,9.565,18.25,37.5,75.0,35.7
YP,38,22.14,7.032,18.61,31.2,70.2,24.2
TE,52,29.91,9.242,19.14,30.7,80.9,34.2
JY,23,31.37,10.812,19.43,35.2,76.7,37.6
DB,47,11.4,3.823,20.86,72.4,75.4,14.3
CB,19,21.2,10.246,28.0,13.1,81.6,33.4
EW,34,15.12,4.588,18.92,22.5,64.1,23.5
LQ,35,22.98,6.996,16.41,51.7,67.3,36.9
MN,40,26.48,9.74,22.44,48.6,83.0,36.4
UT,40,25.27,8.497,20.96,44.4,82.9,34.5
BN,52,22.97,9.083,23.83,21.2,77.1,33.9
ZT,44,32.16,8.977,17.63,36.1,80.0,34.6
CF,34,22.32,5.829,15.74,21.0,81.9,23.2
OK,31,27.05,10.053,23.52,9.1,75.5,35.1
BU,22,36.09,11.227,18.67,6.4,74.8,38.3
EW,28,30.31,10.165,20.26,5.0,77.7,34.8
PT,16,23.12,7.573,19.57,3.1,66.6,19.1
KS,16,32.79,14.666,27.34,25.0,75.2,57.1
BP,42,29.45,10.144,23.22,3.6,77.4,43.0
NC,41,31.5,9.475,17.54,27.1,84.9,30.1
FW,42,25.07,6.268,14.34,25.2,75.4,29.9
GQ,27,20.39,7.552,22.77,12.0,72.2,37.4
EG,39,27.99,9.846,20.65,61.2,84.9,34.2
XC,16,32.13,12.976,22.23,51.9,61.0,46.4
MX,44,25.88,8.824,19.87,66.8,75.8,41.9
QF,42,14.84,4.035,16.08,30.8,74.5,22.4
IT,51,21.66,7.457,20.52,30.3,89.2,25.9
ZG,38,31.91,12.03,23.33,17.3,87.3,43.4
TE,36,27.36,8.459,18.36,17.6,78.6,40.9
LS,18,28.87,13.087,28.0,47.0,73.0,47.0
DI,50,20.54,3.918,11.4,1.7,89.0,16.5
VR,36,19.18,6.496,21.11,7.7,70.0,29.7
ZC,28,28.19,12.301,24.72,5.8,66.9,54.1
RW,38,35.01,13.601,22.15,8.4,81.2,49.0
NQ,53,35.9,11.087,18.52,14.0,98.7,32.6
NH,64,16.88,5.268,18.43,22.4,88.9,28.0
EA,35,37.83,10.588,15.73,8.7,68.1,37.5
SE,19,34.48,11.167,19.43,22.3,55.6,40.5
GF,32,9.95,2.652,15.67,15.9,83.1,14.7
IU,37,23.54,7.636,19.38,51.0,66.4,27.4
FD,34,27.29,9.294,20.85,27.7,71.6,37.6
JL,42,29.1,8.354,17.22,37.8,71.2,36.5
TW,35,41.51,12.903,18.26,26.8,73.8,51.6
VR,35,35.71,14.543,24.38,29.4,95.2,61.4
KP,48,20.05,6.325,19.94,8.2,88.5,25.7
OM,17,26.98,10.273,23.25,11.0,55.5,41.4
FT,39,18.73,4.637,15.52,24.6,60.2,11.1
EB,47,12.63,3.779,17.81,25.8,77.7,23.0
YE,31,34.61,11.853,21.19,28.6,67.3,48.2
VO,35,27.54,10.196,22.92,15.1,79.9,42.2
IR,45,36.01,8.797,14.24,24.8,86.9,27.7
HS,59,21.65,7.838,20.48,26.3,87.7,29.9
JT,16,33.36,11.449,21.09,9.8,75.4,50.4
VB,42,32.22,8.919,15.18,34.1,84.5,40.8
JM,37,26.62,7.497,16.64,6.0,75.4,27.2
TM,16,29.36,10.55,21.44,32.9,69.0,38.0
ML,38,25.84,7.952,17.88,49.9,65.8,30.2
IN,21,18.61,7.253,24.04,17.8,80.6,27.3
BT,60,25.03,5.236,12.52,32.1,93.4,16.2
OD,55,30.86,7.479,15.45,35.3,75.6,31.8
QW,17,16.59,6.39,24.49,19.7,60.9,23.8
DT,43,14.51,4.125,17.57,15.8,74.6,17.6
JT,22,33.85,15.219,27.04,20.7,71.1,52.8
QM,30,24.47,8.291,20.58,17.9,59.2,25.8
VK,44,33.81,11.592,20.69,11.0,59.4,44.2
HY,34,23.89,6.558,17.52,4.2,60.4,21.6
ET,34,39.6,10.02,16.05,10.9,66.8,36.1
DA,16,33.24,13.493,22.59,3.5,57.5,53.4
VM,16,25.82,10.751,25.62,9.5,82.0,37.9
CG,16,16.71,5.258,18.81,63.8,78.5,17.6
RR,37,23.05,9.077,21.97,74.2,81.0,34.3
OD,41,31.62,10.021,19.55,39.4,70.2,36.0
BK,35,37.36,15.989,27.97,56.6,72.0,56.5
RE,37,27.52,8.105,17.5,24.3,80.8,28.1
NR,23,22.8,9.881,27.4,17.2,88.4,36.5
TP,42,17.77,4.772,15.58,16.4,69.7,19.2
CH,46,28.96,8.496,17.94,38.2,77.1,34.6
PD,27,37.9,9.994,15.6,61.4,70.0,44.0
LM,35,34.17,9.779,16.25,6.7,83.2,36.2
HB,51,30.63,10.957,21.31,3.3,87.3,34.2
CF,20,28.75,9.922,21.73,29.5,65.3,39.0
RV,25,34.45,10.26,16.7,13.2,74.8,37.2
YK,36,12.95,4.478,20.47,13.4,79.1,13.7
FH,30,21.46,7.321,21.51,31.4,73.3,27.9
PH,18,34.29,8.27,14.17,16.7,72.3,30.9
UQ,31,38.64,11.522,18.74,17.7,75.5,43.0
PG,30,25.93,9.422,21.27,2.5,66.5,34.5
ZQ,40,24.84,8.231,19.54,25.1,80.5,29.4
BH,47,26.86,7.679,17.34,26.1,76.5,31.5
DT,16,30.18,10.596,20.06,10.1,72.7,41.9
FU,21,35.08,9.237,15.42,13.0,64.2,31.6
ZW,50,31.07,7.619,15.3,14.6,82.0,30.6
TD,32,28.95,10.421,21.29,61.1,68.6,49.0
JW,29,28.77,12.227,25.52,11.9,68.6,41.0
OX,25,39.19,15.174,24.11,10.7,73.9,51.7
LL,41,21.04,4.95,14.11,17.0,68.3,19.6
OE,23,32.45,12.481,25.02,21.1,58.6,42.7
WF,40,29.17,12.298,25.66,51.1,92.2,42.7
BK,29,34.0,14.328,27.27,12.1,82.1,52.4
SK,30,28.38,9.851,21.08,10.6,73.4,35.5
RG,20,32.0,14.658,26.44,17.5,63.7,62.7
NQ,46,27.7,6.447,13.89,36.1,81.4,25.0
ZV,48,34.47,10.726,19.94,7.5,76.1,38.4
MM,22,25.32,10.122,24.3,32.3,73.0,35.7
RD,38,20.57,6.581,18.81,57.1,75.2,27.8
WH,73,29.36,7.614,15.92,30.3,93.8,22.7
HO,23,35.03,12.839,22.77,18.4,67.4,47.9
ZI,26,16.49,5.745,20.96,17.1,77.7,22.8
FZ,41,17.42,4.462,15.27,21.7,71.9,19.3
ZL,18,32.56,12.092,21.84,14.1,55.4,45.4
BJ,39,26.07,8.597,19.97,15.8,68.0,29.6
SC,47,32.8,10.153,19.18,59.6,67.4,44.6
AJ,45,14.85,5.508,20.53,45.9,76.3,22.7
GM,33,25.13,8.435,20.02,6.4,72.8,34.7
OB,36,28.83,11.602,23.68,15.6,73.6,41.5
BH,34,24.43,7.255,16.87,7.0,66.9,32.1
JD,37,37.05,10.011,17.45,40.8,82.9,41.2
PS,32,18.99,5.91,18.94,11.3,70.5,15.4
SW,29,22.19,7.838,21.97,40.3,72.1,31.7
UI,55,32.88,9.975,18.37,39.5,82.2,34.2
TC,34,11.31,2.649,13.79,22.5,64.9,18.0
PV,16,27.63,10.706,21.48,9.9,76.3,37.8
QJ,33,26.52,7.43,17.11,5.6,63.8,28.2
ZT,36,22.45,7.968,19.76,4.3,61.7,31.2
YX,47,23.55,5.601,14.31,21.0,75.4,22.5
OJ,25,28.19,11.444,23.27,3.6,66.5,37.8
RN,23,12.32,5.15,23.57,26.5,62.0,21.1
AK,32,26.49,7.386,16.59,81.7,55.2,20.1
NR,43,25.04,6.86,15.69,54.5,83.6,29.8
IL,39,18.76,5.063,16.27,9.2,84.7,17.7
CW,25,24.93,9.211,22.41,18.0,64.0,32.3
RT,40,32.84,11.013,20.21,28.8,72.6,34.6
OF,25,29.24,8.208,17.2,17.2,79.6,36.5
SD,16,24.41,10.637,27.33,40.9,71.8,41.6
DW,19,35.87,14.065,24.06,17.9,57.9,51.6
MS,35,38.39,14.419,22.33,0.5,63.4,47.3
QW,25,23.58,8.081,21.24,31.9,66.1,33.0
UW,40,21.77,5.907,16.34,37.5,72.6,20.9
BM,28,24.64,8.366,20.79,33.1,76.2,24.3
IN,34,24.99,7.739,18.76,83.2,80.1,34.5
UW,22,27.41,9.696,19.51,30.6,62.5,32.4
AE,46,34.67,8.521,14.2,14.7,56.2,35.8
RW,35,33.18,9.777,18.72,1.8,60.8,33.1
BU,51,21.9,4.552,12.68,9.6,88.0,18.8
XP,44,28.8,11.966,24.37,10.7,93.6,42.2
JP,32,22.53,7.176,19.17,9.2,73.5,27.7
SE,44,31.07,8.422,16.38,18.4,76.8,31.1
OA,27,17.3,6.759,21.84,11.0,61.9,25.2
IM,31,20.11,7.619,24.03,39.6,70.6,32.1
TE,29,26.43,9.645,21.75,15.9,62.6,31.1
CS,16,18.48,7.075,21.95,12.3,57.4,25.5
EP,19,43.15,12.784,18.56,10.1,69.1,47.0
FU,40,27.21,9.993,22.7,5.5,98.6,43.0
OB,29,22.38,10.451,28.0,58.4,63.5,41.6
BF,38,31.23,10.172,19.41,17.7,65.7,38.3
KB,19,27.18,11.554,23.7,28.1,65.1,43.0
CR,37,24.75,9.077,21.1,25.2,66.3,33.9
XF,41,38.06,10.294,16.17,39.7,77.5,36.0
ME,29,31.72,10.861,20.35,8.2,74.1,35.7
BT,41,28.84,9.687,20.27,56.6,80.5,35.8
BK,37,23.03,7.295,18.7,37.8,77.0,22.7
PJ,35,25.72,7.036,17.5,5.6,76.7,25.2
FO,24,30.88,10.926,22.95,9.6,68.6,28.6
VQ,62,27.96,6.329,13.99,32.4,86.6,33.3
YR,29,31.95,11.638,22.04,18.0,81.1,38.8
PP,42,29.48,9.231,18.89,25.1,73.2,37.3
RX,30,37.39,13.465,20.93,30.8,77.3,53.1
WC,23,18.6,6.631,21.72,14.0,63.1,23.6
HD,34,36.47,9.921,17.18,25.0,87.0,41.5
SM,57,32.89,7.707,13.75,17.7,79.6,28.4
XA,27,38.75,14.615,21.23,20.1,69.5,50.3
OB,51,27.95,6.847,13.23,21.8,74.5,28.2
BT,40,33.3,10.659,18.99,24.4,74.9,45.5
KR,30,30.37,9.966,19.89,10.7,66.3,36.9
NG,40,38.84,15.798,25.16,20.1,69.4,57.9
JW,34,22.02,8.241,23.46,18.1,85.1,36.5
VO,34,26.38,9.927,22.04,39.4,66.8,36.1
TP,38,19.29,6.717,21.26,23.3,79.9,27.1
JB,39,27.43,7.064,15.78,9.0,82.4,23.6
