Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned
32.61,46.15,1.9,193.01,143.34,50.01,1.45,1920.38
22.99,59.04,1.78,185.32,141.02,58.07,1.67,2386.26
32.36,84.33,1.74,195.34,126.35,63.02,1.46,962.72
29.82,121.23,2.0,179.01,160.07,59.86,1.25,903.0
33.47,64.49,1.63,185.92,120.19,73.86,1.57,2245.1
32.93,74.13,1.76,191.96,145.33,65.93,1.15,827.31
53.67,46.13,1.5,174.91,164.61,58.11,1.38,914.11
46.07,59.73,1.65,174.88,136.88,69.02,1.67,2386.26
38.86,59.33,1.83,169.98,153.8,58.86,1.35,1296.0
18.82,48.82,1.52,186.2,135.4,55.77,0.96,634.18
36.06,59.59,1.78,183.59,120.98,60.04,0.84,553.39
55.19,70.54,1.62,166.23,161.88,68.09,0.53,640.13
55.16,86.69,1.77,175.7,156.61,61.14,0.99,951.19
58.37,51.69,1.79,173.29,169.08,51.91,1.12,1352.74
51.01,48.81,1.77,198.94,154.38,74.07,1.48,975.91
22.25,61.76,1.52,169.24,166.3,60.84,1.83,2144.39
49.35,55.38,1.6,196.04,139.78,60.96,1.89,2696.46
56.94,122.07,1.88,165.08,134.27,57.88,1.12,986.5
23.04,79.31,1.73,192.04,155.64,56.06,1.46,1925.59
38.73,61.49,1.66,162.35,166.55,62.94,0.93,921.54
59.07,41.14,1.65,171.94,131.47,59.19,1.23,811.06
50.87,49.82,1.61,190.29,129.24,55.05,1.36,896.78
39.92,57.36,1.71,168.08,142.9,60.98,1.87,1457.48
32.99,46.09,1.89,193.06,144.39,50.03,1.45,1044.0
57.41,108.85,1.91,198.0,155.8,55.93,1.5,1983.3
57.39,75.84,1.67,185.93,152.89,65.16,1.05,1007.16
50.06,56.07,1.6,195.96,139.98,60.78,1.88,1467.53
39.67,76.94,1.92,178.78,137.0,67.91,1.13,811.57
23.37,60.61,1.59,190.69,123.29,52.1,1.8,2570.04
47.27,97.6,1.9,199.08,147.73,63.97,0.75,741.15
49.94,51.05,1.69,161.86,156.53,60.02,1.32,870.41
48.16,128.37,1.61,192.92,166.93,62.04,1.06,1144.8
40.98,44.1,1.77,182.1,165.05,58.15,1.19,1175.96
45.22,52.36,1.88,194.12,153.28,71.1,1.07,1413.58
19.8,76.05,1.77,197.08,132.99,52.97,1.42,1532.32
35.68,47.75,1.68,193.81,143.69,56.07,1.22,1075.55
38.96,101.99,1.94,192.17,133.24,50.11,0.89,587.4
31.94,86.24,1.6,176.08,144.92,60.21,2.0,2851.2
22.09,70.57,1.77,196.97,158.01,56.07,1.5,1317.6
30.51,77.23,1.77,166.11,129.93,61.91,1.41,1016.89
42.19,45.09,1.6,165.88,163.22,64.05,1.32,1268.26
41.42,81.32,1.87,166.85,128.54,58.93,1.87,2669.99
52.04,105.02,1.99,186.99,130.03,67.03,0.93,817.66
36.73,73.46,1.76,191.76,121.48,52.01,1.22,879.13
38.95,58.99,1.93,165.11,135.71,57.95,1.35,1456.78
22.85,86.85,1.91,163.79,129.08,58.0,1.88,1465.27
21.15,89.27,1.6,198.13,121.48,66.95,1.71,1779.77
42.05,57.48,1.57,166.99,122.14,52.26,1.83,1427.4
44.91,59.04,1.51,169.22,142.49,64.93,1.15,1243.04
51.77,86.0,1.8,190.0,136.18,66.07,1.7,1985.94
36.56,76.44,1.77,179.89,128.08,56.93,1.36,1793.7
31.07,53.08,1.76,171.81,132.59,69.19,1.21,1161.6
45.59,108.62,1.64,184.96,169.39,62.89,1.4,1386.0
52.8,94.04,1.95,177.02,138.02,50.06,0.88,1065.77
29.92,60.26,1.55,171.71,119.26,51.96,1.3,1716.0
20.72,100.38,1.84,181.11,131.63,49.99,1.31,1298.08
28.6,87.41,1.86,176.86,123.28,71.98,1.52,1579.58
31.96,84.31,1.74,195.18,127.09,63.22,1.45,1436.8
30.87,48.74,1.51,194.68,130.93,60.18,1.47,1292.42
26.16,110.74,1.9,191.05,167.32,56.67,1.03,1018.77
31.98,84.22,1.74,194.87,127.31,63.1,1.45,1754.5
23.26,44.19,1.62,195.85,122.12,57.93,0.57,689.07
49.23,70.3,1.67,185.98,165.71,49.7,0.94,1137.4
28.28,85.11,1.79,181.98,138.64,54.73,1.35,1777.54
21.93,61.58,1.52,169.11,166.09,60.95,1.83,2144.39
25.34,40.94,1.67,185.72,138.49,71.33,1.02,733.79
50.67,48.56,1.77,198.76,154.91,74.08,1.47,1293.6
22.79,57.48,1.71,179.23,148.8,57.88,1.14,820.8
49.15,60.97,1.87,180.17,130.61,61.04,1.15,826.62
46.31,109.01,1.64,184.81,169.21,62.7,1.4,1234.24
23.07,116.79,1.79,178.26,127.23,68.9,1.0,957.6
51.09,48.78,1.77,198.81,154.9,73.94,1.46,961.85
