Hours Since Oct 2 2012,traffic_volume,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,holiday
131,2571,270.33,0,0,1,Clear,sky is clear,None
132,5563,269.61,0,0,20,Clouds,few clouds,None
133,6676,270.01,0,0,20,Clouds,few clouds,None
134,5966,271.23,0,0,20,Clouds,few clouds,None
135,4832,273.71,0,0,20,Clouds,few clouds,None
136,4395,276.77,0,0,20,Clouds,few clouds,None
137,4411,279.47,0,0,20,Clouds,few clouds,None
138,4648,279.84,0,0,1,Clear,sky is clear,None
139,4602,282.34,0,0,40,Clouds,scattered clouds,None
140,5125,282.94,0,0,40,Clouds,scattered clouds,None
141,5502,283.48,0,0,1,Clear,sky is clear,None
142,5979,284.33,0,0,1,Clear,sky is clear,None
143,5663,284.48,0,0,40,Clouds,scattered clouds,None
144,4259,284.23,0,0,40,Clouds,scattered clouds,None
145,3069,281.99,0,0,20,Clouds,few clouds,None
146,2378,279.81,0,0,1,Clear,sky is clear,None
147,2030,279.35,0,0,1,Clear,sky is clear,None
148,1400,278.9,0,0,1,Clear,sky is clear,None
149,917,278.46,0,0,1,Clear,sky is clear,None
150,515,277.78,0,0,1,Clear,sky is clear,None
151,302,277.27,0,0,1,Clear,sky is clear,None
152,251,277.47,0,0,1,Clear,sky is clear,None
153,798,276.97,0,0,20,Clouds,few clouds,None
154,2678,276.52,0,0,40,Clouds,scattered clouds,None
155,5733,276.6,0,0,40,Clouds,scattered clouds,None
156,6449,277.31,0,0,75,Clouds,broken clouds,None
157,5765,278.38,0,0,90,Clouds,overcast clouds,None
158,5599,279.35,0,0,90,Clouds,overcast clouds,None
159,4534,281.37,0,0,90,Clouds,overcast clouds,None
160,4691,283.11,0,0,90,Clouds,overcast clouds,None
161,5067,284.08,0,0,75,Clouds,broken clouds,None
162,5030,285.14,0,0,75,Clouds,broken clouds,None
163,5300,286.35,0,0,90,Clouds,overcast clouds,None
164,5777,287.23,0,0,100,Rain,light rain,None
165,6349,288.53,0,0,90,Clouds,overcast clouds,None
166,6127,290.37,0,0,90,Clouds,overcast clouds,None
167,4460,290.13,0,0,90,Clouds,overcast clouds,None
168,3418,288.86,0,0,75,Clouds,broken clouds,None
169,2775,287.36,0,0,90,Clouds,overcast clouds,None
170,2306,285.11,0,0,90,Clouds,overcast clouds,None
171,1846,283.46,0,0,90,Clouds,overcast clouds,None
172,947,282.45,0,0,90,Clouds,overcast clouds,None
173,494,281.88,0,0,90,Clouds,overcast clouds,None
174,332,281.78,0,0,90,Clouds,overcast clouds,None
175,261,281.09,0,0,75,Clouds,broken clouds,None
176,361,281.17,0,0,90,Clouds,overcast clouds,None
177,5875,281.25,0,0,92,Clear,sky is clear,None
178,6793,281.25,0,0,99,Rain,light rain,None
179,6793,281.25,0,0,99,Drizzle,light intensity drizzle,None
180,6283,280.1,0,0,99,Rain,light rain,None
181,6283,280.1,0,0,99,Drizzle,light intensity drizzle,None
182,5680,279.61,0,0,99,Rain,light rain,None
183,5680,279.61,0,0,99,Drizzle,light intensity drizzle,None
184,4632,279.67,0,0,99,Clear,sky is clear,None
185,4887,280.19,0,0,1,Clear,sky is clear,None
186,5030,282.09,0,0,75,Clouds,broken clouds,None
187,5067,282.26,0,0,75,Clouds,broken clouds,None
188,5227,282.05,0,0,90,Clouds,overcast clouds,None
189,5610,281.59,0,0,90,Clouds,overcast clouds,None
190,6286,281.23,0,0,81,Clear,sky is clear,None
191,4775,282.6,0,0,81,Clear,sky is clear,None
192,3340,282.6,0,0,81,Clear,sky is clear,None
193,3013,282.6,0,0,81,Clear,sky is clear,None
194,2603,282.6,0,0,81,Clear,sky is clear,None
195,1910,282.6,0,0,81,Clear,sky is clear,None
196,1037,282.6,0,0,81,Clear,sky is clear,None
197,347,273.9,0,0,1,Clear,sky is clear,None
198,350,274.4,0,0,75,Clouds,broken clouds,None
199,850,274.05,0,0,75,Clouds,broken clouds,None
200,2791,273.71,0,0,40,Clouds,scattered clouds,None
201,5809,272.66,0,0,1,Clear,sky is clear,None
202,6798,272.65,0,0,1,Clear,sky is clear,None
203,6304,272.52,0,0,1,Clear,sky is clear,None
204,5291,275.19,0,0,20,Clouds,few clouds,None
205,4638,275.34,0,0,1,Clear,sky is clear,None
206,5557,284.1,0,0,50,Clear,sky is clear,None
207,5818,284.1,0,0,50,Clear,sky is clear,None
208,6272,283.78,0,0,75,Clouds,broken clouds,None
209,5944,283.52,0,0,75,Clouds,broken clouds,None
210,4949,283.32,0,0,90,Clouds,overcast clouds,None
211,3511,282.06,0,0,90,Clouds,overcast clouds,None
212,3039,281.95,0,0,90,Clouds,overcast clouds,None
213,2679,281.81,0,0,90,Clouds,overcast clouds,None
214,2094,282.16,0,0,90,Clouds,overcast clouds,None
215,1284,282.53,0,0,90,Clouds,overcast clouds,None
216,630,283.91,0,0,90,Clouds,overcast clouds,None
217,410,284.64,0,0,90,Clouds,overcast clouds,None
218,331,284.61,0,0,90,Clouds,overcast clouds,None
219,372,283.18,0,0,72,Drizzle,light intensity drizzle,None
220,739,282.26,0,0,72,Rain,light rain,None
221,2561,280.77,0,0,72,Drizzle,light intensity drizzle,None
222,5586,278.53,0,0,75,Clouds,broken clouds,None
223,6992,277.64,0,0,75,Clouds,broken clouds,None
224,5860,277.9,0,0,90,Clouds,overcast clouds,None
225,5230,278.18,0,0,90,Clouds,overcast clouds,None
226,4864,279.29,0,0,75,Clouds,broken clouds,None
227,5146,280.45,0,0,75,Clouds,broken clouds,None
228,5526,280.95,0,0,40,Clouds,scattered clouds,None
229,5383,281.74,0,0,40,Clouds,scattered clouds,None
230,5758,281.84,0,0,75,Clouds,broken clouds,None
231,5889,282.45,0,0,75,Clouds,broken clouds,None
232,6057,282.2,0,0,75,Clouds,broken clouds,None
233,6028,281.54,0,0,40,Clouds,scattered clouds,None
234,5257,280.21,0,0,20,Clouds,few clouds,None
235,1897,282.2,0,0,56,Clear,sky is clear,None
236,1335,272.58,0,0,1,Clear,sky is clear,None
237,769,272.06,0,0,1,Clear,sky is clear,None
238,570,270.99,0,0,1,Clear,sky is clear,None
239,413,270.29,0,0,20,Clouds,few clouds,None
240,399,269.48,0,0,1,Clear,sky is clear,None
241,740,269.27,0,0,1,Clear,sky is clear,None
242,1420,268.91,0,0,1,Clear,sky is clear,None
243,2220,268.98,0,0,75,Clouds,broken clouds,None
244,3479,269.23,0,0,40,Clouds,scattered clouds,None
245,4546,272.61,0,0,40,Clouds,scattered clouds,None
246,4579,276.78,0,0,20,Clouds,few clouds,None
247,4438,279.22,0,0,1,Clear,sky is clear,None
248,4623,280.35,0,0,1,Clear,sky is clear,None
249,4440,281.81,0,0,1,Clear,sky is clear,None
250,4495,283.05,0,0,1,Clear,sky is clear,None
251,4483,283.96,0,0,1,Clear,sky is clear,None
252,4591,284.53,0,0,1,Clear,sky is clear,None
253,4477,284.44,0,0,1,Clear,sky is clear,None
254,4221,283.64,0,0,1,Clear,sky is clear,None
255,3672,281.85,0,0,20,Clouds,few clouds,None
256,3015,281.38,0,0,1,Clear,sky is clear,None
257,2769,281.84,0,0,75,Clouds,broken clouds,None
258,2875,282.23,0,0,90,Clouds,overcast clouds,None
259,1931,282.18,0,0,90,Clouds,overcast clouds,None
260,1309,282.49,0,0,90,Clouds,overcast clouds,None
261,870,282.54,0,0,90,Clouds,overcast clouds,None
262,654,282.58,0,0,90,Clouds,overcast clouds,None
263,364,282.23,0,0,90,Clouds,overcast clouds,None
264,262,282.08,0,0,90,Clouds,overcast clouds,None
265,505,282.23,0,0,90,Clouds,overcast clouds,None
266,861,282.24,0,0,90,Clouds,overcast clouds,None
267,1132,282.24,0,0,90,Clouds,overcast clouds,None
268,1797,282.24,0,0,57,Mist,mist,None
269,2685,282.43,0,0,57,Drizzle,light intensity drizzle,None
270,2685,282.43,0,0,57,Mist,mist,None
271,2685,282.43,0,0,57,Haze,haze,None
272,3370,282.33,0,0,57,Drizzle,light intensity drizzle,None
273,3370,282.33,0,0,57,Mist,mist,None
274,3662,282.82,0,0,57,Drizzle,light intensity drizzle,None
275,3662,282.82,0,0,57,Mist,mist,None
276,4076,283.33,0,0,57,Mist,mist,None
277,4076,283.33,0,0,57,Rain,light rain,None
278,4076,283.33,0,0,57,Drizzle,light intensity drizzle,None
279,4128,283.75,0,0,93,Rain,light rain,None
280,4128,283.75,0,0,93,Mist,mist,None
281,4128,283.75,0,0,93,Drizzle,light intensity drizzle,None
282,4358,284.09,0,0,93,Mist,mist,None
283,4358,284.09,0,0,93,Rain,light rain,None
284,4358,284.09,0,0,93,Drizzle,light intensity drizzle,None
285,4342,284.55,0,0,93,Mist,mist,None
286,4342,284.55,0,0,93,Rain,light rain,None
287,4234,284.68,0,0,93,Mist,mist,None
288,4271,284.64,0,0,93,Rain,light rain,None
289,4271,284.64,0,0,93,Mist,mist,None
290,4080,284.4,0,0,93,Mist,mist,None
291,3453,284.17,0,0,93,Mist,mist,None
292,2718,284.03,0,0,93,Mist,mist,None
293,2439,283.58,0,0,93,Mist,mist,None
294,1819,283.04,0,0,93,Mist,mist,None
295,1002,281.95,0,0,93,Mist,mist,None
296,1002,281.95,0,0,93,Fog,fog,None
297,542,281.61,0,0,93,Mist,mist,None
298,542,281.61,0,0,93,Fog,fog,None
299,303,281.57,0,0,85,Fog,fog,None
300,239,281.42,0,0,85,Fog,fog,None
301,335,281.29,0,0,85,Mist,mist,None
302,335,281.29,0,0,85,Fog,fog,None
303,810,281.02,0,0,85,Mist,mist,None
304,810,281.02,0,0,85,Fog,fog,None
305,2606,280.82,0,0,85,Mist,mist,None
306,2606,280.82,0,0,85,Fog,fog,None
307,5714,280.39,0,0,85,Mist,mist,None
308,6798,280.19,0,0,100,Mist,mist,None
309,6114,279.82,0,0,100,Mist,mist,None
310,5094,279.75,0,0,100,Mist,mist,None
311,4473,280.07,0,0,100,Mist,mist,None
312,4529,280.32,0,0,90,Clouds,overcast clouds,None
313,4823,281.72,0,0,100,Clear,sky is clear,None
314,4872,284.01,0,0,40,Clouds,scattered clouds,None
315,5238,285.88,0,0,1,Clear,sky is clear,None
316,5584,286.87,0,0,1,Clear,sky is clear,None
317,6246,287.6,0,0,20,Clouds,few clouds,None
318,5957,287.27,0,0,20,Clouds,few clouds,None
319,4535,286.18,0,0,20,Clouds,few clouds,None
320,3234,285.2,0,0,75,Clouds,broken clouds,None
321,2677,284.68,0,0,75,Clouds,broken clouds,None
322,2077,284.49,0,0,90,Clouds,overcast clouds,None
323,1380,283.54,0,0,20,Clouds,few clouds,None
324,927,282.33,0,0,75,Clouds,broken clouds,None
325,500,281.21,0,0,20,Clouds,few clouds,None
326,324,279.87,0,0,1,Clear,sky is clear,None
327,257,278.93,0,0,1,Clear,sky is clear,None
328,354,277.91,0,0,1,Clear,sky is clear,None
329,769,277.21,0,0,1,Clear,sky is clear,None
330,2769,276.61,0,0,1,Clear,sky is clear,None
331,5789,276.11,0,0,1,Clear,sky is clear,None
332,7055,274.81,0,0,20,Clouds,few clouds,None
333,6408,274.99,0,0,20,Clouds,few clouds,None
334,5254,277.91,0,0,20,Clouds,few clouds,None
335,4547,280.71,0,0,20,Clouds,few clouds,None
336,4784,283.85,0,0,20,Clouds,few clouds,None
337,5015,286.01,0,0,40,Clouds,scattered clouds,None
338,5057,286.31,0,0,1,Clear,sky is clear,None
339,5430,288.15,0,0,75,Clouds,broken clouds,None
340,5813,289.15,0,0,75,Clouds,broken clouds,None
341,6496,288.99,0,0,75,Clouds,broken clouds,None
342,6429,288.86,0,0,75,Clouds,broken clouds,None
343,5142,288.16,0,0,90,Clouds,overcast clouds,None
344,3311,287.28,0,0,68,Rain,light rain,None
345,2777,287.04,0,0,90,Clouds,overcast clouds,None
346,2331,286.9,0,0,90,Clouds,overcast clouds,None
347,1767,287.09,0,0,90,Clouds,overcast clouds,None
348,1093,287.09,0,0,90,Clouds,overcast clouds,None
349,554,286.89,0,0,75,Clouds,broken clouds,None
350,333,286.93,0,0,75,Clouds,broken clouds,None
351,267,286.93,0,0,90,Clouds,overcast clouds,None
352,358,287.07,0,0,90,Clouds,overcast clouds,None
353,777,286.56,0,0,75,Clouds,broken clouds,None
354,2732,285.91,0,0,90,Clouds,overcast clouds,None
355,5637,285.29,0,0,90,Clouds,overcast clouds,None
356,5564,284.92,0,0,75,Clouds,broken clouds,None
357,6274,285.35,0,0,75,Clouds,broken clouds,None
358,5403,285.72,0,0,100,Rain,proximity shower rain,None
359,5403,285.72,0,0,100,Rain,light rain,None
360,4680,287.09,0,0,75,Clouds,broken clouds,None
361,4642,288.31,0,0,75,Clouds,broken clouds,None
362,4979,288.61,0,0,1,Clear,sky is clear,None
363,4851,290.32,0,0,1,Clear,sky is clear,None
364,4291,291.36,0,0,1,Clear,sky is clear,None
365,4714,292.01,0,0,1,Clear,sky is clear,None
366,6723,292.61,0,0,1,Clear,sky is clear,None
367,6180,292.65,0,0,1,Clear,sky is clear,None
368,4843,290.52,0,0,40,Clouds,scattered clouds,None
369,3435,288.35,0,0,40,Clouds,scattered clouds,None
370,2921,286.72,0,0,40,Clouds,scattered clouds,None
371,2763,285.49,0,0,40,Clouds,scattered clouds,None
372,1930,284.22,0,0,20,Clouds,few clouds,None
373,1160,283.8,0,0,20,Clouds,few clouds,None
374,654,283.72,0,0,20,Clouds,few clouds,None
375,374,282.8,0,0,40,Clouds,scattered clouds,None
376,301,282.32,0,0,99,Mist,mist,None
377,397,282.38,0,0,99,Mist,mist,None
378,794,282.76,0,0,90,Clouds,overcast clouds,None
379,2564,282.88,0,0,99,Mist,mist,None
380,5358,284.18,0,0,75,Clouds,broken clouds,None
381,6441,284.69,0,0,90,Clouds,overcast clouds,None
382,5536,285,0,0,90,Clouds,overcast clouds,None
383,5256,286.9,0,0,99,Rain,light rain,None
384,4619,288.35,0,0,90,Clouds,overcast clouds,None
385,5107,289.59,0,0,90,Clouds,overcast clouds,None
386,5147,288.27,0,0,99,Rain,light rain,None
387,5283,286.41,0,0,90,Clouds,overcast clouds,None
388,5704,285.96,0,0,90,Clouds,overcast clouds,None
389,5887,287.04,0,0,90,Clouds,overcast clouds,None
390,6307,287.18,0,0,90,Clouds,overcast clouds,None
391,5953,286.94,0,0,90,Clouds,overcast clouds,None
392,4519,286.01,0,0,90,Clouds,overcast clouds,None
393,3427,284.67,0,0,100,Drizzle,light intensity drizzle,None
394,2921,283.44,0,0,100,Rain,light rain,None
395,2649,282.51,0,0,100,Drizzle,light intensity drizzle,None
396,2005,281.9,0,0,90,Clouds,overcast clouds,None
397,1177,281.85,0,0,90,Clouds,overcast clouds,None
398,699,281.28,0,0,90,Clouds,overcast clouds,None
399,436,280.97,0,0,87,Mist,mist,None
400,353,280.44,0,0,87,Drizzle,light intensity drizzle,None
401,353,280.44,0,0,87,Mist,mist,None
402,399,280.02,0,0,87,Mist,mist,None
403,720,279.79,0,0,87,Drizzle,light intensity drizzle,None
404,720,279.79,0,0,87,Mist,mist,None
405,720,279.79,0,0,87,Rain,light rain,None
406,720,279.79,0,0,87,Drizzle,drizzle,None
407,2370,279.74,0,0,87,Mist,mist,None
408,2370,279.74,0,0,87,Rain,light rain,None
409,5162,279.65,0,0,87,Drizzle,light intensity drizzle,None
410,5162,279.65,0,0,87,Mist,mist,None
411,5162,279.65,0,0,87,Rain,light rain,None
412,5777,279.45,0,0,91,Mist,mist,None
413,5777,279.45,0,0,91,Rain,moderate rain,None
414,5235,279.22,0,0,91,Drizzle,light intensity drizzle,None
415,5235,279.22,0,0,91,Mist,mist,None
416,5235,279.22,0,0,91,Rain,light rain,None
417,4606,279.35,0,0,91,Rain,light rain,None
418,4606,279.35,0,0,91,Mist,mist,None
419,4328,279.92,0,0,91,Mist,mist,None
420,4282,280.44,0,0,90,Clouds,overcast clouds,None
421,4489,281,0,0,90,Clouds,overcast clouds,None
422,4908,281.51,0,0,90,Clouds,overcast clouds,None
423,5620,281.93,0,0,92,Mist,mist,None
424,5849,281.94,0,0,92,Mist,mist,None
425,5849,281.94,0,0,92,Drizzle,light intensity drizzle,None
426,4945,282.27,0,0,92,Rain,moderate rain,None
427,4619,282.41,0,0,92,Rain,light rain,None
428,4479,282.21,0,0,90,Clouds,overcast clouds,None
429,3804,281.69,0,0,75,Clouds,broken clouds,None
430,2908,281.26,0,0,90,Clouds,overcast clouds,None
431,2942,280.66,0,0,92,Mist,mist,None
432,3077,280.43,0,0,92,Drizzle,drizzle,None
433,3077,280.43,0,0,92,Drizzle,light intensity drizzle,None
434,2051,280.1,0,0,92,Mist,mist,None
435,2051,280.1,0,0,92,Rain,light rain,None
436,2051,280.1,0,0,92,Drizzle,light intensity drizzle,None
437,1270,280.06,0,0,92,Rain,light rain,None
438,1270,280.06,0,0,92,Rain,moderate rain,None
439,773,280.28,0,0,96,Drizzle,drizzle,None
440,773,280.28,0,0,96,Rain,light rain,None
441,589,280.38,0,0,96,Drizzle,light intensity drizzle,None
442,432,280.62,0,0,96,Drizzle,light intensity drizzle,None
443,432,280.62,0,0,96,Mist,mist,None
444,401,280.91,0,0,96,Mist,mist,None
445,401,280.91,0,0,96,Drizzle,drizzle,None
446,401,280.91,0,0,96,Rain,light rain,None
447,759,280.96,0,0,96,Rain,light rain,None
448,759,280.96,0,0,96,Mist,mist,None
449,759,280.96,0,0,96,Drizzle,drizzle,None
450,1313,281.13,0,0,96,Rain,light rain,None
451,1313,281.13,0,0,96,Mist,mist,None
452,1313,281.13,0,0,96,Drizzle,light intensity drizzle,None
453,1824,281.28,0,0,100,Rain,light rain,None
454,1824,281.28,0,0,100,Mist,mist,None
455,1824,281.28,0,0,100,Drizzle,drizzle,None
456,2787,281.19,0,0,100,Rain,light rain,None
457,2787,281.19,0,0,100,Mist,mist,None
458,2787,281.19,0,0,100,Drizzle,drizzle,None
459,3713,281.7,0,0,100,Rain,light rain,None
460,3713,281.7,0,0,100,Drizzle,drizzle,None
461,3713,281.7,0,0,100,Mist,mist,None
462,3713,281.7,0,0,100,Drizzle,light intensity drizzle,None
463,3815,282.02,0,0,100,Rain,light rain,None
464,3815,282.02,0,0,100,Drizzle,drizzle,None
465,3815,282.02,0,0,100,Mist,mist,None
466,3815,282.02,0,0,100,Rain,moderate rain,None
467,4339,282.35,0,0,100,Rain,light rain,None
468,4339,282.35,0,0,100,Mist,mist,None
469,4339,282.35,0,0,100,Drizzle,drizzle,None
470,4613,282.71,0,0,100,Rain,heavy intensity rain,None
471,4613,282.71,0,0,100,Mist,mist,None
472,4613,282.71,0,0,100,Rain,light rain,None
473,4613,282.71,0,0,100,Rain,moderate rain,None
474,4507,283.31,0,0,48,Rain,light rain,None
475,4452,283.79,0,0,90,Clouds,overcast clouds,None
476,4636,284.2,0,0,75,Clouds,broken clouds,None
477,4810,284.32,0,0,90,Clouds,overcast clouds,None
478,5125,284.13,0,0,75,Clouds,broken clouds,None
479,4337,283.14,0,0,40,Clouds,scattered clouds,None
480,3644,281.4,0,0,40,Clouds,scattered clouds,None
481,3107,280.47,0,0,20,Clouds,few clouds,None
482,2929,279.52,0,0,20,Clouds,few clouds,None
483,2865,278.85,0,0,48,Mist,mist,None
484,2340,278.12,0,0,48,Fog,fog,None
485,1372,277.94,0,0,48,Mist,mist,None
486,1928,275.93,0,0,60,Fog,fog,None
487,1928,275.93,0,0,60,Mist,mist,None
488,4695,284.09,0,0,75,Clouds,broken clouds,None
489,4335,282.6,0,0,75,Clouds,broken clouds,None
490,1583,281.72,0,0,90,Clouds,overcast clouds,None
491,959,281.26,0,0,90,Clouds,overcast clouds,None
492,498,281.29,0,0,75,Clouds,broken clouds,None
493,306,281.01,0,0,75,Clouds,broken clouds,None
494,259,280.57,0,0,40,Clouds,scattered clouds,None
495,324,280.54,0,0,75,Clouds,broken clouds,None
496,806,279.37,0,0,8,Mist,mist,None
497,2622,279.18,0,0,8,Mist,mist,None
498,5456,279.05,0,0,8,Mist,mist,None
499,4324,282.7,0,0,38,Clear,sky is clear,None
500,4378,286.17,0,0,40,Clouds,scattered clouds,None
501,4639,288.61,0,0,75,Clouds,broken clouds,None
502,4546,290.59,0,0,20,Clouds,few clouds,None
503,5006,292.21,0,0,75,Clouds,broken clouds,None
504,5361,293.56,0,0,75,Clouds,broken clouds,None
505,6101,293.43,0,0,40,Clouds,scattered clouds,None
506,5781,293.4,0,0,40,Clouds,scattered clouds,None
507,4272,291.47,0,0,20,Clouds,few clouds,None
508,3091,289.17,0,0,20,Clouds,few clouds,None
509,2434,287.28,0,0,1,Clear,sky is clear,None
