Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots,Country,Date
Szczepan Zimmermann,M,Raw,23.5,Open,101.1,105,245.0,160.0,270.0,675.0,413.53,Poland,2014-03-28
Maciei Stepniak,M,Raw,,Open,103.0,105,215.0,167.5,260.0,642.5,390.55,Poland,2014-03-28
Krzysztof Paierczak,M,Raw,,Open,100.5,105,220.0,142.5,245.0,607.5,373.12,Poland,2014-03-28
Radosław Wałęga,M,Raw,25.5,Open,104.3,105,200.0,150.0,225.0,575.0,347.72,Poland,2014-03-28
Krzysztof Cybartowicz,M,Raw,25.5,Open,101.5,105,205.0,125.0,220.0,550.0,336.38,Poland,2014-03-28
Łukasz Głowacz,M,Raw,37.5,Open,98.7,105,160.0,145.0,192.5,497.5,307.98,Poland,2014-03-28
Mateusz Grzesik,M,Raw,24.5,Open,108.8,120,275.0,197.5,302.5,775.0,460.92,Poland,2014-03-28
Piotr Sadowski #1,M,Raw,20.5,Open,117.4,120,270.0,190.5,295.0,755.5,437.11,Poland,2014-03-28
Sebastian Sobiech,M,Raw,33.5,Open,112.7,120,255.0,180.0,275.0,710.0,416.76,Poland,2014-03-28
Andrzej Koszyk,M,Raw,34.5,Open,111.2,120,225.0,190.0,240.0,655.0,386.37,Poland,2014-03-28
Hubert Dudziak,M,Raw,18.5,Open,119.2,120,250.0,137.5,250.0,637.5,366.94,Poland,2014-03-28
Łukasz Kubańda,M,Raw,25.5,Open,117.0,120,220.0,155.0,235.0,610.0,353.34,Poland,2014-03-28
Jakub Olechowski,M,Raw,,Open,106.9,120,205.0,147.5,237.5,590.0,353.3,Poland,2014-03-28
Marcin Kozłowski,M,Raw,22.5,Open,108.1,120,170.0,125.0,230.0,525.0,313.01,Poland,2014-03-28
Artur Szakiel,M,Raw,23.5,Open,116.9,120,,,,,,Poland,2014-03-28
Tomasz Konczynski,M,Raw,,Open,106.8,120,217.5,157.5,250.0,625.0,374.39,Poland,2014-03-28
Damian Ostrowski,M,Raw,30.5,Open,121.1,120+,270.0,200.0,285.0,755.0,432.29,Poland,2014-03-28
Karol Jańczak,M,Raw,28.5,Open,122.6,120+,235.0,205.0,290.0,730.0,416.3,Poland,2014-03-28
Oskar Frydrych,M,Raw,,Open,125.3,120+,270.0,165.0,280.0,715.0,404.92,Poland,2014-03-28
Przemysław Tomica,M,Raw,26.5,Open,122.6,120+,252.5,165.0,282.5,700.0,399.2,Poland,2014-03-28
Rafał Lipka,M,Raw,38.5,Open,120.8,120+,250.0,165.0,262.5,677.5,388.24,Poland,2014-03-28
Tomasz Szachowicz,M,Raw,41.5,Open,130.4,120+,240.0,197.5,215.0,652.5,365.02,Poland,2014-03-28
Ryszard Szymoniak,M,Raw,,Open,120.2,120+,230.0,165.0,250.0,645.0,370.22,Poland,2014-03-28
Pawel Pluta,M,Raw,,Open,124.6,120+,220.0,155.0,220.0,595.0,337.56,Poland,2014-03-28
Lukasz Mikulski,M,Raw,,Open,120.3,120+,160.0,130.0,200.0,490.0,281.18,Poland,2014-03-28
Miłosz Pytawski,M,Raw,27.5,Open,146.7,120+,225.0,,,,,Poland,2014-03-28
Ewa Mioduszewska,F,Raw,27.5,Open,46.8,47,102.5,50.0,138.0,290.5,381.92,Poland,2017-04-01
Paulina Grzybek,F,Raw,22.5,Open,47.0,47,102.5,55.5,122.5,280.5,367.61,Poland,2017-04-01
Alicja Mułyk,F,Raw,22.5,Open,46.7,47,97.5,47.5,117.5,262.5,345.66,Poland,2017-04-01
Nina Skalska,F,Raw,27.5,Open,44.5,47,90.0,55.0,107.5,252.5,344.79,Poland,2017-04-01
Sylwia Franke,F,Raw,30.5,Open,47.0,47,90.0,42.5,110.0,242.5,317.81,Poland,2017-04-01
Dobrosława Lewicka,F,Raw,27.5,Open,46.6,47,,55.0,100.0,,,Poland,2017-04-01
Anna Mikołajczyk,F,Raw,26.5,Open,51.4,52,100.0,60.0,130.0,290.0,356.35,Poland,2017-04-01
Klaudia Poszwa,F,Raw,16.5,Open,47.6,52,102.5,42.5,125.5,270.5,351.21,Poland,2017-04-01
Helena Morawska,F,Raw,44.5,Open,51.7,52,90.0,52.5,110.0,252.5,309.02,Poland,2017-04-01
Anna Tarnowska,F,Raw,38.5,Open,51.7,52,90.0,40.0,110.0,240.0,293.72,Poland,2017-04-01
Paulina Szymanel,F,Raw,21.5,Open,48.1,52,,52.5,105.0,,,Poland,2017-04-01
Sylwia Martyniuk,F,Raw,36.5,Open,56.61,57,135.0,77.5,153.0,365.5,420.64,Poland,2017-04-01
Katarzyna Imiołek,F,Raw,26.5,Open,56.39,57,110.0,60.0,150.0,320.0,369.22,Poland,2017-04-01
Kornelia Kulczycka,F,Raw,31.5,Open,54.69,57,107.5,67.5,130.0,305.0,359.16,Poland,2017-04-01
Karolina Radgowska,F,Raw,24.5,Open,62.6,63,137.5,65.0,177.5,380.0,410.29,Poland,2017-04-01
Emilia Sobiech-Konopa,F,Raw,28.5,Open,62.1,63,137.5,72.5,157.5,367.5,398.75,Poland,2017-04-01
Aleksandra Gudecka,F,Raw,32.5,Open,62.3,63,102.5,67.5,125.0,295.0,319.45,Poland,2017-04-01
Marta Leśniewska,F,Raw,20.5,Open,60.7,63,100.0,60.0,122.5,282.5,310.89,Poland,2017-04-01
Patrycja Gibek,F,Raw,27.5,Open,62.5,63,102.5,65.0,115.0,282.5,305.32,Poland,2017-04-01
Kamila Kluczniok,F,Raw,26.5,Open,58.3,63,90.0,40.0,110.0,240.0,270.97,,2017-04-01
Marzena Wierzbicka,F,Raw,27.5,Open,71.68,72,165.0,95.0,190.5,450.5,449.61,Poland,2017-04-01
Justyna Liszyk-Świder,F,Raw,28.5,Open,69.66,72,155.5,72.5,180.0,408.0,413.72,Poland,2017-04-01
Dominika Łakomik,F,Raw,17.5,Open,69.2,72,132.5,55.0,132.5,320.0,325.7,,2017-04-01
Aneta Szot,F,Raw,32.5,Open,72.1,84,120.0,105.0,170.0,395.0,392.96,Poland,2017-04-01
Karolina Gaczyńska,F,Raw,24.5,Open,76.26,84,130.0,77.5,140.0,347.5,335.51,Poland,2017-04-01
Aleksandra Stolarzewicz,F,Raw,18.5,Open,81.98,84,122.5,65.0,127.5,315.0,293.26,,2017-04-01
Daria Ławniczak,F,Raw,21.5,Open,75.32,84,100.0,90.0,120.0,310.0,301.26,Poland,2017-04-01
Adriana Kozłowska,F,Raw,26.5,Open,73.91,84,65.0,60.0,107.5,232.5,228.22,,2017-04-01
Katarzyna Stachyra,F,Raw,38.5,Open,72.2,84,70.0,47.5,102.5,220.0,218.7,Poland,2017-04-01
Katarzyna Dzieżok,F,Raw,31.5,Open,72.16,84,85.0,62.5,,,,Poland,2017-04-01
Alicja Ilczuk,F,Raw,23.5,Open,91.2,84+,132.5,62.5,142.5,337.5,299.15,Poland,2017-04-01
Katarzyna Obiała,F,Raw,33.5,Open,102.98,84+,82.5,42.5,90.0,215.0,181.43,,2017-04-01
Sławomir Śledź,M,Raw,40.5,Open,58.7,59,183.0,142.5,190.0,515.5,443.09,Poland,2017-04-01
Dariusz Janik,M,Raw,33.5,Open,58.2,59,140.0,102.5,170.0,412.5,357.12,Poland,2017-04-01
Dawid Kluczyńśki,M,Raw,26.0,Open,65.8,66,165.0,120.0,200.0,485.0,380.87,Poland,2017-04-01
Kacper Suchecki,M,Raw,16.5,Open,64.6,66,155.0,85.0,187.5,427.5,340.39,Poland,2017-04-01
Grzegorz Cieślak,M,Raw,17.5,Open,66.0,66,142.5,85.0,142.5,370.0,289.91,Poland,2017-04-01
Sebastian Jonda,M,Raw,17.5,Open,63.4,66,110.0,82.5,135.0,327.5,264.54,Poland,2017-04-01
Dominik Walaszek,M,Raw,23.5,Open,65.5,66,,,,,,,2017-04-01
Paweł Mazij,M,Raw,22.5,Open,70.2,74,195.0,145.0,240.0,580.0,434.81,Poland,2017-04-01
Krzysztof Faron,M,Raw,28.5,Open,74.0,74,195.0,137.5,240.0,572.5,414.29,Poland,2017-04-01
Tomasz Miloch,M,Raw,33.5,Open,73.8,74,195.0,135.0,240.0,570.0,413.21,Poland,2017-04-01
Rafał Paprocki,M,Raw,42.5,Open,72.8,74,170.0,115.0,250.0,535.0,391.33,Poland,2017-04-01
Włodzimierz Żmijewski,M,Raw,67.5,Open,72.7,74,200.0,70.0,235.0,505.0,369.72,Poland,2017-04-01
Mateusz Powała,M,Raw,25.5,Open,71.3,74,180.0,140.0,180.0,500.0,370.87,Poland,2017-04-01
Michał Podstawski,M,Raw,17.5,Open,73.5,74,170.0,102.5,197.5,470.0,341.62,Poland,2017-04-01
Dawid Ożga,M,Raw,17.5,Open,70.8,74,145.0,105.0,175.0,425.0,316.75,Poland,2017-04-01
Krzysztof Rumel,M,Raw,33.0,Open,81.45,83,220.0,140.0,260.0,620.0,423.07,Poland,2017-04-01
Patryk Romanowicz,M,Raw,18.5,Open,81.45,83,215.0,120.0,253.0,588.0,401.23,Poland,2017-04-01
Szymon Grzegoszczyk,M,Raw,24.5,Open,80.55,83,200.0,142.5,215.0,557.5,382.88,Poland,2017-04-01
Dawid Król,M,Raw,16.5,Open,75.5,83,190.0,137.5,225.0,552.5,394.7,Poland,2017-04-01
Michał Rożnowski,M,Raw,37.5,Open,82.1,83,185.0,122.5,215.0,522.5,354.92,Poland,2017-04-01
Przemysław Kawczyński,M,Raw,22.0,Open,80.55,83,180.0,100.0,220.0,500.0,343.39,Poland,2017-04-01
Piotr Zawisza,M,Raw,19.0,Open,81.7,83,170.0,100.0,200.0,470.0,320.15,Poland,2017-04-01
Jakub Gumuliński,M,Raw,22.5,Open,80.4,83,152.5,105.0,170.0,427.5,293.92,Poland,2017-04-01
Łukasz Kowalczyk,M,Raw,21.5,Open,80.8,83,112.5,105.0,160.0,377.5,258.79,,2017-04-01
Michał Lis,M,Raw,28.0,Open,81.7,83,190.0,,220.0,,,Poland,2017-04-01
Dawid Pelc,M,Raw,27.5,Open,92.6,93,235.0,205.0,260.0,700.0,446.3,Poland,2017-04-01
Mateusz Boroń,M,Raw,28.0,Open,92.6,93,240.0,125.0,305.0,670.0,427.18,England,2017-04-01
Piotr Pokorski,M,Raw,27.5,Open,92.8,93,232.5,155.0,265.0,652.5,415.58,Poland,2017-04-01
Dariusz Konopelski,M,Raw,24.5,Open,85.2,93,242.5,157.5,240.0,640.0,425.86,Poland,2017-04-01
Mateusz Gąsiorowski,M,Raw,27.5,Open,90.3,93,200.0,145.0,235.0,580.0,374.4,,2017-04-01
Damian Pawelak,M,Raw,24.0,Open,89.8,93,195.0,135.0,240.0,570.0,368.98,Poland,2017-04-01
Konrad Kosiński,M,Raw,31.5,Open,86.7,93,190.0,125.0,225.0,540.0,355.97,,2017-04-01
Marek Zierkiewicz,M,Raw,24.5,Open,87.9,93,145.0,102.5,175.0,422.5,276.51,,2017-04-01
Krzysztof Wierzbicki,M,Raw,26.0,Open,99.6,105,305.5,195.0,400.0,900.5,555.24,Poland,2017-04-01
Krzysztof Hoffmann,M,Raw,25.5,Open,94.2,105,242.5,150.0,280.0,672.5,425.27,Poland,2017-04-01
Józef Gromek,M,Raw,58.5,Open,93.1,105,240.0,155.0,270.0,665.0,422.89,Poland,2017-04-01
Krzysztof Kluczny,M,Raw,24.5,Open,103.4,105,222.5,157.5,260.0,640.0,388.4,Poland,2017-04-01
Jakub Kuriata,M,Raw,20.5,Open,99.3,105,215.0,135.0,230.0,580.0,358.09,Poland,2017-04-01
Łukasz Nizio,M,Raw,24.5,Open,116.9,120,295.0,195.0,320.0,810.0,469.33,Poland,2017-04-01
Roman Smorz,M,Raw,22.5,Open,119.7,120,240.0,150.0,250.0,640.0,367.86,,2017-04-01
Piotr Konkol,M,Raw,19.5,Open,110.8,120,225.0,160.0,245.0,630.0,372.12,,2017-04-01
Paweł Konopa,M,Raw,31.5,Open,112.0,120,235.0,142.5,247.5,625.0,367.7,Poland,2017-04-01
Wojciech Dreiseitel,M,Raw,26.5,Open,108.2,120,200.0,132.5,210.0,542.5,323.33,Poland,2017-04-01
Grzegorz Szklarz,M,Raw,27.5,Open,137.3,120+,270.0,205.0,295.0,770.0,424.31,Poland,2017-04-01
Sebastian Sobiech,M,Raw,36.5,Open,120.1,120+,282.5,187.5,285.0,755.0,433.48,Poland,2017-04-01
Rafał Lipka,M,Raw,41.5,Open,122.6,120+,260.0,170.0,270.0,700.0,399.2,Poland,2017-04-01
Paulina Szymanel,F,Raw,22.5,Open,46.2,47,103.5,63.0,120.0,286.5,380.3,Poland,2018-03-17
Sylwia Franke,F,Raw,31.5,Open,46.83,47,100.0,45.0,115.0,260.0,341.66,Poland,2018-03-17
Nina Skalska,F,Raw,28.5,Open,43.9,47,92.5,55.0,110.0,257.5,355.29,Poland,2018-03-17
Anna Mikołajczyk,F,Raw,27.5,Open,46.6,47,75.0,47.5,115.0,237.5,313.24,Poland,2018-03-17
Natalia Jurczak,F,Raw,20.5,Open,45.4,47,87.5,45.0,95.0,227.5,305.97,Poland,2018-03-17
Marta Budnik,F,Raw,25.5,Open,45.4,47,55.0,35.0,85.0,175.0,235.36,Poland,2018-03-17
Ewa Mioduszewska,F,Raw,28.5,Open,50.2,52,107.5,57.5,150.0,315.0,393.58,Poland,2018-03-17
Klaudia Poszwa,F,Raw,17.5,Open,47.3,52,105.0,47.5,130.0,282.5,368.5,Poland,2018-03-17
Anna Sułkowska,F,Raw,28.5,Open,50.5,52,97.5,55.0,125.0,277.5,345.26,Poland,2018-03-17
Dobrosława Lewicka,F,Raw,28.5,Open,50.9,52,97.5,62.5,115.0,275.0,340.25,Poland,2018-03-17
Aleksandra Szymczykowska,F,Raw,19.0,Open,52.0,52,85.0,65.0,115.0,265.0,323.01,Poland,2018-03-17
Agnieszka Nowak,F,Raw,23.5,Open,51.1,52,90.0,60.0,112.5,262.5,323.89,Poland,2018-03-17
Anna Potocka,F,Raw,40.5,Open,51.3,52,95.0,52.5,112.5,260.0,319.93,Poland,2018-03-17
Laura Wojtacha,F,Raw,20.5,Open,50.6,52,80.0,40.0,102.5,222.5,276.44,Poland,2018-03-17
Helena Morawska,F,Raw,45.5,Open,53.7,57,90.0,60.0,120.0,,,Poland,2018-03-17
Olimpia Felińska,F,Raw,25.5,Open,56.0,57,130.0,85.0,147.5,362.5,420.18,Poland,2018-03-17
Julia Kobierecka,F,Raw,16.5,Open,54.9,57,105.0,60.0,127.5,292.5,343.56,Poland,2018-03-17
Patrycja Nadwodna,F,Raw,22.5,Open,56.3,57,97.5,57.5,135.0,290.0,334.96,Poland,2018-03-17
Maria Olszowy,F,Raw,28.5,Open,55.6,57,102.5,52.5,130.0,285.0,331.92,Poland,2018-03-17
Ewelina Hereć,F,Raw,25.5,Open,56.6,57,97.5,67.5,120.0,285.0,328.03,Poland,2018-03-17
Brygida Ryczaj,F,Raw,29.5,Open,56.3,57,100.0,50.0,122.5,272.5,314.75,Poland,2018-03-17
Anna Tarnowska,F,Raw,39.5,Open,54.7,57,102.5,40.0,127.5,270.0,317.91,Poland,2018-03-17
Patrycja Lecyk,F,Raw,28.5,Open,55.5,57,107.5,50.0,112.5,270.0,314.83,Poland,2018-03-17
Edyta Walędzik,F,Raw,22.5,Open,55.3,57,105.0,45.0,105.0,255.0,298.06,Poland,2018-03-17
Małgorzata Otto,F,Raw,41.5,Open,57.8,63,110.0,60.0,125.0,,,Poland,2018-03-17
Emilia Sobiech-Konopa,F,Raw,28.5,Open,61.5,63,142.5,75.0,160.0,377.5,412.06,Poland,2018-03-17
Marika Zandecka,F,Raw,22.5,Open,62.1,63,127.5,70.0,155.0,352.5,382.47,Poland,2018-03-17
Małgorzata Cieślik,F,Raw,34.5,Open,61.8,63,127.5,75.0,140.0,342.5,372.73,Poland,2018-03-17
Daria Walczykiewicz,F,Raw,35.0,Open,61.3,63,105.0,72.5,122.5,300.0,328.13,Poland,2018-03-17
Patrycja Gibek,F,Raw,28.5,Open,62.9,63,112.5,62.5,122.5,297.5,320.28,Poland,2018-03-17
Justyna Labun,F,Raw,18.5,Open,58.2,63,,55.0,135.0,,,Poland,2018-03-17
Karolina Radgowska,F,Raw,25.5,Open,68.1,72,160.0,67.5,192.5,420.0,431.4,Poland,2018-03-17
Ida Lis,F,Raw,17.5,Open,66.7,72,152.5,82.5,178.0,413.0,429.34,Poland,2018-03-17
Joanna Niedośpiał,F,Raw,32.5,Open,71.3,72,125.0,62.5,145.0,332.5,332.82,Poland,2018-03-17
Izabela Chatlińska,F,Raw,39.5,Open,70.6,72,120.0,60.0,150.0,330.0,332.13,Poland,2018-03-17
Kinga Biśta-Gawlik,F,Raw,34.5,Open,69.5,72,122.5,70.0,132.5,325.0,329.98,Poland,2018-03-17
Anna Pandyra,F,Raw,22.5,Open,67.1,72,115.0,55.0,142.5,312.5,323.73,Poland,2018-03-17
Angelika Kaliszewska,F,Raw,24.5,Open,68.3,72,117.5,65.0,127.5,310.0,317.88,Poland,2018-03-17
Justyna Cierkosz,F,Raw,25.5,Open,64.7,72,122.5,57.5,127.5,307.5,325.45,Poland,2018-03-17
Ewa Walentynowicz,F,Raw,26.5,Open,68.8,72,115.0,50.0,127.5,292.5,298.69,Poland,2018-03-17
Magdalena Ziętek,F,Raw,20.5,Open,71.4,72,115.0,50.0,122.5,287.5,287.55,Poland,2018-03-17
Justyna Kloc,F,Raw,21.5,Open,69.1,72,95.0,55.0,125.0,275.0,280.13,Poland,2018-03-17
Sylwia Gawęda,F,Raw,24.5,Open,67.1,72,110.0,50.0,110.0,270.0,279.71,Poland,2018-03-17
Paulina Lechowicz,F,Raw,21.5,Open,81.4,84,145.0,95.0,162.5,402.5,376.02,Poland,2018-03-17
Karolina Gaczyńska,F,Raw,25.5,Open,77.0,84,150.0,80.0,162.5,392.5,377.07,Poland,2018-03-17
Katarzyna Kaleta,F,Raw,28.5,Open,74.8,84,120.0,65.0,140.0,325.0,316.99,Poland,2018-03-17
Monika Nowak,F,Raw,39.5,Open,75.1,84,120.0,62.5,140.0,322.5,313.89,Poland,2018-03-17
Natalia Kobiela,F,Raw,29.5,Open,79.3,84,100.0,57.5,120.0,277.5,262.63,Poland,2018-03-17
