nahuatl_name,type,class
Huitz-colotli,plant,NaN
Huihuitz-mallotic,plant,NaN
Huitz-quilitl,plant,quilitl
Quauhtla huitz-quilitl,plant,multiple
Huitzihtzil-xochitl,plant,xochitl
Macpal-xochitl,plant,xochitl
Malinalli,plant,NaN
Mamaxtla,plant,NaN
Mamaxtla-nelhuatl,plant,NaN
Matlal-xochitl,plant,xochitl
Maza-yelli,plant,NaN
Meca-xochitl,plant,xochitl
Memeya xiuhtontli,plant,xihuitl
Metzli-yzacauh,plant,NaN
Mexix-quilitl,plant,quilitl
Michi-huauhtli,plant,NaN
Mizquitl,plant,NaN
Mocuepani-xochitl,plant,xochitl
Necouh xochitl,plant,xochitl
Nexehuac,plant,NaN
Nocheztli,plant,NaN
Nochtli,plant,NaN
Teo-nochtli,plant,NaN
Tlaloc-nochtli,plant,NaN
Nonochton azcapanixua,plant,NaN
Nopalli,plant,NaN
Papalo-quilitl,plant,quilitl
Patlahuac tzitzicaztli,plant,NaN
Piciyetl,plant,NaN
Piltzinte-couh-xochitl,plant,xochitl
Pozahualiz-xiuhtontli,plant,xihuitl
Quappo-quietl,plant,NaN
Quauh-alahuac,plant,quahuitl
Quauh-yayahual,plant,quahuitl
Quauh-huitzihtzil-xochitl,plant,multiple
Quauh-patli,plant,multiple
Quauh-tzitzicaztli,plant,quahuitl
Quauh-xiyotl,plant,quahuitl
Quauhtla xoxocoyolin,plant,quahuitl
Quetzal-ahuexotl,plant,NaN
Quetzal-atzonyatl,plant,NaN
Quetzal-misquitl,plant,NaN
Quetzal-xoxouca-patli,plant,patli
Quetzal-xoxouhca-patli tzotzotlani,plant,patli
Te-amoxtli,plant,NaN
Temahuitztih-quahuitl,plant,quahuitl
Te-memetla,plant,NaN
Teo-amatl,plant,NaN
Teo-xihuitl v1,plant,xihuitl
Te-papa-quilti-quahuitl,plant,quahuitl
Tepa-quilti xiuhtontli,plant,xihuitl
Tepe-chian,plant,NaN
Tepe-papalo-quilitl,plant,quilitl
Tequam-maitl,plant,NaN
Tequixqui-zacatl,plant,NaN
Te-tzapotl,plant,NaN
Te-tzitzicaztli,plant,NaN
Te-tzitzilin,plant,NaN
Te-xiyotl,plant,NaN
Tetezhuatic,plant,NaN
Tetzmi-nopalli,plant,NaN
Tetzmitl,plant,NaN
Tetzmi-xochitl,plant,xochitl
Texcal-ama-coztli,plant,NaN
Tezon-patli,plant,patli
Tohmiyo-xihuitl,plant,xihuitl
Tolohua xihuitl,plant,xihuitl
Tlapatl,plant,NaN
Tol-patlactli,plant,patli
Tomaz-quitl,plant,NaN
Tonaca-xochitl,plant,xochitl
Tonal-xochitl,plant,xochitl
Xiuhuitl tonalco-mochiva hahuachcho,plant,xihuitl
Ayauh-tonan-yxiuh,plant,xihuitl
Totonqui xochitl,plant,xochitl
Topozan,plant,NaN
Totec-yxiuh,plant,xihuitl
Totoloctzin,plant,NaN
Tlaca-camotli,plant,NaN
Tlaco-amatl,plant,NaN
Tlaco-ecapatli,plant,NaN
Tlaco-izqui-xochitl,plant,xochitl
Tlaco-popotli,plant,NaN
Tlaco-xilo-xochitl,plant,xochitl
Tla-cuilol-quahuitl,plant,quahuitl
Tlal-ahuehuetl,plant,NaN
Tlal-ecapatli,plant,NaN
Tlal-mizquitl,plant,NaN
Tlal-patli,plant,patli
Tlal-quequetzal,plant,NaN
Tla-nen-popoloua,plant,NaN
Tlanextia-yxiuh,plant,xihuitl
Tlanextia xiuhtontli,plant,xihuitl
Tlanextia quahuitl,plant,quahuitl
Tlapal-achiyotl,plant,NaN
Tlapol-cacahuatl,plant,NaN
Tlaquilin,plant,NaN
Tlatlacotic,plant,NaN
Tlatlanquaye,plant,NaN
Tlatlaolton,plant,NaN
Tla-yapaloni,plant,NaN
Tlazol-patli,plant,patli
Tlazol-teo-zacatl,plant,NaN
Tlil-xochitl,plant,xochitl
Tzacouh-xochitl,plant,xochitl
Tzayanal-quilitl,plant,quilitl
Tzihuac-copalli,plant,NaN
A-tzitzicaztli,plant,NaN
Colo-tzitzicaztli,plant,NaN
Tzitzicton,plant,NaN
Tzon-pachtzin,plant,NaN
Tzonpilihuiz-patli,plant,patli
Tzon-pilihuiz-xihuitl,plant,xihuitl
Tzopelica-cococ,plant,NaN
Tzotzoca-xihuitl,plant,xihuitl
Xal-tomatl,plant,NaN
Xa-xocotl,plant,NaN
Xe-xihuitl,plant,xihuitl
Xilo-xochitl,plant,xochitl
Xiuh-patli,plant,multiple
Xiuh-tlemaitl,plant,xihuitl
Xiuhtontli,plant,xihuitl
Xomalin,plant,NaN
Ohua-xoxocoyolin,plant,NaN
Quauhtla xoxocoyolin,plant,quahuitl
xoxouhca-patli,plant,patli
xoxouhqui-itzli,plant,NaN
Zaca-matlalin,plant,NaN
Zozoyatic,plant,NaN
Temamatlatzin,plant,NaN
Tonatiuh yxiuh v1,plant,xihuitl
Tonatiuh yxiuh v2,plant,xihuitl
Tecpatl,plant,NaN
Tetlahuitl v1,plant,NaN
Chichic-xihuitl,plant,xihuitl
Xococ quahuitl,plant,quahuitl
teco-xochiti-xihuitl,plant,multiple
tepaquilti quahuitl,plant,quahuitl
A-camallo-tetl v1,plant,NaN
tetlahuitl v2,stone,NaN
iztac tlalli,stone,NaN
eztetl,stone,NaN
te-mamatlatzin,stone,NaN
atzitzicuilotl,animal,NaN
avat-tecolotl,animal,NaN
tlacal-huatzin,stone,NaN
chilmolli,other,NaN
molo-tototl,bird,NaN
iztac-quetzaliztli,stone,NaN
chichiltic tapachtli,stone,NaN
xochi-ocotzotl,other,xochitl
a-camallo-tetl v2,stone,NaN
teo-xihuitl v2,stone,xihuitl
xiuh-tomolli,stone,xihuitl
te-xoxoctli,stone,NaN
eca-cohuatl,animal,NaN
huacton,bird,NaN
hoxitl,other,NaN
cuetlachtli,animal,NaN
miztli,animal,NaN
ocotochtli,animal,NaN
tlaco-ocelotl,animal,NaN
quetzal-iztli,stone,NaN
huexo-canauhtli,bird,NaN
huactli,bird,NaN
apopotli,bird,NaN
coyotl,animal,NaN
huitlalotl,bird,NaN
aztatl,bird,NaN
tlacahuilotl,bird,NaN
xiuh-quechol-tototl,bird,xihuitl
tototl,bird,NaN
tlapal-tototl,bird,NaN
noch-tototl,bird,NaN
acatzanatl,bird,NaN
zolin,bird,NaN
texalli,stone,NaN
huitzitzilin,bird,NaN
cocotli,bird,NaN
pezotli,animal,NaN
octli,other,NaN
tlaquatzin,animal,NaN
Tlah-chinolpan-ixua xihuitl,plant,NaN
Elo-capolin,plant,NaN
